Name_lang,Description_lang,ID,FiledataID
Débordant,"Quand les points de vie d’une cible sont au maximum, l’excès de soins est converti en effet d’absorption de soins.",1,463570
Fébrile,Les ennemis prêtent beaucoup moins attention à la menace générée par les tanks.,2,135994
Volcanique,"En combat, les ennemis font périodiquement apparaître des gerbes de flammes sous les pieds des personnages-joueurs éloignés.",3,451169
Nécrotique,Les attaques de mêlée des ennemis appliquent un chancre cumulable qui inflige des dégâts sur la durée et réduit les soins reçus.,4,1029009
Grouillant,Des ennemis normaux supplémentaires sont présents dans tout le donjon.,5,136054
Déchaîné,"Les adversaires normaux deviennent enragés à 30% de points de vie, ce qui les rend temporairement insensibles aux effets de contrôle.",6,132345
Galvanisant,"Quand un adversaire normal meurt, son cri d’agonie renforce les alliés à proximité, ce qui augmente temporairement leurs dégâts de 20%.",7,132333
Sanguin,"Quand un ennemi normal meurt, il laisse derrière lui une flaque d’ichor qui soigne ses alliés et inflige des dégâts aux personnages-joueurs.",8,136124
Tyrannique,Les boss ont 25 % de points de vie supplémentaires. Les dégâts des boss et de leurs séides sont augmentés de 15 % au maximum.,9,236401
Fortifié,Les unités ennemies normales ont 20 % de points de vie supplémentaires et infligent jusqu’à un maximum de 20 % de dégâts supplémentaires.,10,463829
Détonant,"Quand un ennemi normal meurt, il explose et inflige des dégâts aux personnages-joueurs pendant 4 secondes. Effet cumulable.",11,1035055
Aggravé,Les personnages-joueurs subissent des dégâts sur la durée croissants jusqu’à ce qu’ils soient soignés.,12,132090
Explosif,"En combat, les ennemis invoquent périodiquement des orbes explosifs qui détonent s’ils ne sont pas détruits.",13,2175503
Sismique,Tous les personnages-joueurs émettent régulièrement une onde de choc qui inflige des dégâts aux alliés proches et les interrompt.,14,136025
Infesté,Des ennemis normaux ont été infestés par un rejeton de G’huun.,16,2032223
Revenant,Les ennemis normaux sont renforcés par Bwonsamdi et reviennent périodiquement d’outre-tombe pour se venger.,117,2446016
Envoûtant,Des émissaires d’Azshara sont présents dans tout le donjon.,119,237565
Éveillé,Des obélisques qui parsèment le donjon permettent aux personnages-joueurs d’entrer dans Ny’alotha pour y affronter de puissants disciples de N’Zoth. Tout disciple laissé en vie devra être éliminé lors du combat final.,120,442737
Orgueilleux,"Vaincre des ennemis normaux remplit les personnages-joueurs de fierté, ce qui finit par créer une manifestation de l’orgueil. Vaincre cette manifestation renforce considérablement les personnages-joueurs.",121,3528307
Inspirant,Certains ennemis normaux ont une présence exaltante qui galvanise leurs alliés.,122,135946
Malveillant,Des démons surgissent des cadavres d’ennemis normaux et poursuivent des personnages-joueurs aléatoires.,123,135945
Tourbillonnant,"En combat, les ennemis invoquent périodiquement des tourbillons dévastateurs.",124,136018
Tourmenté,"Les serviteurs du Geôlier qui peuplent l’ensemble du donjon octroient de puissants bonus une fois vaincus. Si un serviteur n’est pas éliminé, il renforce le boss final.",128,3528304
Infernal,"Vous trouverez des balises infernales près de certains boss. En les activant ou en attaquant un boss proche, vous déclencherez une invasion de la Légion.",129,1394959
Codé,Les ennemis présents dans le donjon possèdent des reliques des Fondateurs. Détruisez ces reliques pour invoquer les Automas des Fondateurs et obtenir de puissants bonus en fonction de l’ordre de leur destruction.,130,4038106
Déguisement,Des infiltrateurs nathrezims se sont déguisés et mêlés aux troupes ennemies du donjon. Le cartel Ta vous récompensera généreusement si vous aidez à les capturer.,131,136177
