ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,Campagne militaire,"En tant que $gchampion:championne; de l’Alliance, il est de votre devoir de contribuer à l’effort de guerre contre la Horde et ses nouvelles forces alliées.",261,0,5793,5793,73395,88077,8,1,0,0,0
2,Campagne militaire,Pour la Horde !,262,0,5793,5793,73395,0,10,0,0,0,0
3,Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,Le maître de Revendreth,Sire Denathrius sait peut-être comment mettre un terme à la pénurie d’anima. Aventurez-vous dans son royaume de Revendreth pour en apprendre davantage.,5279,0,76298,89063,0,85362,16,0,95,105475,0
113,Campagne des Venthyrs,"Le chemin de la rédemption de Revendreth sera long, mais le sombre prince de Tombe-Vice est prêt à s’y engager. Il aura cependant besoin de votre aide pour arracher le royaume des griffes du Maître et de ses partisans.",5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,Le Bastion,Vous avez été $gchargé:chargée; d’enquêter sur les mystérieux Kyrians antreliges que vous avez rencontrés dans l’Antre. Seule l’Archonte qui préside aux destinées du Bastion pourra déterminer leur véritable nature.,5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,L’art de la guerre,"Victimes de dissensions internes, les ambitieux Nécro-seigneurs sont menacés d’extinction. Votre présence réunira sous une seule et même bannière des factions disparates pour en faire une armée capable de défier le destin lui-même.",5287,0,78568,70104,92799,0,19,0,94,105475,0
117,Campagne des Faë nocturnes,Les bosquets de Sylvarden sont à l’agonie. Le désespoir de la reine de l’hiver s’intensifie à chaque arbre céleste qui tombe. La cour de la Nuit et sa souveraine vont avoir besoin de votre aide pour rétablir l’équilibre de la forêt.,5302,0,78569,70103,92586,0,22,0,94,105475,0
118,Lame du Primat,Les armées de Maldraxxus ont attaqué le Bastion. Vous avez été $genvoyé:envoyée; dans ce royaume déchiré par la guerre pour en découvrir la raison.,5282,0,88931,89062,0,85362,18,0,97,105475,0
119,Campagne kyriane,Les nobles Kyrians du Bastion sont au bord du gouffre alors qu’une invasion des désavoués menace d’anéantir leur royaume. Ils vont avoir besoin de votre aide pour en reprendre le contrôle et sauver l’Ombreterre.,5283,0,78609,70101,86729,0,17,0,94,105475,0
