ID,Text_lang
1,[SERVEUR] Arrêt dans %s.
2,[SERVEUR] Redémarrage dans %s.
3,%s
4,[SERVEUR] Arrêt annulé.
5,[SERVEUR] Redémarrage annulé.
6,[SERVEUR] Arrêt du champ de bataille dans %s.
7,[SERVEUR] Redémarrage du champ de bataille dans %s.
8,[SERVEUR] Arrêt de l'instance dans %s.
9,[SERVEUR] Redémarrage de l'instance dans %s.
11,Votre requête sera bientôt traitée.
12,Temps d'attente actuellement indisponible.
13,"Temps d’attente moyen d’une requête :
 %s"
17,[SERVEUR] Arrêt inter-royaume dans %s
18,[SERVEUR] Redémarrage inter-royaume dans %s
124,DEBUG : combat %s
