ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,Nouveautés du pré-lancement de Shadowlands !,Restructuration de la progression,Profitez d’une progression narrative remaniée jusqu’au niveau 50 !,Personnalisation du personnage,Rendez-vous dans un salon de coiffure pour changer de style.,Nécromancie,Découvrez vos techniques de classe mises à jour et préparez-vous à affronter les ténèbres.,60113,60115,0,5364,0,0,87298,119
20,Nouveautés de Shadowlands !,Congrégations,Prêtez allégeance à l’une des quatre congrégations et obtenez des pouvoirs inédits.,Personnalisation du personnage,Rendez-vous dans un salon de coiffure pour changer de style.,Shadowlands,Explorez les royaumes de l’au-delà et découvrez les mystères de la mort.,60545,61874,0,5365,0,0,87299,120
40,Nouveautés des Chaînes de domination !,L’appel de Korthia,Repoussez les troupes du Geôlier dans la cité des Secrets redécouverte.,Mises à jour de Tourment,Atteignez de nouveaux sommets avec le système de progression remanié.,La bataille de Sylvarden,Défendez la forêt éternelle face à l’incursion de la reine banshee !,63576,63576,0,5403,0,0,92337,154
41,,Tazavesh,Contrecarrez un important casse de négociants au marché dissimulé !,Début de la saison 2,"Donjon et récompenses JcJ mis à jour, et nouvel affixe mythique + Tourmenté.",Sanctum de Domination,Affrontez Sylvanas Coursevent au cours de ce combat tant attendu dans la forteresse du Geôlier !,0,0,1,5404,0,0,92337,123
42,Nouveautés de la mise à jour 9.1.5 !,Marcheurs du temps : Legion,Relevez le défi des donjons de Legion en mythique + et de la tour des mages.,Progression améliorée !,"Progression améliorée, réputation et équipement de rattrapage pour les personnages alternatifs !",Mises à jour des congrégations,Changez librement de congrégation au niveau de renom maximum.,0,0,0,5416,0,0,92337,176
43,Nouveauté de La Fin de l’Éternité !,Cryptogramme des Fondateurs,Apprenez la langue des Automas et débloquez de puissantes récompenses.,L’épreuve du Geôlier,Combattez les ennemis les plus mortels sur 8 étages de chaque aile de Tourment.,Zereth Mortis,Affrontez les troupes du Geôlier dans la mystérieuse contrée des Fondateurs.,64942,64942,0,5442,0,0,92337,204
44,Nouveautés de la saison 3 !,Saison 3,"Donjons et récompenses JcJ mis à jour, et nouvel affixe mythique + Codé.",Ensembles de classe,Une apparence d’armure unique et des bonus pour vous aider dans votre combat pour sauver l’Ombreterre.,Sépulcre des Fondateurs,Explorez le sanctum interdit et empêchez le Geôlier de se rendre maître de la réalité.,0,0,0,5443,0,0,92337,149
45,Nouveautés de la mise à jour 9.2.5 !,Quêtes de Lordaeron,Les Réprouvés parviendront-ils à reconquérir les ruines de Lordaeron et à se forger un nouvel avenir ?,Creuset des Énigmes,Participez aux combats d’une nouvelle arène JcJ nichée parmi les merveilles antiques de Zereth Mortis.,Instances interfactions,"Pour la toute première fois, vous pouvez former un groupe de donjon, de raid ou de JcJ coté composé de membres appartenant aux deux factions !",0,0,0,5430,0,0,92337,247
46,Nouveautés de la saison 4 !,Saison 4 de Shadowlands,Obtenez de nouvelles récompenses en donjons de clé mythique et en JcJ.,Nouveaux donjons mythiques +,Redécouvrez des donjons historiques incontournables avec les affixes mythiques !,Raids fatidiques,Redécouvrez les raids de Shadowlands pour vous lancer dans un nouveau défi et gagner des récompenses inédites.,0,0,0,5431,0,0,92337,248
47,Nouveautés du pré-lancement de Dragonflight !,Mises à jour de l’interface utilisateur,Les graphismes de l’IU ont été revisités. Personnalisez-la grâce au nouveau mode Édition !,Dragonflight disponible prochainement !,28 novembre,Nouveau système de talents,"Découvrez une toute nouvelle classe, des arbres de spécialisation et créez votre propre configuration de talents !",0,0,0,5482,0,0,87298,250
48,Nouveautés du pré-lancement de Dragonflight !,Tempête déchaînée,Triomphez de puissants élémentaires au cœur de tempêtes ravageant Azeroth.,Uldaman,Bravez les périls d’Uldaman pour assurer l’avenir des peuples draconiens.,Évocateur dracthyr,Une nouvelle race s’est éveillée sur Azeroth. Découvrez une classe inédite et faites appel au pouvoir des Vols draconiques pour infliger des dégâts ou soigner vos alliés.,0,0,0,5483,0,0,104814,262
49,Nouveautés de Dragonflight !,Mise à jour des métiers,"Nouvelles fonctionnalités en approche : commandes d’artisanat, équipement, spécialisations et bien plus encore !",Vol à dos de Dragon,Sillonnez les cieux des îles aux Dragons grâce à un nouveau système de déplacement envoûtant !,Îles aux Dragons,Gagnez le foyer ancestral des Vols draconiques et aidez-les à retrouver leur grandeur perdue.,67700,65444,0,5484,0,0,104813,254
50,Nouveautés de la saison 1 !,Saison 1 de JcJ,Obtenez des récompenses avec le nouveau mode Brassage solo coté.,Saison 1 mythique +,Une nouvelle liste de donjons et l’affixe Foudroiement vous attendent.,Caveau des Incarnations,Empêchez les Primalistes de libérer les frères et la sœur emprisonnés de Raszageth.,0,0,0,5492,0,0,104738,260
55,Nouveautés de la mise à jour 10.0.5 !,La Fureur de l’orage,Affrontez les Primalistes dans l’avenir des Primalistes pour obtenir des récompenses épiques.,Mises à jour des transmogrifications,Les objets gris et blancs peuvent désormais être récupérés pour des transmogrifications !,Comptoirs ouverts !,De nouvelles boutiques proposant des options d’apparence sont ouvertes à Hurlevent et Orgrimmar.,0,0,0,5529,0,0,104814,343
56,Nouveautés de la version 10.0.7 !,Héritage orc et humain,Récupérez des ensembles d’armure différents en découvrant l’histoire et la culture de ces races.,Mise à jour de l’offre de parrainage,Recevez de nouvelles récompenses extraordinaires en invitant vos proches sur Azeroth !,Retour dans les confins Interdits,Plongez dans les mystères abandonnés par les Dracthyrs lors de leur fuite.,74381,74381,0,5514,0,0,104814,362
57,Nouveautés de la mise à jour 10.1.0 !,Glissedrake méandrique,Sillonnez la grotte de Zaralek sur la nouvelle monture draconique de la zone !,Guildes interfactions,"Pour la toute première fois de l’histoire, des joueurs et joueuses de l’Alliance et de la Horde peuvent unir leurs efforts au sein de la même guilde !",Grotte de Zaralek,Poursuivez l’histoire de la Flamme fracturée et affrontez les troupes des Incarnations dans cette étendue souterraine oubliée.,72975,72975,0,5532,0,0,104814,364
58,Nouveautés de la saison 2 !,Saison 2 de Dragonflight,Obtenez de nouvelles récompenses en donjons de clé mythique et en JcJ,Renouvellement mythique +,Découvrez de nouveaux affixes et un choix renouvelé de donjons en mode mythique + !,"Aberrus, le creuset de l’Ombre",Poursuivez Sarkareth et explorez l’héritage de Neltharion dans cet ancien laboratoire.,0,0,1,5533,0,0,104738,294
59,Nouveautés de la mise à jour 10.1.5 !,Augmentation débloquée,Une nouvelle spécialisation de dégâts avec un style de jeu de soutien unique !,Voies temporelles délitées,Soutenez le Vol draconique de bronze dans les marges des Éons et les failles temporelles !,Aube de l’Infini,Affrontez le Vol draconique infini dans un méga donjon mythique !,0,0,0,5540,0,0,104814,379
60,Nouveautés de la mise à jour 10.1.7 !,Armure ancestrale des Réprouvés et des Elfes de la nuit,Récupérez des ensembles d’armure différents en découvrant l’histoire et la culture de ces races.,Découvrez le système des pings,Rendez-vous dans le menu des options pour communiquer plus rapidement avec les pings.,Poussées oniriques,Affrontez des ennemis renforcés par le Rêve dans toutes les îles aux Dragons tandis qu’Amirdrassil se prépare à éclore !,0,0,0,5548,0,0,104814,422
