Description_lang,StandingModified_lang,StandingChangedText_lang,ID,FactionID,TextureFileID,Flags
Relation avec le fermier Fung : %s. Fung aime les lys des marais et le rôti de sauvagine.,,,2,1283,0,0
Relation avec Chii Chii : %s. Chii Chii aime les plumes bleues et le sauté de la vallée.,,,16,1277,0,0
Relation avec Ella : %s. Ella aime les chats de jade et les raviolis aux crevettes.,,,17,1275,0,0
Relation avec Marée Pelage de Roseau : %s. Marée aime les chats de jade et les plats de poissons jumeaux.,,,18,1282,0,0
Relation avec Gina Griffe de Tourbe : %s. Gina aime les lys des marais et la soupe de brumes tourbillonnantes.,,,19,1281,0,0
Relation avec Haohan Griffe de Tourbe : %s. Haohan aime les éclats de rubis et le steak de tigre grillé au feu de bois.,,,20,1279,0,0
Relation avec Jogu l’Ivrogne : %s. Jogu aime les pommes délicieuses et les carottes sautées.,,,21,1273,0,0
Relation avec le Vieux Patte des Hauts : %s. Le Vieux Patte des Hauts aime les plumes bleues et la tortue braisée.,,,22,1276,0,0
Relation avec Sho : %s. Sho aime les pommes délicieuses et le poisson de l’Éternel printemps.,,,23,1278,0,0
Relation avec Tina Griffe de Tourbe : %s. Tina aime les éclats de rubis et le saumon de l’esprit du feu.,,,24,1280,0,0
"Nomi est %s cuisinier très talentueux. À chaque nouvelle leçon, il devient de plus en plus compétent.",,,25,1357,0,0
"Relation avec Nat : %s. Nat aime boire. Peut-être que si vous lui rapportez des poissons rares, il partagera ses boissons !",,,26,1358,0,0
Vous êtes actuellement au %s dans l’arène de Castagn’ar.,,,28,2372,666624,0
Vous êtes actuellement au %s au Bar-Tabasse de Bizmo.,,,43,2371,666623,0
La Rébellion sombrelance est %s.,,,72,1440,666624,0
Tormmok est actuellement votre %s.,,,160,1736,666623,0
Illona est actuellement votre %s.,,,162,1738,666623,0
Aeda Brillaube est actuellement votre %s.,,,163,1740,666623,0
Delvar Poing-de-Fer est actuellement votre %s.,,,164,1733,666623,0
Vivianne est actuellement votre %s.,,,165,1739,666623,0
Le prêtre de la serre Ishaal est actuellement votre %s.,,,166,1737,666623,0
Leorajh est actuellement votre %s.,,,167,1741,666623,0
%s,,,171,1374,666624,0
%s,,,172,1419,666623,0
"La Première arcaniste Thalyssra est dans un état de %s.

Les Sacrenuit ont une soif insatiable de |cFF66BBFFmana ancestral|r, que l’on peut trouver un peu partout à Suramar.",,,181,1860,1391545,0
"Silgryn est dans un état de %s.

Les Souffrenuit ont une soif inextinguible de |cFF66BBFFmana ancestral|r. Il en existe de nombreuses sources naturelles à Suramar, même si aucune n’est aussi puissante que le Puits de la nuit.",,,182,1861,1391545,0
"Le télémancien en chef Oculeth est dans un état de %s.

Les Sacrenuit ont une soif insatiable de |cFF66BBFFmana ancestral|r, que l’on peut trouver un peu partout à Suramar.",,,183,1862,1391545,0
7.0 Champions Test - Chen Stormstout - Uses Test Faction (949),,,184,949,666623,0
"L’arcaniste Valtrois est dans un état de %s.

Les Sacrenuit ont une soif insatiable de |cFF66BBFFmana ancestral|r, que l’on peut trouver un peu partout à Suramar.",,,185,1919,1391545,0
Relation avec l’adjurateur Margoss : %s. Il n’a jamais particulièrement aimé les arts magiques. La pêche est sa véritable passion !,,,193,1975,0,0
Relation avec Olissara et Angélique : |5%s. Elles cherchent à apporter leur aide en fournissant du matériel médical.,,,195,1984,0,0
Arne Test - is currently your %s.,,,198,0,666623,0
Relation avec Ilyssia des Eaux : %s. Pêchez avec elle sur Azsuna.,,,199,2097,0,0
Relation avec Akule : %s. Pêchez avec lui à Haut-Roc.,,,200,2099,0,0
Relation avec Diablotus : %s. Pêchez avec lui au rivage Brisé.,,,202,2102,0,0
Relation avec la gardienne Raynae : %s. Pêchez avec elle en Val’sharah.,,,204,2098,0,0
Relation avec Sha’leth : %s. Pêchez avec elle à Suramar.,,,206,2101,0,0
Relation avec Corbyn : %s. Pêchez avec lui en Tornheim.,,,208,2100,0,0
Relation avec Chromie : %s.,,,209,2135,0,0
%s,,,210,1691,666624,0
%s,,,212,1690,666624,0
Le pterreurdactyle est devenu un %s.,,,213,2233,0,0
Le navrecorne est devenu un %s.,,,315,2370,0,0
Le chasseur Akana est %s.,Le chasseur Akana a gagné %d points d’expérience du combat.,Le chasseur Akana a atteint %s,316,2375,0,25
Le long-voyant Ori est %s.,Le long-voyant Ori a gagné %d points d’expérience du combat.,Le long-voyant Ori a atteint %s.,317,2376,0,25
Le maître-lame Inowari est %s.,Le maître-lame Inowari a gagné %d points d’expérience du combat.,Le maître-lame Inowari a atteint %s.,318,2377,0,25
Néri Tranchécaille est %s.,Néri Tranchécaille a gagné %d points d’expérience du combat.,Néri Tranchécaille a atteint %s.,320,2389,0,25
Poën Seldemer est %s.,Poën Seldemer a gagné %d points d’expérience du combat.,Poën Seldemer a atteint %s.,323,2388,0,25
Vim Saumecœur est %s.,Vim Saumecœur a gagné %d points d’expérience du combat.,Vim Saumecœur a atteint %s.,324,2390,0,25
Une butineuse dos-de-miel %s.,,,325,2398,0,0
Un faux-bourdon dos-de-miel %s.,,,326,2396,0,0
Une reine de l’essaim dos-de-miel %s.,,,327,2397,0,0
%s,,,339,2011,666624,0
%s,,,340,2010,666624,0
Le jeune aqir est devenu un %s.,,,365,2427,0,0
