Name_lang,ID,Field_12_0_0_63724_002,RoomComponentType,TextureFileDataID,Field_11_2_7_64438_005,HouseThemeID
Dalle,3,1,2,7535056,2,1
Parquet folklorique,4,1,2,7535057,4,1
Poutre en bois folklorique,5,1,3,6125220,0,1
Stuc folklorique,22,1,1,5658169,0,1
Pierre brute,24,1,1,6856592,0,2
Marbre gravé de Lune-d’Argent,33,1,1,6986816,0,5
Bois brut,40,1,2,7535058,4,2
Mosaïque de Lune-d’Argent,49,1,2,7494198,2,5
Bois brut,54,1,3,6856593,0,2
Marbre sanguin de Lune-d’Argent,60,1,3,6986850,0,5
Lambris en bois de Bel’ameth,61,1,3,6992184,0,4
Bois tendre de Bel’ameth,63,1,1,7114465,0,4
Parquet de Bel’ameth,65,1,2,7491486,4,4
Cottage,162,1,1,7535055,0,1
