ID,RaceMask,Name_lang,Description_lang,Flags,ClassMask,SpellIconFileID
1,-6184943489809468494,Téléportation,Vous téléporte dans une grande ville.,0,128,237509
8,6130900294268439629,Téléportation,Vous téléporte dans une grande ville.,0,128,237509
9,-1,Appel du familier,Appelle un familier actif à vos côtés.,0,4,132161
10,-1,Invoquer un démon,Invoque l'un de vos démons à vos côtés.,0,256,136082
11,-6184943489809468494,Portail,Crée un portail qui téléporte les membres du groupe qui l'utilisent dans une grande ville.,0,128,135744
12,6130900294268439629,Portail,Crée un portail qui téléporte les membres du groupe qui l'utilisent dans une grande ville.,0,128,135748
66,-1,Poisons,Applique un venin puissant sur vos armes.,0,8,136242
67,-1,Grimoire de servitude,"Invoque instantanément un deuxième démon, qui combat pendant 25 secondes.",0,256,538444
84,-1,Voie héroïque : Mists of Pandaria,Téléporte à l’entrée d’un donjon de Mists of Pandaria pour lequel vous avez obtenu une médaille d’or ou le haut fait $gHéros:Héroïne; mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon en mode Clé mythique.,0,-1,519384
92,-1,Variantes de Métamorphose,"Variations cosmétiques du sort Métamorphose, qui transforme la cible en diverses créatures.",0,128,575586
93,-1,Munitions exotiques,Modifiez votre arme à distance pour utiliser des munitions qui sortent de l’ordinaire.,0,4,249177
96,-1,Voie héroïque : Warlords of Draenor,Téléporte à l’entrée d’un donjon de Warlords of Draenor pour lequel vous avez obtenu une médaille d’or ou le haut fait $gHéros:Héroïne; mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon en mode Clé mythique.,0,-1,519384
103,-1,Outils pour familier,Un ensemble d’outils pour vous aider à vous occuper de votre familier.,0,4,132179
106,-1,Variantes de Maléfice,Variations cosmétiques du sort Maléfice qui permettent de transformer la cible en diverses créatures. ,0,64,538518
217,-1,Instruments kyrians,Vous jouez d’un instrument kyrian.,0,0,454048
219,-1,Adaptation,Vous embrassez un autre type de magie pour modifier votre attaque de souffle.,0,4096,254886
220,-1,Voie du héros : Shadowlands,Téléporte à l’entrée d’un donjon de Shadowlands pour lequel vous avez obtenu le haut fait Héros mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon en mode Clé mythique.,0,-1,519384
222,-1,Voie héroïque : Shadowlands,Téléporte à l’entrée d’un raid de Shadowlands. Disponible après avoir obtenu le haut fait mythique Fatalités des raids de Shadowlands.,0,-1,519384
223,-1,Voie héroïque : Battle for Azeroth,Téléporte à l’entrée d’un donjon de Battle for Azeroth pour lequel vous avez obtenu le haut fait $gHéros:Héroïne; mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon en mode Clé mythique.,0,-1,519384
224,-1,Voie héroïque : Legion,Téléporte à l’entrée d’un donjon de Legion pour lequel vous avez obtenu le haut fait $gHéros:Héroïne; mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon en mode Clé mythique.,0,-1,519384
225,-1,Pistage de chasseur,Indique le type des créatures des environs sur la minicarte.,0,4,132328
226,-1,Suivi des composants de métier récupérables,Indique l’emplacement des composants récupérables proches sur la minicarte.,0,-1,134441
227,-1,Voie héroïque : Dragonflight,Vous téléporte à l’entrée d’un donjon de Dragonflight pour lequel vous avez obtenu le haut fait $gHéros:Héroïne; mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon en mode Clé mythique.,0,-1,519384
229,-1,Vol à dos de Dragon,Vous vous envolez sur le dos d’un drake des îles aux Dragons et utilisez ces capacités pour vous déplacer.,0,-1,4640486
