ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Field_8_2_0_30080_005,Field_8_2_0_30080_006
6,Emprunter le portail du sanctuaire du Sorcier vers la forêt de Jade,7262,67395,4,1,10
7,"Sanctuaire du Sorcier, portail vers la forêt de Jade",7263,924,0,2,0
8,Sortir du tram des profondeurs,7264,924,4,0,30
9,Entrer dans le sanctuaire du Sorcier,7266,924,0,0,0
10,Emprunter le portail du sanctuaire Terrestre de l’Est vers Uldum,7267,37426,0,1,0
11,Emprunter le portail du sanctuaire Terrestre de l’Est vers le mont Hyjal,7268,37427,0,1,0
12,Emprunter le portail du sanctuaire Terrestre de l’Est vers les hautes-terres du Crépuscule,7269,37428,0,1,0
13,Emprunter le portail du sanctuaire Terrestre de l’Est vers Vashj’ir,7270,57340,0,1,0
14,Emprunter le portail du sanctuaire Terrestre de l’Est vers Tol Barad,7271,924,0,1,0
15,Emprunter le portail du sanctuaire Terrestre de l’Est vers le Tréfonds,7272,37429,0,1,0
16,Uldum,7273,0,0,2,0
17,Mont Hyjal,7274,0,0,2,0
18,Emprunter le portail de Nordrassil vers Hurlevent,7275,924,0,1,0
19,"Hurlevent, le sanctuaire Terrestre de l’Est",7276,924,0,2,0
20,Hautes-terres du Crépuscule,7277,924,0,2,0
21,Vashj’ir,7278,924,0,2,0
22,"Sanctuaire Terrestre de l’Est, portail vers Tol Barad",7279,924,0,2,0
23,Emprunter le portail du campement de Baradin vers Hurlevent,7280,924,0,1,0
24,Le Tréfonds,7281,924,0,2,0
25,Emprunter le portail du temple de la Terre vers Hurlevent,7282,924,0,1,0
26,Emprunter le portail de Pao’don vers Hurlevent,7283,924,0,1,0
27,Emprunter le portail du sanctuaire du Sorcier vers la forêt du Chant de cristal,7284,76876,4,1,10
28,"Sanctuaire du Sorcier, portail vers la forêt du Chant de cristal",7285,924,0,2,0
29,Emprunter le portail de l’enclave Argentée vers Hurlevent,7286,924,0,1,0
30,Emprunter le portail du sanctuaire du Sorcier vers l’Exodar,7287,924,4,1,10
31,"Sanctuaire du Sorcier, portail vers l’Exodar",7288,924,0,2,0
32,Emprunter le portail de l’île de Brume-Azur vers Darnassus,7289,924,1,1,0
33,"Sombrivage, portail vers Darnassus",7290,924,0,2,0
36,Emprunter le portail de l’escalier du Destin vers Hurlevent,7293,924,0,1,0
37,Emprunter le portail du sanctuaire du Sorcier vers Shattrath,7294,6289,4,1,10
38,"Shattrath, terrasse de la Lumière",7295,0,0,2,0
39,Emprunter le portail de la terrasse de la Lumière vers l’île de Quel’Danas,7296,0,0,1,0
40,"Terrasse de la Lumière, portail vers l’île de Quel’Danas",7297,0,0,2,0
41,Emprunter le portail de la terrasse de la Lumière vers Hurlevent,7298,924,0,1,0
42,Emprunter le portail du sanctuaire du Sorcier vers A’shran,7299,67397,4,1,10
43,"A’shran, Bouclier-des-Tempêtes",7300,924,2,2,0
44,Emprunter le portail de Bouclier-des-Tempêtes vers Darnassus,7301,924,1,1,0
45,Emprunter le portail de Bouclier-des-Tempêtes vers Forgefer,7302,924,1,1,0
46,"Bouclier-des-Tempêtes, portail vers Forgefer",7303,924,0,2,0
47,Emprunter le portail de Bouclier-des-Tempêtes vers Hurlevent,7304,924,0,1,0
48,Emprunter le portail du sanctuaire du Sorcier vers Azsuna,7305,67396,4,1,10
49,"Sanctuaire du Sorcier, portail vers Azsuna",7306,924,0,2,0
50,Emprunter le portail du palais Croulant vers Hurlevent,7307,924,0,1,0
51,Emprunter le portail du sanctuaire du Sorcier vers Boralus,7308,67398,4,1,10
52,"Sanctuaire du Sorcier, portail vers Boralus",7309,924,0,2,0
53,Emprunter le portail de l’enclave de Croc-Gris vers Hurlevent,7314,924,0,1,0
54,Emprunter le portail du sanctuaire des Sept-Étoiles vers Hurlevent,7315,924,0,1,0
55,Emprunter le portail du hall des Mystères vers la péninsule des Flammes infernales,7316,924,1,1,0
56,"L’escalier du Destin, portail vers Hurlevent",7317,924,1,2,0
57,Entrer dans le tram des profondeurs,7318,924,0,1,0
58,Sortie à Forgefer,7319,924,0,2,0
59,Monter à bord du tram,7320,924,0,0,0
60,Monter à bord du tram,7321,924,0,0,0
61,Emprunter le portail du sanctum des Sages vers Hurlevent,7322,62085,0,1,0
62,Emprunter le portail du sanctum des Sages vers l’Exodar,7323,62085,0,1,0
63,Emprunter le portail du sanctum des Sages vers Forgefer,7324,62085,0,1,0
64,Prendre le bateau de Hurlevent vers Boralus,7325,924,0,1,0
65,Prendre le bateau de Boralus vers Hurlevent,7326,924,0,1,0
66,Prendre le bateau de Hurlevent vers le donjon de la Bravoure,7327,924,0,0,0
67,Prendre le bateau du donjon de la Bravoure vers Hurlevent,7343,924,0,0,0
68,Prendre le bateau de la baie de Barardin vers l’île de Theramore,7328,924,0,0,0
69,Prendre le bateau de l’île de Theramore vers le port de Menethil,7329,924,0,0,0
70,Prendre le bateau du port de Menethil vers la baie de Coiffedague ,7330,924,0,0,0
71,Prendre le bateau de la baie de Coiffedague vers le port de Menethil,7331,924,0,0,0
72,Prendre le bateau de la baie du Butin vers Cabestan,7332,0,0,0,0
73,Prendre le bateau de Cabestan vers la baie du Butin,7333,0,0,0,0
74,Prendre le bateau d’Unu’pe vers Port-Moa’ki,7334,0,0,0,0
75,Prendre le bateau de Port-Moa’ki vers Unu’pe,7335,0,0,0,0
76,Prendre le bateau de Port-Moa’ki vers Kamagua,7336,0,0,0,0
77,Prendre le bateau de Kamagua vers Port-Moa’ki,7337,0,0,0,0
78,Entrer dans le sanctuaire du Sorcier,7338,924,1,0,0
79,Entrer dans le tram des profondeurs,7339,924,0,1,0
80,Sortie à Hurlevent,7340,924,0,2,0
81,Port de Boralus,7344,924,0,2,0
82,Parler au maître des docks pour voyager vers Boralus,7345,924,0,1,0
83,Parler au maître des docks pour voyager vers Boralus,7346,924,0,1,0
84,Prendre le bateau de Vol’dun vers Boralus,7347,924,0,1,0
85,Traverser la Porte des ténèbres vers Draenor,7348,69532,0,1,0
86,"Porte des ténèbres vers Bouclier-des-Tempêtes, A’shran",7349,33093,2,2,0
87,Porte des ténèbres vers la vallée d’Ombrelune,7350,924,2,2,0
88,Porte des ténèbres vers l’assaut de Tanaan,7351,87481,0,2,0
89,Porte des ténèbres vers la péninsule des Flammes infernales,7352,0,0,2,0
90,Traverser la Porte des ténèbres vers les terres Foudroyées,7353,0,0,1,0
91,"Terres Foudroyées, Porte des ténèbres",7348,0,0,2,0
92,Traverser la Porte des ténèbres vers l’Outreterre,7348,69535,0,1,0
93,Emprunter le portail du Vindicaar vers Dalaran,7354,0,0,1,0
94,Emprunter le portail du Vindicaar vers Dalaran,7355,0,0,1,0
95,Emprunter le portail du Vindicaar vers Dalaran,7356,0,0,1,0
96,"Aire de Krasus, Dalaran",7357,0,0,2,0
97,Entrée de Forgefer,7358,924,1,0,0
98,"Wizard's Sanctum, Portal to Shattrath [DNT TEMP]",7294,70119,1,1,0
99,Emprunter le portail du sanctuaire Terrestre de l’Ouest vers le mont Hyjal,7386,37427,0,1,0
100,Emprunter le portail de Nordrassil vers Orgrimmar,7387,923,0,1,0
101,Antre du Guide,7388,923,0,2,0
102,Emprunter le portail du sanctuaire Terrestre de l’Ouest vers le Tréfonds,7389,37429,0,1,0
103,Le Tréfonds,7390,923,0,2,0
104,Emprunter le portail du temple de la Terre vers Orgrimmar,7391,923,0,1,0
105,Emprunter le portail du sanctuaire Terrestre de l’Ouest vers les hautes-terres du Crépuscule,7392,37428,0,1,0
106,Hautes-terres du Crépuscule,7393,923,0,2,0
107,Emprunter le portail du port Gueule-de-dragon vers Orgrimmar,7394,76948,0,1,0
108,Sanctuaire Terrestre de l’Ouest,7395,923,0,2,0
109,Emprunter le portail du sanctuaire Terrestre de l’Ouest vers Uldum,7396,37426,0,1,0
110,Emprunter le portail du sanctuaire Terrestre de l’Ouest vers Vashj’ir,7397,57341,0,1,0
111,Vashj’ir,7398,923,0,2,0
112,Emprunter le portail du sanctuaire Terrestre de l’Ouest vers Tol Barad,7399,923,0,1,0
113,Tol Barad,7400,923,0,2,0
114,Emprunter le portail de l’Emprise de Hurlenfer vers Orgrimmar,7401,923,0,1,0
115,Emprunter le portail de l’antre du Guide vers Lune-d’Argent,7402,923,0,1,0
116,Lune-d’Argent,7403,923,0,2,0
117,Emprunter le portail de la flèche de Solfurie vers Orgrimmar,7404,923,0,1,0
118,Utiliser l’orbe de transposition dans le Sanctum intérieur pour voyager vers Fossoyeuse,7405,923,0,1,0
