Name_lang,ID,Field_10_0_5_47118_002
,1,0
Janvier : nouveau départ,6,1
Février : petits soins et partage,7,2
Mars : la grande classe,8,3
Avril : sautillement printanier,9,4
Mai : Un jeu d’enfant,10,5
Juin : jouer avec le feu,11,6
Juillet : festivités !,12,7
Août : Affrontement !,13,8
Septembre : l’heure de faire la fête,14,9
Octobre : effrayant et déluré,16,10
Novembre : plus on est de fous…,18,11
Décembre : refroidissement,19,12
Janvier : nouveau départ,20,13
Février : l’amour est plus fort que tout,21,14
