AreaName_lang,ID,OrderIndex,PlayerConditionID,AreaID
Chambre de la Lumière perdue,1,0,68604,9994
Terrasse de l’Artisanat,2,1,63282,8670
Le Mouillage du Gosier,3,0,63448,9401
La Bouteille à la Mer,4,0,63426,9617
La Brasse coulée,5,0,5703,9617
Planque de Heyman,6,0,63291,8502
Le Banc de Sable,7,0,63292,8733
Le puits Hurlant,8,0,5703,9698
Taverne de Torga,9,0,63306,8502
Le Ventre de la Baleine,10,0,63374,8567
Planque des péons,11,0,65214,5484
Grotte de Grong,12,0,65990,9420
Grotte de Grong,13,0,65990,8731
Le Refuge,15,0,67602,9979
Le Refuge,16,0,67602,8717
La Fureur d’Anduin,17,0,67138,10454
L’Horizon,18,0,67139,10454
Sourire de Tiffin,19,0,67140,10454
Cœur-de-Lion,20,0,67141,10454
Cœur-de-Lion,21,0,67141,10455
Sourire de Tiffin,22,0,67140,10455
L’Horizon,23,0,67139,10455
La Fureur d’Anduin,24,0,67138,10455
Lumière des Loas,25,0,68603,9994
Salon du duc fou,27,0,73061,10985
Planque de Costel,28,0,73506,10985
Manoir des serviteurs,29,1,76787,10985
Siège du Primat,30,0,78035,11466
Citadelle du Doute,31,0,0,13311
Zerekriss,42,0,85380,11462
Balafrerie,43,0,86352,13473
Zolramus,44,0,86354,13473
Salle d’Arkoban,45,0,87430,13400
Salle de torture : Jaina,46,0,87491,13404
Salle de torture : Thrall,47,0,87550,13413
Cercle de danse,48,0,88819,11510
Cercle de danse,49,0,88819,12244
Cercle de danse,50,0,88819,12243
Ossuaire des Bannis,51,0,89786,13575
Temple de la Dévotion,52,0,91076,11379
La Faille,53,0,91308,13196
La Faille,54,0,91308,11524
La Faille,55,0,91308,11528
La Faille,56,0,91308,11530
La Faille,57,0,91308,11400
La Faille,58,0,91308,13217
La Faille,59,0,91308,13216
La Faille,60,0,91308,13560
La Faille,61,0,91308,11526
La Faille,62,0,91308,13215
Creux de l’Insolent,63,0,91308,13432
La Faille,64,0,91308,11525
La Faille,65,0,91308,13222
La Faille,66,0,91308,11529
La Faille,67,0,91308,13223
La Faille,68,0,91308,13437
La Faille,69,0,91308,13218
La Faille,70,0,91308,13491
La Faille,71,0,91308,13492
La Faille,72,0,91308,11527
La Faille,73,0,91308,13219
La Faille,74,0,91308,13221
La Faille,75,0,91308,13570
La Faille,76,0,91308,13624
La Faille,77,0,91308,13625
La Faille,78,0,91308,13626
La Faille,79,0,91308,13627
La Faille,80,0,91308,13628
La Faille,81,0,91308,13629
La Faille,82,0,91308,13630
La Faille,83,0,91308,13631
La Faille,84,0,91308,13666
La Faille,85,0,91308,13673
La Faille,86,0,91308,13677
La Faille,87,0,91308,13538
Pénitence du roi déchu,88,0,92820,13561
Surplomb de l’Œil,89,3,92897,13561
Bain à bulles,90,0,102752,14158
Plongeon du Dériveur,91,0,105179,13646
Caveau Ur de Zskera,92,0,105458,14619
Caveau Az de Zskera,93,0,105457,14619
Caveaux de Zskera,94,0,108147,14619
Caveau Kx de Zskera,95,0,106952,14619
Caveau Ix de Zskera,96,0,105459,14619
Camp de suffusion : brûlure du givre,97,3,109548,13892
Camp de suffusion : vent cendreux,98,1,107864,13754
Camp de suffusion : brûlure du givre,99,1,109548,13860
Ruines de Rochefoyer,100,0,111020,14875
Grand Rempart,101,1,125385,15362
Grand Rempart,103,1,125385,15364
Terrasse de la Majesté,104,1,125954,15365
Le sommet Sublime,105,1,126053,15365
Arène de Kili-zar,106,1,126056,15365
"Entrepreneur, SA",107,0,127336,15351
"Entrepreneur, SA",108,0,127336,15350
Le Grisbi,109,0,128497,15347
