OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,La Fabrication multiple permet d’obtenir jusqu’à $ev1% de potions supplémentaires.,24833,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions.,24834,0,0,0,0
,,Vous apprend $@spellname370668.,24835,370668,0,0,0
,,+$ev1% en $en1 lors de la préparation de potions.,24836,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions.,24837,0,0,0,0
Production de masse,,Améliore votre maîtrise de l’art de préparer des potions plus efficacement. Confère un bonus de +$ev1 $en1 par point affecté à cette spécialisation.,24838,0,4624378,0,0
,,"Vous apprend à faire une $@spellname370745, ce qui vous permet d’obtenir des potions de meilleure qualité et augmente vos chances de découvrir de nouvelles recettes.",24839,370745,0,0,0
,,Confère 5% de chances d’avancée majeure lorsque vous effectuez des expérimentations avec des potions.,24840,0,0,0,0
,,"Chaque fois que vous réussissez une avancée majeure en effectuant des expérimentations avec des potions, vous obtenez un bonus de +20 à l’Inspiration pendant 4 heures pour toutes les fabrications d’alchimie.",24841,0,0,0,0
,,Confère 5% de chances d’avancée majeure lorsque vous effectuez des expérimentations avec des potions.,24842,0,0,0,0
,,Confère 10% de chances d’avancée majeure lorsque vous effectuez des expérimentations avec des potions.,24843,0,0,0,0
Expérimentation avec potion,,"Améliore votre compréhension des composants, ce qui donne à vos expériences plus de chances de produire des résultats satisfaisants. Confère un bonus de +1% de chances de réussir une avancée majeure en effectuant des expérimentations avec des potions par point affecté à cette spécialisation.",24844,0,4624379,0,0
,,Vous apprend à créer et utiliser le composant de finition $@spellname370735 qui améliore votre compétence lors de la fabrication de chaudrons de potions et de pierres d’alchimiste.,24845,370735,0,0,0
,,Vous apprend la dernière sous-spécialisation.,24846,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions.,24847,0,0,0,0
,,Vous apprend la sous-spécialisation de votre choix.,24848,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions.,24849,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions.,24850,0,0,0,0
Connaissance des potions,,Vous vous penchez plus avant sur les mystères des potions et des pierres d’alchimiste liées. Confère un bonus de +$ev1 $en1 par point affecté à cette spécialisation.,24851,0,4624657,0,0
,,Vous apprend à créer et utiliser le composant de finition $@spellname370735 qui améliore votre compétence lors de la fabrication de potions à base d’air.,24852,370735,0,0,0
,,+$ev1 $en1 lors de la préparation de potions à base d’air.,24853,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions à base d’air.,24854,0,0,0,0
,,La vitesse de déplacement conférée par la consommation de potions des îles aux Dragons est augmentée.,24855,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions à base d’air.,24856,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions à base d’air.,24857,0,0,0,0
,,Consommer une potion des îles aux Dragons confère un bref bonus à la vitesse de déplacement.,24858,0,0,0,0
Potions à base d’air,,Améliore votre capacité à préparer des potions utilisant des airs agités ou éveillés comme composant de base. Confère un bonus de +$ev1 $en1 par point affecté à cette spécialisation.,24859,0,4497566,0,0
,,Vous apprend à créer et utiliser le composant de finition $@spellname370735 qui améliore votre compétence lors de la fabrication de potions à base de givre.,24860,370735,0,0,0
,,+$ev1 $en1 lors de la préparation de potions à base de givre.,24861,0,0,0,0
,,+$ev1 $en1 lors de la préparation de potions à base de givre.,24862,0,0,0,0
,,Les soins conférés par la consommation de potions des îles aux Dragons sont augmentés.,24863,0,0,0,0
