Title_lang,Subtitle_lang,InstructionText_lang,SubIcon_lang,TitleTooltip_lang,SubtitleTooltip_lang,EventToastID,PlayerConditionID,UiTextureAtlasMemberID,UiTextureKitID,EventType,DisplayType,EventAsset,Field_9_1_0_38312_011,IconFileID,UiWidgetSetID,ExtraUiWidgetSetID,TitleTooltipUiWidgetSetID,SubtitleTooltipUiWidgetSetID,ShowSoundKitID,HideSoundKitID,Field_10_2_5_52554_021
niveau %d,Vous avez atteint le,,,,,1,117398,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Donjon déverrouillé !,,,,,2,117398,12015,0,2,3,0,0,0,0,0,0,0,0,0,0
,Nouvelle technique débloquée !,,,,,3,117398,12014,0,1,3,0,0,0,0,0,0,0,0,0,0
,Raid débloqué !,,,,,4,92737,12015,0,3,3,0,0,0,0,0,0,0,0,0,0
,Nouvelle phase,,,,,5,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0
,,,,,,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,Gain de niveau,,,,,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0
,Nouvelle technique disponible !,,,,,9,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
Vous avez capturé,,,,,,10,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
%s%s,,,,,,11,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
Butin de zone,Fonctionnalité débloquée !,"Dorénavant, fouiller un corps permet de récupérer automatiquement le butin de tous les cadavres proches.",Butin de zone débloqué,,,12,90425,12015,0,15,3,0,0,1022948,0,0,0,0,183581,0,0
Salle de Skoldus,Niveau %19812w,,,,,14,79354,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Couloirs Distordus,Niveau %19812w,,,,,15,79355,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Chambres aux Fractures,Niveau %19812w,,,,,16,79363,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Forges des Âmes,Niveau %19812w,,,,,17,79365,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Interstice Cœur-Algide,Niveau %19812w,,,,,18,79368,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Mort’regar,Niveau %19812w,,,,,19,79366,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Outil Donjons,Fonctionnalité débloquée !,,Nouvelle fonctionnalité débloquée : |cffFF4E00|Hlfd:|h[Outil Donjons]|h|r,,,20,90424,12015,0,15,3,0,0,397907,0,0,0,0,0,0,0
Champs de bataille,Fonctionnalité débloquée !,,Nouvelle fonctionnalité débloquée : |cffFF4E00|Hpvpbgs:|h[Champs de bataille]|h|r,,,21,90427,12015,0,15,3,0,0,132147,0,0,0,0,0,0,0
Spécialisation,Fonctionnalité débloquée !,,Nouvelle fonctionnalité débloquée : |cffFF4E00|Hspecpane:|h[Spécialisations]|h|r,,,22,90428,12015,0,15,3,0,0,132222,0,0,0,0,0,0,0
Talents,Fonctionnalité débloquée !,,Nouvelle fonctionnalité débloquée : |cffFF4E00|Htalentpane:|h[Talents]|h|r,,,23,90429,12015,0,15,3,0,0,132222,0,0,0,0,0,0,0
Talents JcJ,Fonctionnalité débloquée !,,Nouvelle fonctionnalité débloquée : |cffFF4E00|Htalentpanet:|h[talents JcJ]|h|r disponibles !,,,24,90430,12015,0,15,3,0,0,132147,0,0,0,0,0,0,0
Équipement de monte,Fonctionnalité débloquée !,,Nouvelle fonctionnalité débloquée : |cffFF4E00|Hmountequipment:|h[Équipement de monte]|h|r disponible !,,,25,90431,12015,0,15,3,0,0,1534178,0,0,0,0,0,0,0
Expéditions,Fonctionnalité débloquée !,Ouvrez votre carte du monde pour voir les expéditions disponibles.,"Nouvelle fonctionnalité débloquée : |cffFF4E00|Hworldquest:|h[Expéditions]|h|r
Ouvrir la carte du monde pour les consulter",,,26,0,12015,0,12,3,43341,0,1064187,0,0,0,0,0,0,0
Étages supérieurs,Niveau %19812w,,,,,27,79372,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Salle d’Arkoban,Niveau %19812w,,,,,28,90416,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Salle de torture : Jaina,Niveau %19812w,,,,,29,90417,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Salle de torture : Thrall,Niveau %19812w,,,,,30,90418,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Salle de torture : Anduin,Niveau %19812w,,,,,31,90420,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Caveaux Impitoyables,Niveau %19812w,,,,,32,0,0,5281,17,6,358253,0,0,0,0,0,0,0,0,0
Catacombes ferventes,Niveau %19812w,,,,,33,90422,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
