ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,Wille der Verlassenen,"Kann Furcht-, Schlaf- und Betörungseffekte entfernen.","Entfernt Betörungs-, Furcht- und Schlafeffekte",136187,0,5
2,Kannibalismus,"Kann Leichen verzehren, um Gesundheit und Mana zurückzuerlangen.","Verzehrt Leichen, um Gesundheit und Mana zurückzuerlangen",132278,1,5
3,Berührung des Grabes,Kann Gegnern Leben entziehen.,Entzieht Gegnern Leben,136157,2,5
4,Schattenwiderstand,Widerstandsfähig gegen Schattenschaden,Widerstandsfähig gegen Schattenschaden,136152,3,5
5,Unbeugsamkeit,"Tempo, kritischer Trefferwert, Meisterschaft und Vielseitigkeit erhöht.","Tempo, kritischer Trefferwert, Meisterschaft und Vielseitigkeit erhöht",132874,0,1
6,Zuhause ist's am schönsten,Bonus auf die Wirksamkeit des Ruhesteins,Bonus auf die Wirksamkeit des Ruhesteins,134328,1,1
7,Jeder für sich,Kann sich von Betäubungseffekten befreien.,Befreit sich von Betäubungseffekten,136129,2,1
8,Steingestalt,Kann Steingestalt annehmen.,Kann Steingestalt annehmen,136225,0,3
9,Macht des Berges,Erhöhter Effekt von kritischen Treffern.,Erhöhter Effekt von kritischen Treffern,133042,1,3
10,Frostwiderstand,Widerstandsfähig gegen Frostschaden.,Widerstandsfähig gegen Frostschaden,135865,2,3
11,Forscher,Findet mehr Archäologiefragmente und untersucht Ausgrabungsstellen schneller.,Findet mehr Archäologiefragmente und untersucht schneller,237387,3,3
98,Uralte Geschichten,Erhöht die Inschriftenkundefertigkeit.,Inschriftenkundefertigkeit erhöht,1723985,4,27
99,Magische Affinität,Erhöht den Magieschaden.,Erhöhter Magieschaden,1723986,2,27
100,Not macht erfinderisch,"Beschwört ein fliegendes Buch, das als Briefkasten dient.","Beschwört ein fliegendes Buch, das als Briefkasten dient",1723988,1,27
101,Entropische Umarmung,"Eure Fähigkeiten haben eine Chance, Euch mit der Essenz der Leere zu verstärken.",Wird von der Leere verstärkt,1723992,1,29
102,Astrale Verbindung,Verringert die Kosten des Leerenlagers und der Transmogrifikation.,Verringerte Kosten für Leerenlager und Transmogrifikation,1723993,3,29
103,Übernatürliche Gelassenheit,Euer Zauberwirken wird durch das Erleiden von Schaden nicht verzögert.,Keine Zauberverzögerung durch erlittenen Schaden,1724001,2,29
104,Nachtkühle,Widerstandsfähig gegen Schattenschaden,Widerstandsfähig gegen Schattenschaden,1723989,4,29
105,Räumlicher Riss,Erzeugt einen Raumriss und teleportiert Euch zu einem Zielort.,Teleportiert Euch durch einen Raumriss,1724004,0,29
106,Arkanwiderstand,Widerstandsfähig gegen Arkanschaden,Widerstandsfähig gegen Arkanschaden,1723997,3,27
107,Arkaner Puls,"Erzeugt ein Schadensfeld, das Gegner außerdem verlangsamt.","Erzeugt ein Schadensfeld, das Gegner außerdem verlangsamt",1851463,0,27
108,Aufs Geweih nehmen,Stürmt vorwärts und stößt Gegner zu Boden.,Stürmt vorwärts und stößt Gegner zu Boden,1723987,0,28
109,Stolz des Eisenhorns,Erhöht die Bergbaufertigkeit und die Geschwindigkeit beim Abbauen.,Fertigkeit und Geschwindigkeit im Bergbau erhöht,1724002,4,28
110,Nichts verkommen lassen,"Chance, mehr Fleisch und Fisch zu erbeuten.","Chance, mehr Fleisch und Fisch zu erbeuten",1724005,3,28
111,Bergsteiger,Erhöht die Vielseitigkeit.,Erhöhte Vielseitigkeit,1723999,2,28
112,Unverwüstliche Zähigkeit,Verringert den erlittenen Schaden.,Verringert den erlittenen Schaden,1724003,1,28
113,Urteil des Lichts,Verursacht im Wirkungsbereich hohen Heiligschaden.,Verursacht im Wirkungsbereich hohen Heiligschaden,1724000,0,30
114,Heiligwiderstand,Verringert den erlittenen Heiligschaden.,Widerstandsfähig gegen Heiligschaden,1723996,2,30
115,Abrechnung des Lichts,"Explodiert beim Tod, fügt Gegnern in der Nähe Heiligschaden zu und heilt Verbündete.","Explodiert beim Tod, fügt Gegnern in der Nähe Schaden zu und heilt Verbündete",1723994,1,30
116,Schmiede des Lichts,"Erhöht die Schmiedefertigkeit und erlaubt Euch, einen Amboss zu beschwören.",Schmiedefertigkeit erhöht und kann eine Schmiede beschwören,1723995,3,30
117,Dämonenschrecken,Erhöhte Erfahrung durch das Töten von Dämonen.,Erhöhte Erfahrung durch das Töten von Dämonen,1723990,4,30
118,Feuerblut,Entfernt schädliche Effekte und verleiht Euch Macht.,"Entfernt schädliche Effekte, um Euch Macht zu verleihen",1786406,0,34
119,Untertage,Erhöht Eure Geschwindigkeit in Innenräumen.,Schnellere Bewegung in Innenräumen,1786405,1,34
120,Massenproduktion,Erhöht die Schmiedefertigkeit und verringert die Herstellungszeit.,Schmiedefertigkeit erhöht und Herstellungszeit verringert,1786408,2,34
121,Maulwurfmaschine,"Beschwört im Freien eine Maulwurfmaschine, die sich durch die Erde gräbt.","Ruft eine Maulwurfmaschine herbei, die sich durch die Erde gräbt",1786409,3,34
122,Flammengestählt,Verringert den erlittenen körperlichen Schaden.,Verringert den erlittenen körperlichen Schaden,1786407,4,34
123,Ruf der Ahnen,"Ruft die Geister Eurer Vorfahren, die Euch ihre Macht gewähren.","Ruft die Geister Eurer Vorfahren, die Euch ihre Macht gewähren",2021574,0,36
124,Freier Himmel,Erhöht Eure Reitgeschwindigkeit im Freien.,Erhöht Eure Reitgeschwindigkeit im Freien,2021575,1,36
125,Mitfühlende Lebenskraft,Erhöht die Gesundheit von Begleitern.,Erhöht die Gesundheit von Begleitern,2021577,2,36
126,Wildblut,"Verringert die Effektdauer von Giften, Krankheiten und Flüchen auf Euch.","Verringerte Effektdauer von Giften, Krankheiten und Flüchen",2021576,3,36
127,Regenerier'n,"Konzentriert Euch, um Euch über eine kurze Zeit schnell zu heilen.",Heilt Euch über eine kurze Zeit schnell,1850550,0,31
128,Umarmung der Loa,"Ersucht einen Loa, um einen von sechs mächtigen Segen zu erhalten.","Ersucht einen Loa, um einen von sechs mächtigen Segen zu erhalten",1850548,1,31
129,Die Goldene Stadt,Entdeckt mehr Gold bei Kreaturen.,Entdeckt mehr Gold bei Kreaturen,1850547,2,31
130,Pterrordaxsturzflug,"Beschwört einen Pterrordax, um Eure Fallgeschwindigkeit zu verringern.","Beschwört einen Pterrordax, um Eure Fallgeschwindigkeit zu verringern",1850549,3,31
131,Schwinger,"Versetzt Eurem Gegner einen Schlag, der ihn betäubt und zurückstößt.","Versetzt Eurem Gegner einen Schlag, der ihn betäubt und zurückstößt",2447782,0,32
132,Universalgenie,Alle Handwerksfertigkeiten sind erhöht.,Alle Handwerksfertigkeiten erhöht,2447783,1,32
133,Ballade vom alten Seemann,Widerstandsfähig gegen Frost- und Naturschaden.,Widerstandsfähig gegen Frost- und Naturschaden,2447784,2,32
134,Kind der See,Ihr könnt schneller schwimmen und unter Wasser länger den Atem anhalten.,Schnelleres Schwimmen und unter Wasser längeres Atemanhalten,2447781,3,32
135,Nur ein Kratzer,Erhöht Vielseitigkeit und heilt einen Teil des erlittenen Schadens.,Erhöht Vielseitigkeit und heilt einen Teil des erlittenen Schadens,2447780,4,32
144,Hyperorganischer Lichtoriginator,"Beschwört Duplikate, die Eure Gegner ablenken.","Beschwört Duplikate, die Eure Gegner verwirren",3192686,0,37
145,Meisterbastler,Ihr fungiert als persönliche Handwerksstation.,Fungiert als persönliche Handwerksstation,3192687,2,37
146,Kampfanalyse,"Ihr gewinnt im Kampf allmählich an Macht, indem Ihr den Gegner analysiert.",Wird im Kampf gegen einen Gegner stetig stärker,3192685,1,37
147,Fingerdietrich,Kann Schlösser knacken.,Kann Schlösser knacken,3192689,3,37
148,Notsicherung,"Ihr werdet automatisch geheilt, wenn Ihr schwer verletzt seid.",Heilt Euch bei schweren Verletzungen automatisch,3192688,4,37
149,"Trickkiste /
Kiste durchwühlen","Nutzt einen Trick, um einem Gegner Schaden zuzufügen oder einen Verbündeten zu heilen. Sammelt unterschiedliche Tricks in der Welt.","Nutzt einen Trick, um einem Gegner zu schaden oder einem Verbündeten zu helfen",3193416,0,35
150,"Lager aufschlagen /
Zurück zum Lager","Platziert einen heimeligen Lagerplatz in der Welt, zu dem Ihr später zurückkehren könnt.",Schlagt ein Lager an einem von Euch gewählten Platz in der Welt auf,3193418,1,35
151,Ein Riecher für Ärger,"Wenn ein Gegner Euch zum ersten Mal trifft, erleidet Ihr weniger Schaden.",Erleidet beim ersten Treffer weniger Schaden,3193419,2,35
152,Alpakasatteltaschen,Euer Rucksack hat 8 zusätzliche Taschenplätze.,Euer Rucksack hat 8 zusätzliche Taschenplätze,3193421,3,35
153,Feuerwiderstand,Verringert den erlittenen Feuerschaden.,Widerstandsfähig gegen Feuerschaden,3193417,4,35
248,Befreiung,"Löst Euch in reine Anima auf, was Eure Bewegungsgeschwindigkeit drastisch erhöht, Eure Fallgeschwindigkeit verringert und Euch vorwärts befördert.

Verringert während der Effektdauer den Radius, in dem Gegner Euch entdecken können.",,298642,0,15
249,Göttlicher Glockenschlag,"Setzt sofort eine verstärkte Version von 'Heiliger Schock', 'Schild des Rächers' oder 'Richturteil' ein, die alle Ziele in der Nähe trifft.",,133706,1,15
250,Amalgamieren,"Verschmilzt Euch mit einem Gegner oder Verbündeten. Gegner können Euch zwar nicht anvisieren, aber Ihr selbst könnt weder angreifen noch Zauber wirken.

Wenn der Gegner eine niedrigere oder dieselbe Stufe hat wie Ihr, kontrolliert Ihr ihn für die Dauer des Effekts.",,237147,0,16
251,Blutschwur,"Schwört einen Eid mit Eurem Blut, der sofort die meisten schädlichen Effekte von Euch entfernt und Eure Fähigkeiten zusätzlichen Schaden oder zusätzliche Heilung in Höhe der für diese Fähigkeit aufgewendeten Gesundheit verursachen lässt.",,133523,0,16
252,Patronusform,"Verwandelt Euch in einen Geisterfuchs, was Eure Bewegungsgeschwindigkeit erhöht und bewirkt, dass Gegner Euch ignorieren.",,797544,0,17
253,Lichthain beschwören,"Erschafft einen Lichthain im Zielbereich, der Euch und einen verletzten Verbündeten alle 3 Sek. heilt.

Wenn 'Richturteil' gegen einen Gegner innerhalb des Lichthains eingesetzt wird, besteht eine Chance, dass die Abklingzeit der Fähigkeit nicht ausgelöst wird.",,135931,0,17
254,Schattentor,"Windet Euch durch die Schatten, um an der Zielposition zu erscheinen.",,134430,0,18
255,Aschenes Abendlicht,"Nimmt das Licht in Euch auf und entzieht Gegnern in der Nähe Gesundheit, um Euch selbst zu heilen.

Wenn Ihr mindestens einem Gegner Gesundheit entzieht, trifft Eure nächste Fähigkeit garantiert kritisch.",,461857,0,18
490,Schattenmimik,Kann mit den Schatten verschmelzen.,Kann mit den Schatten verschmelzen,132089,0,4
491,Schnelligkeit,Schwieriger zu treffen.,Schwieriger zu treffen,132279,1,4
492,Irrwischgeist,"Nimmt im Tod Irrwischgestalt an, die sich schneller bewegt.",Schnellere Bewegung im Tod,136116,2,4
493,Naturwiderstand,Widerstandsfähig gegen Naturschaden.,Widerstandsfähig gegen Naturschaden,136094,3,4
494,Flüchtigkeit,Schnellere Bewegung in der Verstohlenheit.,Schnellere Bewegung in der Verstohlenheit,132280,4,4
495,Elunes Berührung,Greift nachts schneller an und hat tagsüber erhöhte kritische Trefferchance.,Greift nachts schneller an und hat tagsüber erhöhte kritische Trefferchance,135900,5,4
496,Entfesselungskünstler,Kann sich von geschwindigkeitsändernden Effekten befreien.,Befreit sich von geschwindigkeitsändernden Effekten,132309,0,7
497,Wacher Geist,Erhöhte Ressourcenmenge.,Erhöhte Ressourcenmenge,132864,1,7
498,Arkanwiderstand,Widerstandsfähig gegen Arkanschaden,Widerstandsfähig gegen Arkanschaden,136116,2,7
499,Ingenieursspezialisierung,Ingenieursfertigkeit erhöht.,Ingenieursfertigkeit erhöht,134063,3,7
500,Geschickte Finger,Greift schneller an.,Greift schneller an,135641,4,7
501,Edelsteine schleifen,Juweliersfertigkeit erhöht.,Juweliersfertigkeit erhöht,135998,0,11
502,Gabe der Naaru,Kann sich selbst und andere mit der Zeit heilen.,Heilt sich und andere über einen Zeitraum,135923,1,11
503,Heldenhafte Präsenz,"Erhöhte Beweglichkeit, Intelligenz und Stärke.","Erhöhte Beweglichkeit, Intelligenz und Stärke",133123,2,11
504,Schattenwiderstand,Widerstandsfähig gegen Schattenschaden,Widerstandsfähig gegen Schattenschaden,136152,3,11
505,Finstere Pfade,Kann sich regelmäßig schnell bewegen.,Kann sich regelmäßig schneller bewegen,366937,0,22
506,Garstigkeit,Kritische Trefferchance erhöht.,Kritische Trefferchance erhöht,132203,1,22
507,Anomalie,Widerstandsfähig gegen Natur- und Schattenschaden.,Widerstandsfähig gegen Natur- und Schattenschaden,136121,2,22
508,Schinder,Fertigkeit und Geschwindigkeit in der Kürschnerei erhöht.,Fertigkeit und Geschwindigkeit in der Kürschnerei erhöht,132140,3,22
509,Bebende Handfläche,Kann Gegner mit einer Handberührung in Schlaf versetzen.,Versetzt Gegner mit einer Handberührung in Schlaf,572035,0,24
510,Innerer Friede,Erhält doppelten Ruhebonus durch 'Innerer Friede'.,Sammelt die doppelte Menge Bonus für ausgeruhte Erfahrung an,572034,1,24
511,Epikureer,Erhöhte Boni durch das Verzehren von Speisen.,Erhöhte Boni durch das Verzehren von Speisen,571692,2,24
512,Gourmand,Kochfertigkeit erhöht.,Kochfertigkeit erhöht,571693,3,24
513,Gut gepolstert,Gut gepolstert und erleidet daher weniger Fallschaden.,Erleidet weniger Fallschaden,572033,4,24
514,Kochendes Blut,"Kann wütend werden, um den verursachten Schaden zu erhöhen.","Wird wütend, um den verursachten Schaden zu erhöhen",135726,0,2
515,Zähigkeit,Widerstandsfähig gegen Betäubungseffekte.,Widerstandsfähig gegen Betäubungseffekte,133125,1,2
516,Befehlsgewalt,Von Begleitern und Dienern verursachter Schaden erhöht.,Von Begleitern und Dienern verursachter Schaden erhöht,132366,2,2
517,Kriegsdonner,Kann stampfen und Gegner in der Nähe betäuben.,Stampft und betäubt Gegner in der Nähe,132368,0,6
518,Durchhaltevermögen,Erhöhte Ausdauer.,Erhöhte Ausdauer,136112,1,6
519,Grüner Daumen,Fertigkeit und Geschwindigkeit in der Kräuterkunde erhöht.,Fertigkeit und Geschwindigkeit in der Kräuterkunde erhöht,133938,2,6
520,Naturwiderstand,Widerstandsfähig gegen Naturschaden.,Widerstandsfähig gegen Naturschaden,136094,3,6
521,Kraftpaket,Erhöhter Effekt von kritischen Treffern.,Erhöhter Effekt von kritischen Treffern,134174,4,6
522,Berserker,"Setzt 'Berserker' ein, wodurch Angriffs- und Zaubertempo erhöht werden.",Setzt 'Berserker' ein und erhöht Angriffs- sowie Zaubertempo,135727,0,8
523,Regeneration,Regeneration erhöht.,Regeneration erhöht,136077,1,8
524,Wildtierschlächter,Erhöhte Erfahrung durch das Töten von Wildtieren.,Erhöhte Erfahrung durch das Töten von Wildtieren,134357,2,8
525,Voodoocapoeira,Verringerte Dauer von bewegungsverringernden Effekten.,Verringerte Dauer von bewegungsverringernden Effekten,134231,3,8
526,Arkane Affinität,Verzauberfertigkeit erhöht.,Verzauberfertigkeit erhöht,132876,0,10
527,Arkaner Strom,Kann Ressourcen wie Mana oder Energie wiederherstellen.,Stellt Ressourcen wie Mana oder Energie wieder her,136222,1,10
528,Arkaner Strom,Kann Effekte von Gegnern in der Nähe bannen.,Bannt Effekte von Gegnern in der Nähe,136222,2,10
529,Arkanwiderstand,Widerstandsfähig gegen Arkanschaden,Widerstandsfähig gegen Arkanschaden,136120,3,10
530,Raketensprung,Kann einen Raketensprung vorwärts machen.,Macht einen Raketensprung nach vorne,370769,0,9
531,Raketenbeschuss,Kann mit Raketen auf Gegner schießen.,Schießt mit Raketen auf Gegner,133032,1,9
532,Schnäppchenjäger,Erhält Rabatte bei Verkäufern.,Erhält Rabatte bei Verkäufern,369760,2,9
533,Packhobgoblin,Kann regelmäßig eine persönliche Bank herbeirufen.,Beschwört eine persönliche Bank,370211,3,9
534,Zeit ist Geld,Tempo erhöht.,Tempo erhöht,369214,4,9
535,Fortschritt durch Chemie,Alchemiefertigkeit und Heilung aus Tränken erhöht.,Alchemiefertigkeit und Heilung aus Tränken erhöht,370670,5,9
606,Segeln/Gleiten,"Verwendet Eure Schwingen, um durch die Luft zu gleiten und von hohen Punkten herabzusegeln.","Verwendet Eure Schwingen, um durch die Luft zu gleiten und von hohen Punkten herabzusegeln",4622485,0,52
607,Beschleunigter Start,"Nutzt Himmelsreiten, um Euer Segeln zu verbessern und Euch häufiger in die Lüfte zu schwingen","Nutzt Himmelsreiten, um Euer Segeln zu verbessern und Euch häufiger in die Lüfte zu schwingen",4622483,1,52
608,Schwanzfeger/Flügelstoß,Stoßt Feinde mit den Schwingen und dem Schwanz weg.,Stoßt Feinde mit den Schwingen und dem Schwanz weg,4622486,2,52
609,Erweckt,Erhöhte Meisterschaft.,Erhöhte Meisterschaft,4622481,3,52
610,Scharfes Auge,Findet beim Sammeln zusätzliche seltene Reagenzien.,Findet beim Sammeln zusätzliche seltene Reagenzien,4630415,4,52
611,Segeln/Gleiten,"Verwendet Eure Schwingen, um durch die Luft zu gleiten und von hohen Punkten herabzusegeln.","Verwendet Eure Schwingen, um durch die Luft zu gleiten und von hohen Punkten herabzusegeln",4622485,0,70
612,Beschleunigter Start,"Nutzt Himmelsreiten, um Euer Segeln zu verbessern und Euch häufiger in die Lüfte zu schwingen","Nutzt Himmelsreiten, um Euer Segeln zu verbessern und Euch häufiger in die Lüfte zu schwingen",4622483,1,70
613,Schwanzfeger/Flügelstoß,Stoßt Feinde mit den Schwingen und dem Schwanz weg.,Stoßt Feinde mit den Schwingen und dem Schwanz weg,4622486,2,70
614,Erweckt,Erhöhte Meisterschaft.,Erhöhte Meisterschaft,4622481,3,70
615,Scharfes Auge,Findet beim Sammeln zusätzliche seltene Reagenzien.,Findet beim Sammeln zusätzliche seltene Reagenzien,4630415,4,70
616,Azeritwoge,Fügt Gegnern Feuerschaden zu und heilt Eure Verbündeten.,Fügt Gegnern Feuerschaden zu und heilt Verbündete,5788297,0,84
617,Mineralien verspeisen,Esst Edelsteine und werdet endlos gesättigt.,Esst Edelsteine und werdet gesättigt,5788301,1,84
618,Hyperproduktiv,"Finesse erhöht. Gewährt eine Chance, zusätzliche Materialien zu sammeln.","Chance, zusätzliche Materialien zu sammeln",5788298,2,84
619,Geschöpf der Titanen,Erhöht die Rüstung.,Erhöht die Rüstung,5788302,3,84
620,Erstaunliche Wunder,Gewährt erhöhte Erkundungserfahrung.,Erhöht die Erkundungserfahrung,5788303,4,84
621,Azeritwoge,Fügt Gegnern Feuerschaden zu und heilt Eure Verbündeten.,Fügt Gegnern Feuerschaden zu und heilt Eure Verbündeten.,5788297,0,85
622,Mineralien verspeisen,Esst Edelsteine und werdet endlos gesättigt.,Esst Edelsteine und werdet gesättigt,5788301,1,85
623,Hyperproduktiv,"Finesse erhöht. Gewährt eine Chance, zusätzliche Materialien zu sammeln.","Chance, zusätzliche Materialien zu sammeln",5788298,2,85
624,Geschöpf der Titanen,Erhöht die Rüstung.,Erhöht die Rüstung,5788302,3,85
625,Erstaunliche Wunder,Gewährt erhöhte Erkundungserfahrung.,Erhöht die Erkundungserfahrung,5788303,4,85
