ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Stalled,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,SortAsNormalQuest,UseMinimalHeader
1,Kriegskampagne,"Als Champion der Allianz ist es Eure Pflicht, die Kriegsanstrengungen gegen die Horde und ihre neuen Verbündeten zu unterstützen.",261,0,5793,5793,73395,88077,8,1,0,0,0
2,Kriegskampagne,Für die Horde!,262,0,5793,5793,73395,0,10,0,0,0,0
3,Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,Der Meister von Revendreth,"Graf Denathrius kennt möglicherweise die Geheimnisse dazu, wie der Animamangel zu beenden ist. Begebt Euch in sein Reich Revendreth, um mehr zu erfahren.",5279,0,76298,89063,0,85362,16,0,95,105475,0
113,Venthyrkampagne,"Der Weg zur Erlösung Revendreths ist ein weiter, doch der dunkle Prinz von Sündensturz ist bereit, ihn zu gehen. Er wird Eure Hilfe brauchen, um dem Meister und seinen Loyalisten die Herrschaft über Revendreth zu entreißen.",5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,Die Bastion,"Ihr wurdet ausgesandt, um die mysteriösen schlundgebundenen Kyrianer zu untersuchen, denen Ihr im Schlund begegnet seid. Nur die Archon der Bastion wird wissen, was es mit ihrer wahren Natur auf sich hat.",5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,Die Kunst des Krieges,"Die ehrgeizigen Nekrolords stehen einer existenziellen Bedrohung gegenüber, die sie selbst verursacht haben. Eure Anwesenheit wird ungleiche Fragmente zu einer Armee schmieden, die es mit dem Schicksal selbst aufnehmen kann.",5287,0,78568,70104,92799,0,19,0,94,105475,0
117,Nachtfaekampagne,"Die Haine des Ardenwalds sterben, und mit jedem fallenden Himmelsbaum wächst die Verzweiflung der Winterkönigin. Die Königin und ihr Hof der Nacht brauchen Eure Hilfe, um im Wald das Gleichgewicht wiederherzustellen.",5302,0,78569,70103,92586,0,22,0,94,105475,0
118,Klinge des Primus,"Die Armeen von Maldraxxus haben die Bastion angegriffen. Ihr seid in dieses vom Krieg zerrüttete Reich geschickt worden, um die Gründe dafür ans Licht zu bringen.",5282,0,88931,89062,0,85362,18,0,97,105475,0
119,Kyrianerkampagne,"Die edlen Kyrianer der Bastion befinden sich in einer schrecklichen Lage, denn die Streitkräfte der Verschmähten drohen, ihr Reich aus den Fugen zu heben. Sie werden Eure Hilfe benötigen, wenn sie die Bastion zurückerobern und die Schattenlande retten wollen.",5283,0,78609,70101,86729,0,17,0,94,105475,0
