Name_lang,ID,MapID,Flags,ExpansionLevel,Field_9_1_5_39977_005,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2]
Der Tempel der Jadeschlange,2,960,2,4,21775,1800,1440,1080
Die Brauerei Sturmbräu,56,961,2,0,21783,2700,1260,720
Das Tor der Untergehenden Sonne,57,962,2,0,21776,2700,1320,780
Das Shado-Pan-Kloster,58,959,2,0,21781,3600,2100,1260
Die Belagerung des Niuzaotempels,59,1011,2,0,21782,3000,1800,1050
Der Mogu'shanpalast,60,994,2,0,21777,2700,1440,720
Scholomance,76,1007,2,0,21780,3300,1980,1140
Die Scharlachroten Hallen,77,1001,2,0,21778,2700,1320,780
Das Scharlachrote Kloster,78,1004,2,0,21779,2700,1320,780
Die Himmelsnadel,161,1209,2,0,21789,3400,1700,1020
Die Blutschlägermine,163,1175,2,0,21785,3600,2100,1320
Auchindoun,164,1182,2,0,21784,3300,1920,1140
Die Schattenmondgrabstätte,165,1176,2,5,21788,1980,1584,1188
Das Grimmgleisdepot,166,1208,2,5,21786,1800,1440,1080
Die Obere Schwarzfelsspitze,167,1358,2,0,21791,5100,2580,1500
Der Immergrüne Flor,168,1279,2,5,21790,1980,1584,1188
Die Eisendocks,169,1195,2,5,21787,1800,1440,1080
Das Auge Azsharas,197,1456,6,0,21796,2100,1680,1260
Das Finsterherzdickicht,198,1466,6,0,21795,1800,1440,1080
Die Rabenwehr,199,1501,6,0,21793,2160,1728,1296
Die Hallen der Tapferkeit,200,1477,6,0,21797,2280,1824,1368
Neltharions Hort,206,1458,6,6,21799,1980,1584,1188
Das Verlies der Wächterinnen,207,1493,6,0,21800,1980,1584,1188
Der Seelenschlund,208,1492,6,0,21798,1440,1152,864
Der Arkus,209,1516,6,0,21792,2700,2160,1620
Der Hof der Sterne,210,1571,6,0,21794,1800,1440,1080
Untere Rückkehr nach Karazhan,227,1651,6,0,21801,2520,2016,1512
Kathedrale der Ewigen Nacht,233,1677,6,0,21803,2100,1680,1260
Obere Rückkehr nach Karazhan,234,1651,2,0,21802,2100,1680,1260
Sitz des Triumvirats,239,1753,6,0,21804,2100,1680,1260
Atal'Dazar,244,1763,4,7,21805,1800,1440,1080
Freihafen,245,1754,4,7,21806,1800,1440,1080
Tol Dagor,246,1771,0,7,21812,2160,1728,1296
Das RIESENFLÖZ!!,247,1594,0,7,21814,1980,1584,1188
Das Kronsteiganwesen,248,1862,0,7,21809,2220,1776,1332
Die Königsruh,249,1762,0,7,21813,2520,2016,1512
Der Tempel von Sethraliss,250,1877,0,7,21808,2160,1728,1296
Der Tiefenpfuhl,251,1841,0,7,21807,1800,1440,1080
Der Schrein des Sturms,252,1864,0,7,21810,2520,2016,1512
Die Belagerung von Boralus,353,1822,0,7,21811,1980,1584,1188
Operation: Mechagon - Schrottplatz,369,2097,4,7,21815,2280,1824,1368
Operation: Mechagon - Werkstatt,370,2097,0,7,21816,1920,1536,1118
Nebel von Tirna Scithe,375,2290,0,8,21820,1800,1440,1080
Die Nekrotische Schneise,376,2286,0,8,21818,1860,1488,1116
Die Andre Seite,377,2291,0,8,21824,2580,2064,1548
Hallen der Sühne,378,2287,0,8,21821,1920,1536,1152
Seuchensturz,379,2289,0,8,21819,2280,1824,1368
Die Blutigen Tiefen,380,2284,0,8,21825,2460,1968,1476
Spitzen des Aufstiegs,381,2285,0,8,21822,2340,1872,1404
Theater der Schmerzen,382,2293,0,8,21823,2040,1632,1224
Tazavesh: Wundersame Straßen,391,2441,0,8,21826,2340,1872,1404
Tazavesh: So'leahs Schachzug,392,2441,0,8,21827,1800,1440,1080
Rubinlebensbecken,399,2521,0,9,22268,1800,1440,1080
Angriff der Nokhud,400,2516,0,9,22270,2400,1920,1440
Azurblaues Gewölbe,401,2515,0,9,22271,2250,1800,1350
Akademie von Algeth'ar,402,2526,0,9,22274,1920,1536,1152
Uldaman: Vermächtnis von Tyr,403,2451,0,9,22267,2100,1680,1260
Neltharus,404,2519,0,9,22269,1980,1584,1188
Brackenfellhöhle,405,2520,0,9,22272,2100,1680,1260
Hallen der Infusion,406,2527,0,9,22273,2100,1680,1260
Vortexgipfel,438,657,0,9,23327,1800,1440,1080
Thron der Gezeiten,456,643,0,9,24627,2040,1632,1224
Dämmerung des Ewigen: Galakronds Sturz,463,2579,0,8,24972,2040,1632,1224
Dämmerung des Ewigen: Murozonds Erhebung,464,2579,0,9,24973,2160,1728,1296
Priorat der Heiligen Flamme,499,2649,0,10,25990,1950,1560,1170
Die Brutstätte,500,2648,0,10,25992,1740,1392,1044
Das Steingewölbe,501,2652,0,10,25996,1980,1584,1188
Stadt der Fäden,502,2669,0,10,25997,2100,1680,1260
"Ara-Kara, Stadt der Echos",503,2660,0,10,25993,1800,1440,1080
Dunkelflammenspalt,504,2651,0,10,25991,1860,1488,1116
Die Morgenbringer,505,2662,0,10,25994,1860,1488,1116
Metbrauerei Glutbräu,506,2661,0,10,25995,1980,1584,1188
Grim Batol,507,670,2,3,26055,2040,1632,1224
Operation: Schleuse,525,2773,2,10,27048,1980,1584,1188
