ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
1,"Nur Allianz, Bruder!",,0,0,0,6617,0,0,124562,0,232,-1,0
3,Azsuna,"Das einst idyllische Inselparadies Azsuna wird überrannt – die Legion lässt von oben herab Tod regnen, die Naga von Königin Azshara erheben sich aus den Tiefen und die verfluchten Geister der früheren Inselbewohner erwachen. Alle scheinen von einem mächtigen Relikt angezogen zu werden, das tief innerhalb der Elfenruinen verborgen liegt.",625,6355,1,39938,39718,0,0,0,0,1220,0
4,Val'sharah,"Der uralte Wald von Val'sharah ist die Heimat des Halbgotts Cenarius und die Wiege des Druidentums. Malfurion Sturmgrimm ist in diese heiligen Wälder zurückgekehrt, um seinen großen Mentor zu sehen und die Tränen von Elune wieder an sich zu nehmen.",3265,6241,1,39935,39731,0,0,0,0,1220,0
6,Sturmheim,"König Genn Graumähne bereitet sich darauf vor, mit der mächtigen Himmelsfeuer zu den Klippen von Sturmheim zu reisen, um die Aegis von Aggramar aufzuspüren. Doch dieses Land dient als Heimat für einen uralten Vrykulklan, dessen Anführer ebenfalls die Macht der Aegis für sich beanspruchen will und vor nichts haltmacht, um an ihre Macht zu gelangen.",3117,1954,1,39937,39735,0,0,0,0,1220,0
7,Sturmheim,"Kriegshäuptling Sylvanas Windläufer hat ihre eigene Flotte darauf vorbereitet, zu den Klippen von Sturmheim zu reisen, um die Aegis von Aggramar aufzuspüren. Doch dieses Land dient als Heimat für einen uralten Vrykulklan, dessen Anführer ebenfalls die Macht der Aegis für sich beanspruchen will und vor nichts haltmacht, um an ihre Macht zu gelangen.",3117,1954,1,39939,39864,0,0,0,0,1220,0
8,Der Hochberg,Der Hochberg ist eine der letzten Grenzen der Verheerten Inseln und beherrscht den nördlichen Horizont mit seinem zerklüfteten Gipfel. Seine trügerischen Steilpfade bieten sowohl den edlen Taurenstämmen als auch den primitiven unterirdischen Drogbar eine Heimat. Ihr unsicherer Frieden wird durch den unerbittlichen Marsch der Legion auf die Probe gestellt werden.,4926,4256,1,39936,39733,0,0,0,0,1220,0
9,Test quest offer,Test quest offer desc.,-9344.97,-2279.12,1,5703,47512,0,0,0,0,-1,0
12,"worldport 1116, 6971.02, 1004.63, 398.974, 299.925",Test for insets,6279,-26.6,0,5703,36810,0,0,0,0,1116,0
14,Das Sanktum des Lichts,,-3200,9255,3,37830,0,0,0,5608,0,0,2268
15,Dämonenjagd: Himmelsschrecken Ikzil,"Euer Champion hat einen mächtigen Dämonen aufgespürt, der vernichtet werden muss.",625,6455,2,37103,39885,0,0,0,0,1220,0
16,Echos der Vergangenheit,Euer Champion hat einen verschollenen Titanenkommunikator gefunden.,2900,5400,2,37136,39886,0,0,0,0,1220,0
17,"worldport 533, 2719.85, -3098.21, 267.686, 285.619",Test for insets 2,2719,-3098,0,5703,36810,0,0,0,0,533,0
18,"worldport 0, 2368.83, -5353.17, 52.6645, 315.291",Test for insets 3,2368,-5353,0,5703,36810,0,0,0,0,0,0
20,Die Hallen der Tapferkeit,,-3200,10000,3,37831,0,0,0,5613,0,1479,7813
21,Test Offer,Test,2900,5400,3,5703,0,0,128966,0,0,-1,0
22,Acherus: Die Schwarze Festung,,-3200,10000,3,37835,0,0,0,5601,0,1220,7743
23,Die Teufelshammer,,-3200,10000,3,37841,0,0,0,5602,0,1481,8023
24,Die Volltrefferhütte,,-3200,9255,3,37832,0,0,0,5605,0,1220,7877
25,Der Hain der Träume,,-3200,10000,3,37840,0,0,0,5603,0,1220,7846
26,Die Halle des Wächters,,-3200,9255,3,37837,0,0,0,5606,0,1513,7879
27,Die Wandernde Insel,,-3200,10000,3,37839,0,0,0,5607,0,1514,7902
28,Der Netherlichttempel,,-3200,10000,3,37834,0,0,0,5609,0,1512,7834
29,Die Halle der Schatten,,-3200,9255,3,37833,0,0,0,5610,0,1220,8011
30,Der Mahlstrom,,-3200,9255,3,37836,0,0,0,5611,0,1469,7745
31,Die Schreckensnarbe,,-3200,9255,3,37838,0,0,0,5612,0,1522,7875
32,Suramar,"Nach 10.000 Jahren in Abgeschiedenheit haben die Nachtgeborenen die magische Schutzbarriere um Suramar gesenkt und somit Gul'dan Zugriff auf eine Quelle unglaublicher Macht gewährt – den Nachtbrunnen. Nach einem gescheiterten Versuch, Großmagistrix Elisande zu stürzen, will eine kleine Gruppe vertriebener Nachtgeborener die Macht ihres uralten Landes erwecken und Suramar aus den Klauen der Legion befreien.",1778.3,4348.73,1,44817,44555,0,0,0,0,1220,0
