Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
Die beste Initiative,Es ist die beste,6,1,0,90931,0
Test Initiative - Not as good as the last one,Wahrscheinlich zumindest,7,1,0,90934,1
Großartige Initiative,Vielleicht nicht so großartig,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
Kerzenkultur,"In der Nachbarschaft sind seltsame Wachsansammlungen aufgetaucht. Wer, wenn nicht die Kobolde der Schallenden Tiefen, könnten dafür Verwendung finden? Fragt sie bezüglich der Beleuchtung um Rat.",12,0,0,91278,0
Freund der Grummel,"Ein Zuhause in Ordnung zu halten, ist harte Arbeit! Sicherlich würden alle von einem kleinen Muntermacher profitieren. Daher haben wir die Grummel des Kun-Lai kontaktiert. Sie brauen ein spezielles Getränk namens Kafa, das Euch wieder in Schwung bringt.",13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
Künstlerische Hilfe,"Ein Kollektiv von Blutelfenkünstlern, deren Zuhause angegriffen wurde, hat in der Nachbarschaft Zuflucht gesucht. Sie möchten sie mit ihren künstlerischen Fähigkeiten bereichern.",15,0,0,91633,0
Jenseits des Möglichen,"Die Dracthyr haben vor Kurzem zu sich selbst gefunden und ihren eigenen Pfad im Leben gewählt. Ihre Leidenschaft für das Lernen wird die Anwohner der Nachbarschaft dazu inspirieren, sich neue Handwerksfertigkeiten anzueignen.",16,0,0,92151,0
Mäßige Mechanisierung,"Die Mechagnome aus Mechagon sind hier, um die Nachbarschaft mit technologischen Verbesserungen zu unterstützen.",17,0,0,92687,0
Bestürzung im Konsortium,"Das Konsortium ist in der Nachbarschaft und hilft den Anwohnern dabei, Gegenstände wiederzufinden, die im Leerenlager verloren gegangen sind.",18,0,0,93941,0
Geruchserlebnis,"Die Niffen sind in der Nachbarschaft, um Euch mit Problemen bei der Bestäubung zu helfen. Zusammen könnt Ihr die Pflanzenwelt der Nachbarschaft zum Blühen bringen.",19,0,0,94009,0
Jeder Bakar hat seinen Moment im Rampenlicht,"Die Bewohner der Nachbarschaft lieben ihre Haustiere, aber sie könnten etwas Hilfe dabei gebrauchen, sie zu dressieren. Die Maruuk von den Ebenen von Ohn'ahra haben eine sehr enge Bindung zu ihren Bakar und könnten gewillt sein, einige ihrer Tricks preiszugeben.",20,0,0,95174,0
Amanifälschung,"Gaunah und seine Truppe fahrender Händler sind in der Nachbarschaft, um mit ihren ""traditionellen Amanigütern"" zu handeln. Natürlich handelt es sich dabei um keine Originale, aber sie sehen gut aus.",22,0,0,95334,0
Urlaubssaison,"Die Tortollaner sind ein weltgewandtes Volk. So weltgewandt, dass sie in Eurer Nachbarschaft nicht herumgeführt werden müssen - sie machen hier schon ewig Urlaub, lange bevor Ihr Euch hier niedergelassen habt! Schaut Euch ruhig ab, wie man so richtig entspannt.",24,0,0,96734,0
