ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,QuestID,PlayerConditionID
18,,"Ihr könnt mit Behüterin Vesperblüte sprechen, um diesen Abenteurer zu rekrutieren.",Neuer Abenteurer verfügbar,3,4,0,0,0,0,0,0,0,0,0,1283,0,64508,0
19,Seelenbandaufwertung: Niya,Ihr erhaltet Zugriff auf die dritte Reihe von Niyas Seelenbandboni.,Seelenbandreihe von Niya freigeschaltet,3,3,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
22,Seelenbandaufwertung: Niya,Ihr erhaltet Zugriff auf die vierte Reihe von Niyas Seelenbandboni.,Seelenbandreihe von Niya freigeschaltet,3,7,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
23,,"Ihr könnt mit Behüterin Vesperblüte sprechen, um diesen Abenteurer zu rekrutieren.",Neuer Abenteurer verfügbar,3,12,0,0,0,0,0,0,0,0,0,1285,0,64508,0
25,Seelenbandaufwertung: Traumweber,Ihr erhaltet Zugriff auf die vierte Reihe von Traumwebers Seelenbandboni.,Seelenbandreihe von Traumweber freigeschaltet,3,9,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
28,Seelenbandaufwertung: Traumweber,Ihr erhaltet Zugriff auf die fünfte Reihe von Traumwebers Seelenbandboni.,Seelenbandreihe von Traumweber freigeschaltet,3,13,3684882,2,1,0,0,0,0,0,0,0,0,0,0
29,,Diese zurückgewonnene Erinnerung wird bei der Ruhmrüstmeisterin zum Kauf verfügbar.,Neue zurückgewonnene Erinnerung verfügbar,3,14,0,0,0,183249,0,0,0,0,0,0,0,64508,0
31,Seelenbandaufwertung: Niya,Ihr erhaltet Zugriff auf die fünfte Reihe von Niyas Seelenbandboni.,Seelenbandreihe von Niya freigeschaltet,3,10,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
32,,"Ihr könnt mit Behüterin Vesperblüte sprechen, um diesen Abenteurer zu rekrutieren.",Neuer Abenteurer verfügbar,3,17,0,0,1,0,0,0,0,0,0,1284,0,0,0
33,Weltquestbelohnungen,Die Gegenstandsstufe Eurer Weltquestbelohnungen wird erhöht.,Max. Gegenstandsstufe für Weltquests erhöht,3,10,236668,0,1,0,0,0,0,0,0,0,0,63220,88686
35,,,Neue Vorlage verfügbar,3,6,0,0,0,0,0,0,113562,0,0,0,0,64508,0
36,,Illusion: Wilde Seele wird bei der Ruhmrüstmeisterin zum Kauf verfügbar.,Illusion: Wilde Seele verfügbar,3,36,0,0,0,0,0,0,0,0,0,0,71,64508,0
37,,Der Ruhestein der Nachtfae wird als Spielzeug bei der Ruhmrüstmeisterin zum Kauf verfügbar.,Ruhestein der Nachtfae verfügbar,3,11,0,0,1,180290,0,0,0,0,0,0,0,0,0
39,Nachtfaekampagne: Drust und Verzweiflung,"Ihr könnt das nächste Kapitel der Nachtfaekampagne beginnen. Der Abschluss dieses Kapitels wird es Euch ermöglichen, ein Seelenband mit Jagdhauptmann Korayn zu schließen.",Neue Kampagnenquest verfügbar,3,22,1500884,1,0,0,0,0,0,0,0,0,0,64508,0
40,,Wurzli wird bei der Ruhmrüstmeisterin zur Adoption verfügbar.,Haustier verfügbar,3,27,0,0,1,182663,0,0,0,0,0,0,0,0,0
41,Seelenbandaufwertung: Niya,Ihr erhaltet Zugriff auf die sechste Reihe von Niyas Seelenbandboni.,Seelenbandreihe von Niya freigeschaltet,3,18,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
