ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
816,Pisada Potente,"Throngus bate o pé no chão, iniciando o Desmoronar das paredes de Grim Batol. Throngus não usará a Pisada Potente se estiver equipado com escudo.",132,1,0,0,817,2,0,0,0,132368,0,0,-1
817,Desmoronar,"Após a Pisada Potente de Throngus, as paredes de Grim Batol ficam enfraquecidas e pedaços de pedra começam a cair sobre um jogador aleatório em uma área de $74986A1 m de raio. Os jogadores que ficarem parados na área recebem $74986s1 de dano Físico a cada segundo.",132,2,0,0,818,2,0,0,0,132153,0,0,-1
818,Pegar Arma,"Throngus tem várias armas terríveis à disposição. Periodicamente durante o encontro, ele escolhe aleatoriamente entre um enorme escudo, um par de espadas ou uma pesada maça. A arma escolhida concede novas habilidades a ele por uma curta duração do encontro.",132,3,0,0,819,1,0,0,0,134400,0,0,-1
819,Habilidades com Escudo,,132,4,0,820,823,0,0,0,0,0,1,0,-1
820,Falange Pessoal,Throngus vira o escudo para um jogador aleatório a cada 10 s. Todo dano causado em Throngus pelo jogador diante do escudo será reduzido em $74909s1%.,132,5,819,0,821,2,0,0,0,331053,0,2,-1
821,Flecha Flamejante,"Enquanto Throngus estiver equipado com um escudo, arqueiros dispararão flechas flamejantes das janelas de cima contra jogadores aleatórios. Cada flecha flamejante causa $74944s1 de dano de fogo.",132,6,819,0,822,2,0,0,0,132312,0,0,-1
822,Escudo Flamejante,"Um cone de fogo de 60° irrompe do escudo de Throngus, infligindo $90830s1 de dano de Fogo a cada segundo a cada alvo atingido pelas chamas.",132,7,819,0,0,2,0,0,0,134982,2,8,14
823,Habilidades com as Espadas,,132,8,0,824,828,0,0,0,0,0,1,0,-1
824,Lâminas Duplas,"Throngus empunha uma espada flamejante em cada mão, recebendo a habilidade de atacar simultaneamente com duas armas. O dano dos ataques corpo-a-corpo é reduzido em $74981s3% durante este período.",132,9,823,0,825,2,0,0,0,132147,0,0,-1
825,Surra,"Ocasionalmente Throngus atacará duas vezes, além do ataque normal, quando usar as espadas.",132,10,823,0,826,2,0,0,0,132152,0,0,-1
