String_lang,ID,Flags
"Requer a conquista ""Um Aliado Lazúli"".",740,1
"Requer a conquista ""Ajudante do Penhasco"".",741,1
"Requer a conquista ""Juntos nos Céus"".",742,1
"Requer a conquista ""Um Novo Amigo"".",743,1
|cff808080Este talento é concedido à sua especialização de graça e não pode ser desaprendido|r,910,1
Gaste mais %d |4ponto:pontos; para desbloquear este talento,911,1
Classic,953,1
Terralém,954,1
Nortúndria,955,1
Cataclysm,956,1
Pandária,957,1
Draenor,958,1
Legion,959,1
Kul Tiraz,960,1
Shadowlands,961,1
Ilhas do Dragão,962,1
Zandalari,963,1
Explorador,970,1
Aventureiro,971,1
Veterano,972,1
Campeão,973,1
Herói,974,1
Recriar este item com uma Centelha de nível de item mais alto removerá permanentemente o engaste adicionado pelo Manipulador com Energia da Tempestade.|n|nTem certeza de que quer continuar?,975,1
Gaste mais %d |4ponto:pontos; para desbloquear este talento,976,1
|cff808080Este talento é concedido à sua especialização de graça e não pode ser desaprendido|r,977,1
Mito,978,1
Khaz Algar,989,1
Aventureiro,990,1
Recriar este item com uma Centelha de nível de item mais alto removerá permanentemente o engaste adicionado pelo Escultor Vulcânico.|n|nTem certeza de que quer continuar?,991,1
Aba 1,992,0
Aba 2,993,0
Aba 3,994,0
Aba 4,995,0
Aba 5,996,0
Recriar este item com uma Centelha de nível de item mais alto removerá permanentemente o engaste adicionado pelo Berço da Natureza.|n|nTem certeza de que quer continuar?,997,1
Desperto,998,1
Requer o talento: $@spellname263165,1000,0
"O General precisa considerar você como ""Acessório"".",1001,1
"A Fiandeira precisa considerar você como ""Conhecido"".",1002,1
"A Fiandeira precisa considerar você como ""Camarada"".",1003,1
"A Fiandeira precisa considerar você como ""Cúmplice"".",1004,1
"O General precisa considerar você como ""Colaborador"".",1005,1
"O General precisa considerar você como ""Ajudante"".",1006,1
"O General precisa considerar você como ""Conspirador"".",1007,1
"A Fiandeira precisa considerar você como ""Mentor"".",1008,1
"O General precisa considerar você como ""Conhecido"".",1009,1
"O General precisa considerar você como ""Camarada"".",1010,1
"O General precisa considerar você como ""Cúmplice"".",1011,1
"A Fiandeira precisa considerar você como ""Colaborador"".",1012,1
"A Fiandeira precisa considerar você como ""Acessório"".",1013,1
"A Fiandeira precisa considerar você como ""Ajudante"".",1014,1
"A Fiandeira precisa considerar você como ""Conspirador"".",1015,1
"O Vizir precisa considerar você como ""Conhecido"".",1016,1
"O Vizir precisa considerar você como ""Camarada"".",1017,1
"O Vizir precisa considerar você como ""Cúmplice"".",1018,1
"O Vizir precisa considerar você como ""Colaborador"".",1019,1
"O Vizir precisa considerar você como ""Acessório"".",1020,1
"O Vizir precisa considerar você como ""Ajudante"".",1021,1
"O Vizir precisa considerar você como ""Conspirador"".",1022,1
"O Vizir precisa considerar você como ""Mentor"".",1023,1
"O General precisa considerar você como ""Mentor"".",1024,1
É preciso comprar mais Trovoadas.,1025,1
Requer talento Halo,1026,1
Requer o talento: $@spellname73325,1027,0
Requer o talento: $@spellname121536,1028,0
Requer o talento: $@spellname374348,1029,0
