ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,Campanha de Guerra,Como campeão da Aliança é seu dever contribuir com o esforço de guerra contra a Horda e seus novos aliados.,261,0,5793,5793,73395,88077,8,1,0,0,0
2,Campanha de Guerra,Pela Horda!,262,0,5793,5793,73395,0,10,0,0,0,0
3,Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,O Mestre de Revendreth,"Talvez Sir Denathrius saiba os segredos para acabar com a seca de ânima. Adentre Revendreth, o reino dele, para saber mais.",5279,0,76298,89063,0,85362,16,0,95,105475,0
113,Campanha Venthyr,"O caminho para a redenção de Revendreth é longo, e o Príncipe Sombrio de Pecádia está pronto para trilhá-lo. Ele precisará da sua ajuda para tomar o controle de Revendreth das garras do Mestre e seus sequazes.",5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,Bastião,Você recebeu a incumbência de investigar o misterioso kyriano Górjuro que encontrou na Gorja. Somente a Arconte que comanda o Bastião saberá qual é a verdadeira natureza dele.,5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,A Arte da Guerra,Os ambiciosos Necrolordes enfrentam a ameaça de extinção pelas próprias mãos. Sua presença forjará de fragmentos discrepantes um exército capaz de desafiar o próprio destino.,5287,0,78568,70104,92799,0,19,0,94,105475,0
117,Campanha dos Feérios Noturnos,"Os bosques de Ardena estão morrendo. A cada grandiosa árvore celestial que sucumbe, o desespero da Rainha Invernal aumenta. A rainha e sua Corte da Noite precisarão da sua ajuda para restaurar o equilíbrio da floresta.",5302,0,78569,70103,92586,0,22,0,94,105475,0
118,Lâmina do Prócer,Os exércitos de Maldraxxus atacaram o Bastião. Você deve descobrir a razão para isso neste mundo devastado pela guerra.,5282,0,88931,89062,0,85362,18,0,97,105475,0
119,Campanha dos Kyrianos,Os nobres kyrianos do Bastião enfrentam circunstâncias difíceis com a proximidade das forças Perjuras que ameaçam devastar seu reino. Eles precisarão de ajuda para proteger o Bastião e salvar as Terras Sombrias.,5283,0,78609,70101,86729,0,17,0,94,105475,0
124,Os Bosques de Ardena,Você tem uma mensagem importante para a Rainha Invernal. Procure-a nos bosques celestiais de Ardena.,5301,0,84196,89060,0,85362,21,0,96,105475,0
125,Campanha de Shadowlands,Campanha geral para jogadores que estão entre duas campanhas em Shadowlands.,5362,0,89137,89138,89140,0,26,0,99,105475,0
126,A escuridão ameaçadora,"Com o plano de Denathrius revelado, você tem que decidir como reagir.",5284,0,85641,89059,0,0,26,0,94,105475,0
130,Shadowlands,,0,0,5703,5703,0,0,0,1,0,0,0
131,Fios do destino,,0,0,87258,89064,0,0,26,0,99,105475,0
133,Tutoriais do Pacto,,0,0,5703,5703,0,0,0,0,0,0,0
134,Tutoriais do Pacto,,0,0,5703,5703,0,0,0,0,0,0,0
135,Tutoriais do Pacto,,0,0,5703,5703,0,0,0,0,0,0,0
136,Tutoriais do Pacto,,0,0,5703,5703,0,0,0,0,0,0,0
137,Tutoriais do Pacto,,0,0,5703,5703,0,0,0,0,0,0,0
138,Correntes da Dominação,Campanha que apresenta o novo conteúdo 9.1.,5362,0,92542,92543,92550,0,26,0,93,105475,0
140,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
141,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
142,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
143,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
144,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
145,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
146,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
147,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
148,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
149,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
