OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,Multicriação concede até $ev1% de poções extras.,24833,0,0,0,0
,,+$ev1 de $en1 ao criar poções.,24834,0,0,0,0
,,Aprende $@spellname370668.,24835,370668,0,0,0
,,+$ev1% de $en1 ao preparar poções.,24836,0,0,0,0
,,+$ev1 de $en1 ao criar poções.,24837,0,0,0,0
Produção em Massa,,"Domine a arte de produzir poções com mais eficiência, ganhando +$ev1 de $en1 por ponto nesta especialização.",24838,0,4624378,0,0
,,Aprende $@spellname370745. Rende poções de qualidade superior e aumenta a sua chance de descobrir novas receitas.,24839,370745,0,0,0
,,Recebe 5% de chance de Descoberta nos Experimentos com Poções.,24840,0,0,0,0
,,Ganha +20 de Engenhosidade sempre que conquistar uma grande descoberta em Experimentos com Poções por 4 horas em todas as criações de Alquimia.,24841,0,0,0,0
,,Recebe 5% de chance de Descoberta nos Experimentos com Poções.,24842,0,0,0,0
,,Recebe 10% de chance de Descoberta em Experimentos com Poções.,24843,0,0,0,0
Experimento com Poções,,Recebe uma compreensão melhor dos seus reagentes para melhorar a probabilidade dos seus experimentos serem bem-sucedidos. Ganha +1% a mais de chance de Descobertas em Experimentos com Poções por ponto nesta especialização.,24844,0,4624379,0,0
,,Aprende a criar e usar o Reagente de Finalização $@spellname370735 para aprimorar sua perícia durante a criação de caldeirões de poções e Pedras do Alquimista Álacre.,24845,370735,0,0,0
,,Aprende a subespecialização final.,24846,0,0,0,0
,,+$ev1 de $en1 ao criar poções.,24847,0,0,0,0
,,Aprende uma subespecialização à sua escolha.,24848,0,0,0,0
,,+$ev1 de $en1 ao criar poções.,24849,0,0,0,0
,,+$ev1 de $en1 ao criar poções.,24850,0,0,0,0
História das Poções,,"Mergulhe nos mistérios das poções e suas pedras do alquimista, ganhando +$ev1 de $en1 por ponto nesta especialização.",24851,0,4624657,0,0
,,Aprende a criar e usar o Reagente de Finalização $@spellname370735 para aprimorar sua perícia na criação de poções formuladas com Ar.,24852,370735,0,0,0
,,+$ev1 de $en1 ao criar poções formuladas com ar.,24853,0,0,0,0
,,+$ev1 de $en1 ao criar poções formuladas com ar.,24854,0,0,0,0
,,Aumenta a velocidade de movimento concedida pelo consumo de poções das Ilhas do Dragão.,24855,0,0,0,0
,,+$ev1 de $en1 ao criar poções formuladas com ar.,24856,0,0,0,0
,,+$ev1 de $en1 ao criar poções formuladas com ar.,24857,0,0,0,0
,,Consumir uma poção das Ilhas do Dragão concede uma breve explosão de velocidade de movimento.,24858,0,0,0,0
Poções Formuladas com Ar,,"Melhora a criação de poções com reagente básico de Ar Estimulante ou Desperto, ganhando +$ev1 de $en1 por ponto nesta especialização.",24859,0,4497566,0,0
,,Aprende a criar e usar o Reagente de Finalização $@spellname370735 para aprimorar sua perícia na criação de poções formuladas com Gelo.,24860,370735,0,0,0
,,+$ev1 de $en1 ao criar poções formuladas com Gelo.,24861,0,0,0,0
,,+$ev1 de $en1 ao criar poções formuladas com Gelo.,24862,0,0,0,0
,,Aumenta a cura concedida pelo consumo de poções das Ilhas do Dragão.,24863,0,0,0,0
,,+$ev1 de $en1 ao criar poções formuladas com Gelo.,24864,0,0,0,0
,,+$ev1 de $en1 ao criar poções formuladas com Gelo.,24865,0,0,0,0
,,Consumir uma poção das Ilhas do Dragão cura uma parte dos seus pontos de vida ao longo do tempo.,24866,0,0,0,0
