ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount
完成30个任务,,3,135693,200
击败50个地下城首领,击败可以提供经验值的地下城首领。,4,135695,200
完成5个史诗钥石地下城,,6,135699,200
完成15个世界任务,,7,136176,150
消灭10个“巨龙时代”团队副本首领,,8,136202,200
获得7500点荣誉点数,,10,136220,200
赢得5次战场胜利,,11,136222,200
赢得10次非练习赛的竞技场比赛,,12,136224,200
完成制造订单,在瓦德拉肯的匠人集市与制造订单办事员交谈，打开制造订单。,13,136242,200
赢得15场宠物对战,,14,136244,200
在跨阵营队伍中击败25个地下城首领,击败可以提供经验值的地下城首领。,16,136248,150
使用龙类宠物击败巨龙群岛的驯宠大师,使用至少2个龙类宠物击败2个巨龙群岛的驯宠大师,40,137543,200
使用欢乐宠物小吃,欢乐宠物小吃可以在达拉然的宠物补给商人处购买。,42,137615,100
情人节：在巨龙群岛使用匹德菲特的炉石,在2月6日至2月20日期间，在巨龙群岛使用匹德菲特的炉石。,43,137617,150
情人节：在欧恩哈拉平原来场浪漫午餐,在2月6日至2月20日期间，在欧恩哈拉平原使用浪漫午餐篮。,44,137619,150
情人节：完成“糖果闪电战”,在2月6日至2月20日期间，完成“糖果闪电战”任务。,45,137621,150
情人节：消灭药剂师汉摩尔,在2月6日至2月20日期间，在影牙城堡消灭药剂师汉摩尔。,46,137623,150
情人节：献上可爱的情人符手镯,在2月6日至2月20日期间，向一名同阵营的领袖献上可爱的情人符手镯。,47,137625,150
/拥抱（/hug）死亡的玩家,使用表情/拥抱（/hug）死亡的玩家,48,137634,50
复活玩家,,49,137636,50
喝下赞吉尔的减速毒药,,50,137645,50
在拍卖行通过拍卖物品获得5000金币,,52,137647,100
食用巧克力蛋糕切片、可爱的蛋糕块和浆果馅饼切片,,53,137651,50
角鹰兽孵化日：让雏鸟落在肩头,在2月23日，让一只乱羽雏鸟落在你的肩头。,54,137655,150
角鹰兽孵化日：获取并使用幽灵之羽,在2月23日，获取并使用幽灵之羽。,55,137657,150
暗月马戏团：摆出一个大浆果馅饼,在2月5日至2月11日期间，在暗月岛上摆出一个大浆果馅饼。,56,137659,50
时尚试炼：获得时尚试炼奖币,在3月20日至3月24日期间，获得时尚试炼奖币。,61,137688,100
获得一件令你光彩照人的玩具,,64,137776,50
时尚试炼：为其他玩家欢呼,在3月20日至3月24日期间，在时尚试炼事件中向其他5名玩家使用表情/cheer（/欢呼）。,65,137787,50
时尚试炼：使用灯光、舞池和火焰,在3月20日至3月24日期间，在事件中使用时尚试炼灯光、舞池和火焰。,66,137789,100
时尚试炼：召唤崇拜者,在3月20日至3月24日期间，在时尚试炼中召唤3个崇拜者。,67,137793,50
在魔导师平台消灭凯尔萨斯·逐日者,,68,137795,150
安戈洛狂欢节：拾取恐龙魔精,在3月17日至3月19日期间，在安戈洛环形山拾取恐龙魔精。,69,137797,150
安戈洛狂欢节：威压适应,在3月17日至3月19日期间，使用恐龙魔精提升你的适者生存效果，直到你获得“威压”。,70,137799,150
暗月马戏团：炮弹飞人,在3月5日至3月11日期间，在暗月岛上完成“炮弹飞人”任务。,71,137801,50
使用过度调整的柯基护目镜,一切都看起来很不错！,72,137803,50
更换你的造型,使用理发椅更换外观。,73,137805,20
时尚试炼：学习幻化“商人的弯帽”,在3月20日到3月24日期间，通过参与时尚试炼学习幻化“商人的弯帽”。,74,137807,20
在光彩照人时，向其他玩家展示你的/flex（/强壮）,,75,137809,50
向对立阵营的玩家/curtsey（/屈膝）,,76,137811,20
对光彩照人的玩家感到/awe（/敬畏）,用表情对受到光彩照人玩具效果影响的玩家体现/awe（/敬畏）,77,137813,50
在巨龙群岛各地获取声望,,79,137872,150
完成15个史诗钥石地下城,,81,140979,200
和马鲁克半人马一起完成洪荒狩猎,在巨龙群岛从头至尾完成洪荒狩猎。,82,140981,150
和朋友一起用鱼叉捕捉一条鱼,在巨龙群岛和其他玩家一起使用鱼叉捕捉一条鱼。,83,140983,50
参加海象人的社区盛宴,在巨龙群岛的伊斯卡拉完成社区盛宴任务。,84,140985,50
完成“围攻灭龙要塞”,在巨龙群岛完成觉醒海岸的“围攻灭龙要塞”场景战役。,85,140987,50
在攀岩时使用结伴同行,在巨龙群岛的攀岩世界任务中使用结伴同行。,86,140989,50
在拜荒者的风暴中击败特殊生物,特殊生物会在巨龙群岛各地的拜荒者风暴事件中出现。,87,140991,100
完成多人驭龙术竞速,在巨龙群岛与青铜时光守护者交谈，参加多人竞速。,88,141010,150
在巨龙群岛完成一个PvP世界任务,,89,141012,100
击败一个巨龙群岛的世界首领,,90,141021,100
完成觉醒海岸的可选故事线,,91,141032,200
完成每周采集任务,每周专业技能任务可以在瓦德拉肯的匠人集市处接取。,92,141044,100
完成每周制造任务,每周专业技能任务可以在瓦德拉肯的匠人集市处接取。,93,141057,100
在巨龙群岛拾取战争物资箱,,94,141095,100
在巨龙群岛钓起物品,,95,141125,100
向守护巨龙表达爱意,在瓦德拉肯使用表情/love（/爱）向守护巨龙表达你的爱意。,96,141883,50
向陨落巨龙表达爱意,在团队副本中使用表情/love（/爱）向特定的陨落巨龙中的2只表达你的爱意。,97,141887,50
为传奇渔夫拍照,在编目世界任务中，为传奇渔夫拍照。,102,141960,50
完成编目世界任务,在巨龙群岛完成编目世界任务。,103,141971,50
获得500个元素涌流,元素涌流可以从受拜荒者风暴影响的生物处拾取。,104,141979,100
完成单人驭龙术竞速,在巨龙群岛与青铜时光守护者交谈，参加单人竞速。,105,141981,100
完成欧恩哈拉平原的可选故事线,,108,141988,150
击败洪荒狩猎首领,在巨龙群岛的马鲁克半人马洪荒狩猎中击败首领。,109,141997,100
使用鱼叉捕捉大家伙,在巨龙群岛使用鱼叉令大家伙登陆。,110,142034,50
上交黑曜钥匙,在巨龙群岛的黑曜堡垒向任意人士上交黑耀钥匙。,111,142036,100
更换驭龙术坐骑的外观,,112,142038,20
在碧蓝林海训练场获得荣誉,,113,142733,100
使用龙类宠物击败巨龙群岛精英宠物,使用至少有2个龙类宠物的阵容击败2个巨龙群岛的精英宠物,121,142058,200
在“看”上去不错时，在巨龙群岛钓起物品。,你戴着玛瑙闪光防护镜或工匠眼镜时“看”上去不错。,122,142063,50
在“看”上去不错时制作物品,你戴着玛瑙闪光防护镜或工匠眼镜时“看”上去不错。,123,142065,50
更改洪荒狩猎伙伴的外观,在巨龙群岛与洪荒狩猎训练师交谈，更改你的伙伴的外观。,126,142080,20
发现巨龙群岛的隐藏的宝石簇,,127,142082,50
在巨龙群岛收集血腥硬币,,140,142224,150
在光彩照人时喝汤,在光彩照人时，于巨龙群岛的伊斯卡拉享受社区之汤。,143,142261,50
对商栈展示爱意,用表情对商栈的商人和货物展示/love（/爱）。,144,142268,50
击败25个团队副本首领,,145,142290,250
和5名朋友一起用鱼叉捕捉一个大家伙。,在巨龙群岛和其他5名玩家一起使用鱼叉捕捉一个大家伙。,146,142297,50
完成公开制造订单,在瓦德拉肯的匠人集市与制造订单办事员交谈，获取制造订单。,147,142299,100
完成个人制造订单,在瓦德拉肯的匠人集市与制造订单办事员交谈，获取制造订单。,148,142303,100
在暴风之怒事件中击败首领。,暴风之怒事件可在巨龙群岛的拜荒者的未来找到。,150,142527,100
