Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
Todas las especializaciones,1,0,13,5,0
Especialización,2,1,19,6,0
Todas las ubicaciones,3,2,13,2,0
Área de descanso,4,3,1,3,0
Mundo,5,6,1,4,0
Profundidades,6,7,1,4,1
Casa,7,4,1,3,1
Selección de personaje,8,5,1,3,2
Mazmorras,9,8,1,4,2
Bandas,10,9,1,4,3
Arenas,11,10,1,4,4
Campos de batalla,12,11,1,4,5
Cualquier movimiento,13,12,13,7,0
A pie,14,13,1,8,0
Al nadar,15,14,1,8,1
Montura terrestre,16,15,1,8,2
Montura voladora,17,16,1,8,3
Todos los conjuntos equipados,18,17,13,9,0
Conjunto de equipamiento,19,18,17,10,0
Cualquier forma de raza,20,19,13,11,0
Forma original,21,20,17,12,0
Forma no original,22,21,17,12,1
Todos los climas,32,22,13,14,0
Cielo despejado,33,23,1,15,0
Lluvia,34,24,1,15,1
Nieve,35,25,1,15,2
Tormenta de arena,36,26,1,15,3
Todas las horas,37,27,13,16,0
Mañana,38,28,1,17,0
Mediodía,39,29,1,17,1
Tarde,40,30,1,17,2
Noche,41,31,1,17,3
