ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Completa 30 misiones,Completa misiones que otorguen experiencia.,3,135693,200,0,0
Derrota a 50 jefes de mazmorra,Derrota a jefes de mazmorra que otorguen experiencia,4,135695,200,0,0
Festival de Invierno: consigue un sombrero festivo de alta costura,"Del {EventStartDate} al {EventEndDate}, consigue un sombrero festivo de alta costura.",5,135697,50,0,-100
Completa 5 mazmorras míticas+,,6,135699,200,0,7
Completa 15 misiones del mundo,,7,136176,150,0,0
Derrota a 10 jefes de banda de Dragonflight,,8,136202,200,0,0
Consigue 7500 p. de honor,,10,136220,200,0,0
Gana 5 campos de batalla,,11,136222,200,0,0
Gana 10 encuentros en la arena que no sean de escaramuza,,12,136224,200,0,0
Completa pedidos de fabricación,Habla con un funcionario de pedidos de fabricación en el Mercado de los Artesanos de Valdrakken.,13,136242,200,0,0
Gana 15 duelos de mascotas,,14,136244,200,0,0
Derrota a jefes de mazmorra en un grupo multifacción,Derrota a jefes de mazmorra que otorguen experiencia en un grupo multifacción.,16,136248,150,0,0
Completa misiones en Rasganorte,,17,136250,100,0,0
Completa 5 mazmorras de Paseo en el tiempo de Wrath of the Lich King,,18,136265,250,0,0
Derrota al Rey Exánime,Mata al Rey Exánime en la Ciudadela de la Corona de Hielo.,19,136286,50,0,0
Completa campos de batalla del Valle de Alterac,,20,136288,100,0,0
Semana de las mascotas de duelo: derrota a maestros domadores de Rasganorte con un pequeño ayudante,"Del {EventStartDate} al {EventEndDate}, usa al menos un pequeño ayudante para derrotar a todos los maestros domadores de Rasganorte.",21,136291,75,0,-110
Paseo en el tiempo: pesca en Rasganorte,"Del {EventStartDate} al {EventEndDate}, pesca objetos en Rasganorte.",22,136300,100,0,0
Tiembla ante Ragnaros,Usa la emoción /frío con Ragnaros en el Núcleo de Magma.,23,136323,25,0,0
Festival de Invierno: baila alrededor del árbol con el atuendo adecuado para la ocasión,"Del {EventStartDate} al {EventEndDate}, baila con otro jugador cerca del árbol festivo mientras llevas un atuendo de invierno.",24,136325,50,0,-100
Mata a 100 elementales de hielo,,25,136327,100,0,0
Feria de la Luna Negra: completa Objetivo: tortuga,"Del 3 al 9 de diciembre, completa la misión ""Objetivo: tortuga"" en la Isla de la Feria de la Luna Negra.",26,136357,50,0,-62
Festival de Invierno: mata a 3 jefes festivos,"Del {EventStartDate} al {EventEndDate}, mata a tres de los siguientes jefes.",27,136359,50,0,-100
Festival del Errante: asiste al festival,"Del {EventStartDate} al {EventEndDate}, asiste al Festival del Errante en la Playa de la Tortuga de la Espesura Krasarang.",28,136364,100,0,-70
"Festival del Errante: lanza un farol y lee ""Esperando a la tortuga""","Del {EventStartDate} al {EventEndDate}, lanza un farol y lee ""Esperando a la tortuga"" en el Festival del Errante de la Espesura Krasarang.",29,136366,75,0,-70
Feria de la Luna Negra: come una salchicha empanada tras montar en una atracción,"Del 3 al 9 de diciembre, monta en el carrusel o la montaña rusa de la Feria de la Luna Negra y cómete una salchicha empanada.",30,136369,25,0,-62
Mata al líder de la facción contraria,,31,136449,400,0,0
Explora una zona nevada,Explora por completo una de las siguientes zonas.,32,136527,50,0,0
Festival de Invierno: gana Aura gélida,"Del {EventStartDate} al {EventEndDate}, gana Aura gélida del refrigerador Ira Helada.",34,136855,25,0,-100
Paseo en el tiempo: completa misiones en Draenor,"Del {EventStartDate} al {EventEndDate}, completa misiones en Draenor.",36,149949,100,0,0
Paseo en el tiempo: completa 5 mazmorras de Paseo en el tiempo de Warlords of Draenor,"Del {EventStartDate} al {EventEndDate}, completa mazmorras de Paseo en el tiempo de Warlords of Draenor.",37,137530,100,213,0
Completa la Ciudadela del Fuego Infernal,,38,137539,150,0,0
