String_lang,ID,Flags
"Requiere el logro ""Un aliado azur"".",740,1
"Requiere el logro ""Compañero del acantilado"".",741,1
"Requiere el logro ""Juntos en los cielos"".",742,1
"Requiere el logro ""Un nuevo amigo"".",743,1
|cff808080Este talento se otorga de manera gratuita a tu especialización y no se puede olvidar|r,910,1
Gasta %d p. más para desbloquear este talento,911,1
Classic,953,1
Terrallende,954,1
Rasganorte,955,1
Cataclismo,956,1
Pandaria,957,1
Draenor,958,1
Legion,959,1
Kul Tiras,960,1
Tierras Sombrías,961,1
Islas Dragón,962,1
Zandalari,963,1
Expedicionario,970,1
Aventurero,971,1
Veterano,972,1
Campeón,973,1
Héroe,974,1
"Si vuelves a fabricar este objeto con una chispa de nivel de objeto superior, se eliminará permanentemente la ranura que se añadió con el manipulador cargado de tormenta.|n|n¿Seguro que quieres continuar?",975,1
Gasta %d p. más para desbloquear este talento,976,1
|cff808080Este talento se otorga de manera gratuita a tu especialización y no se puede olvidar|r,977,1
Mito,978,1
Khaz Algar,989,1
Aventurero,990,1
"Si vuelves a fabricar este objeto con una chispa de nivel de objeto superior, se eliminará permanentemente la ranura que se añadió con el escultor volcánico.|n|n¿Seguro que quieres continuar?",991,1
Pestaña 1,992,0
Pestaña 2,993,0
Pestaña 3,994,0
Pestaña 4,995,0
Pestaña 5,996,0
"Si vuelves a fabricar este objeto con una chispa de nivel de objeto superior, se eliminará permanentemente la ranura que se añadió con Cuna de la Naturaleza.|n|n¿Seguro que quieres continuar?",997,1
Despierta,998,1
Requiere el talento $@spellname263165.,1000,0
"El general debe considerarte un ""Accesorio"".",1001,1
"La Tejedora debe considerarte un ""Conocido"".",1002,1
"La Tejedora debe considerarte un ""Compinche"".",1003,1
"La Tejedora debe considerarte un ""Cómplice"".",1004,1
"El general debe considerarte un ""Colaborador"".",1005,1
"El general debe considerarte un ""Encubridor"".",1006,1
"El general debe considerarte un ""Conspirador"".",1007,1
"La Tejedora debe considerarte una ""Eminencia"".",1008,1
"El general debe considerarte un ""Conocido"".",1009,1
"El general debe considerarte un ""Compinche"".",1010,1
"El general debe considerarte un ""Cómplice"".",1011,1
"La Tejedora debe considerarte un ""Colaborador"".",1012,1
"La Tejedora debe considerarte un ""Accesorio"".",1013,1
"La Tejedora debe considerarte un ""Encubridor"".",1014,1
