ID,Description_lang,OrderIndex,ProfTraitTreeID
1,Fabricas piezas de armadura de placas de magma primigenio.,0,105
2,Aumentas tu inventiva y tu ingenio al fabricar armaduras de placas.,1,105
3,Fabricas un martillo de maestro que te permite reparar tu propia armadura de placas.,2,105
5,Dominas el arte de fabricar madejas de tela y paños para pulir.,1,161
6,Dominas el arte de fabricar contratos y misivas.,2,176
7,Las pociones que consumes te otorgan pequeños incrementos de velocidad de movimiento o sanación.,1,58
8,Fabricas cebos para atraer criaturas que proporcionan materiales poco comunes al despellejarlas.,0,145
9,Dominas el arte de fabricar runas de fauna y runas vantus.,2,148
10,Personalizas las armas y herramientas que fabricas con componentes opcionales y de finalización.,2,102
11,Personalizas las armaduras de cuero que fabricas con componentes opcionales y de finalización.,2,126
12,Personalizas las armaduras de malla que fabricas con componentes opcionales y de finalización.,2,124
13,Personalizas los anillos y collares con componentes opcionales.,2,131
14,Descubres las menas prismáticas que contienen algunas gemas al realizar prospecciones.,0,128
15,Aumentas tu ingenio y tu eficiencia al fabricar.,2,207
16,Encuentras semillas mágicas que se pueden plantar para cultivar hierbas.,1,235
17,Obtienes un bonus de daño contra bestias y dragonantes en zonas exteriores.,0,144
18,Aumentas tu inventiva y tu ingenio al fabricar armaduras de tela.,1,164
19,Aumentas tu inventiva y tu ingenio al crear encantamientos.,2,240
20,Aumentas tu inventiva y tu ingenio al fabricar armaduras de cuero.,1,126
21,Aumentas tu inventiva y tu ingenio al fabricar armaduras de malla.,1,124
22,"Aumentas tu inventiva, tu ingenio y tu velocidad de fabricación al fabricar bocetos de joyería.",0,130
23,Aumentas la efectividad de la inventiva y el ingenio con todos los bocetos de joyería.,1,130
24,Aumentas tu habilidad de fabricación para todos los bocetos de joyería.,0,130
25,Descubres esquemas de componentes opcionales para personalizar tu equipo.,1,205
26,Fabricas un martillo de maestro para reparar tus propias armas.,3,102
27,Aprendes recetas de pociones y ampollas tóxicas mediante la experimentación.,3,59
28,Recoges piezas de chatarra entre las que puedes rebuscar y encontrar tesoros.,1,207
29,Personalizas las armaduras de tela con componentes de finalización.,2,164
30,Obtienes carne para cocinar de las criaturas que despellejas.,2,144
31,Dominas la magia de descomposición al fabricar.,3,134
32,Controlas los componentes elementales para potenciar tus tallas de gemas.,1,129
33,"Mejoras a la hora de recolectar naipes de la Luna Negra, extraer sus elementos y crear otros.",0,176
34,Aumentas tu habilidad de fabricación para todas las recetas de alquimia.,0,59
35,Aumentas tu habilidad de fabricación para todas las recetas de herrería.,0,169
36,Aumentas tu habilidad de fabricación para todas las fórmulas de encantamiento.,0,245
37,Aumentas tu habilidad de fabricación para todos los esquemas de ingeniería.,0,207
38,Aumentas tu habilidad de fabricación para todas las técnicas de inscripción.,0,147
39,Aumentas tu habilidad de fabricación para todos los patrones de peletería.,0,135
40,Aumentas tu habilidad de fabricación para todos los patrones de sastrería.,0,160
41,Aumentas tu velocidad de fabricación para todos los patrones de sastrería.,3,160
42,Aumentas tu habilidad en recolección al recolectar hierbas.,0,236
43,"Aumentas tu habilidad mientras desuellas cueros, escamas y pellejos.",0,143
44,Aumentas tu habilidad mientras extraes mineral.,0,212
45,Mejoras tu habilidad para fabricar aleaciones y componentes opcionales de mejor calidad.,1,103
46,Mejoras en el arte de transmutar una cosa en otra.,2,59
47,Mejoras en la creación de componentes básicos en grandes cantidades.,2,128
48,Fabricas bombas en grandes cantidades y con menos componentes.,1,204
49,Mejoras tu habilidad de fabricación al fabricar equipo de JcJ.,2,134
50,Mejoras tu habilidad de fabricación al crear fórmulas de encantamiento.,0,240
51,Mejoras tu capacidad de fabricar estatuas consumibles que otorgan pequeños bonus de combate.,3,131
52,Aumentas tus probabilidades de éxito en la experimentación con ampollas.,0,84
