ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
15,Los exploradores buscan otra buena posición en Zandalar.|n|nAlcanza el nivel 114 para continuar.,62173,2,0,1
16,Los exploradores buscan azerita para financiar la campaña.|n|nAlcanza el nivel 116 para continuar.,62174,3,0,1
17,Los exploradores buscan otra buena posición en Zandalar.|n|nAlcanza el nivel 118 para continuar.,62175,4,0,1
23,Los exploradores buscan otra buena posición en Kul Tiras.|n|nAlcanza el nivel 114 para continuar.,62184,2,0,2
24,Los exploradores buscan azerita para financiar la campaña.|n|nAlcanza el nivel 48 para continuar.,62185,3,0,2
25,Los exploradores buscan otra buena posición en Kul Tiras.|n|nAlcanza el nivel 118 para continuar.,62186,4,0,2
29,Aterravermis planea un ataque directo contra Zandalar.|n|nAlcanza el nivel 120 para continuar.,62523,5,0,1
30,Nathanos está preparando un ataque directo contra Kul Tiras.|n|nAlcanza el nivel 120 para continuar.,62524,5,0,2
147,"Completa la cadena de misiones ""Honor perdido"" para continuar la campaña de guerra.",69018,13,0,2
152,"Completa las misiones ""La ofensiva del lobo"" y ""Enviar la flota"" para viajar a Nazjatar.",72028,6,0,1
153,"Completa las misiones ""La orden de la jefa de guerra"" y ""Enviar la flota"" para ir a Nazjatar.",72029,14,0,2
156,"Completa ""Perdón por el polvo"" para continuar.",77905,0,0,114
161,,90281,0,0,126
167,,0,1,0,111
168,"Completa el capítulo ""Enfocando la Mirada"" de Cadenas de Dominación para continuar esta campaña.",92548,2,0,113
170,Consigue renombre 5 para continuar la campaña.,88564,3,0,113
171,Consigue renombre 8 para continuar la campaña.,88568,4,0,113
172,Consigue renombre 11 para continuar la campaña.,86974,5,0,113
174,Consigue renombre 13 para continuar la campaña.,86977,6,0,113
175,Consigue renombre 17 para continuar la campaña.,86981,7,0,113
176,Consigue renombre 22 para continuar la campaña.,86990,9,0,113
177,Alcanza el nivel $pcMinLevel para continuar.,87254,3,0,114
178,Alcanza el nivel $pcMinLevel para continuar.,87384,1,0,124
186,"Completa la misión ""La llamada de Bastión"" para continuar la campaña.",88058,0,0,119
