ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
1,Solo Alleanza!,,0,0,0,6617,0,0,124562,0,232,-1,0
3,Azsuna,"Azsuna, un tempo un idilliaco paradiso, è sotto attacco: la Legione fa piovere morte dall'alto, i Naga della Regina Azshara sorgono dalle profondità e i fantasmi maledetti dei precedenti abitanti dell'isola si aggirano inquieti. Tutti sembrano attratti da un grande potere nascosto nelle profondità delle rovine elfiche.",625,6355,1,39938,39718,0,0,0,0,1220,0
4,Val'sharah,L'antica foresta di Val'sharah è la dimora del semidio Cenarius e il luogo di nascita del druidismo. Malfurion Grantempesta è tornato in questi sacri boschi per entrare in comunione con il suo grande mentore e rivendicare le Lacrime di Elune.,3265,6241,1,39935,39731,0,0,0,0,1220,0
6,Stromheim,"Re Genn Mantogrigio intende guidare la possente Fuoco Celeste verso i picchi di Stromheim, alla ricerca dell'Egida di Aggramar. Purtroppo, su questa terra sorge la capitale di un antico clan dei Vrykul. Anche il loro capo è alla ricerca dell'Egida, e non si fermerà davanti a nulla per ottenerne il potere.",3117,1954,1,39937,39735,0,0,0,0,1220,0
7,Stromheim,"La Capoguerra Sylvanas Ventolesto è in procinto di guidare la propria flotta personale verso i picchi di Stromheim, alla ricerca dell'Egida di Aggramar. Purtroppo, su questa terra sorge la capitale di un antico clan dei Vrykul. Anche il loro capo è alla ricerca dell'Egida, e non si fermerà davanti a nulla per ottenerne il potere.",3117,1954,1,39939,39864,0,0,0,0,1220,0
8,Alto Monte,"Alto Monte, una delle ultime grandi frontiere delle Isole Disperse, domina l'orizzonte settentrionale con il suo picco scheggiato. I suoi pericolosi crinali sono la dimora di una nobile tribù di Tauren e dei brutali Drogbar: la loro fragile pace sarà messa a dura prova dall'avanzata della Legione.",4926,4256,1,39936,39733,0,0,0,0,1220,0
9,Prova offerta missione,Descrizione prova offerta missione.,-9344.97,-2279.12,1,5703,47512,0,0,0,0,-1,0
12,"worldport 1116, 6971.02, 1004.63, 398.974, 299.925",Prova per insetti,6279,-26.6,0,5703,36810,0,0,0,0,1116,0
14,Santuario della Luce,,-3200,9255,3,37830,0,0,0,5608,0,0,2268
15,Caccia al Demone: Terrore Alato Ikzil,Il tuo campione ha trovato un potente demone che deve essere eliminato.,625,6455,2,37103,39885,0,0,0,0,1220,0
16,Echi del passato,Il tuo campione ha trovato un antico comunicatore dei Titani.,2900,5400,2,37136,39886,0,0,0,0,1220,0
17,"worldport 533, 2719.85, -3098.21, 267.686, 285.619",Prova per insetti 2,2719,-3098,0,5703,36810,0,0,0,0,533,0
18,"worldport 0, 2368.83, -5353.17, 52.6645, 315.291",Prova per insetti 3,2368,-5353,0,5703,36810,0,0,0,0,0,0
20,Sale del Valore,,-3200,10000,3,37831,0,0,0,5613,0,1479,7813
21,Offerta di prova,Prova,2900,5400,3,5703,0,0,128966,0,0,-1,0
22,"Acherus, la Roccaforte d'Ebano",,-3200,10000,3,37835,0,0,0,5601,0,1220,7743
23,Vilmartello,,-3200,10000,3,37841,0,0,0,5602,0,1481,8023
24,Rifugio Tirosaldo,,-3200,9255,3,37832,0,0,0,5605,0,1220,7877
25,Bosco dei Sogni,,-3200,10000,3,37840,0,0,0,5603,0,1220,7846
26,Sale dei Guardiani,,-3200,9255,3,37837,0,0,0,5606,0,1513,7879
27,Isola Errante,,-3200,10000,3,37839,0,0,0,5607,0,1514,7902
28,Tempio di Lucefatua,,-3200,10000,3,37834,0,0,0,5609,0,1512,7834
29,Dimora delle Ombre,,-3200,9255,3,37833,0,0,0,5610,0,1220,8011
30,Maelstrom,,-3200,9255,3,37836,0,0,0,5611,0,1469,7745
31,Faglia Malosfregio,,-3200,9255,3,37838,0,0,0,5612,0,1522,7875
32,Suramar,"Dopo 10.000 anni di isolamento, gli Elfi Nobili Oscuri hanno abbassato la barriera magica a protezione della città di Suramar, permettendo a Gul'dan di accedere a una fonte di incredibile potere: il Pozzo Oscuro. In seguito al fallito tentativo di detronizzazione della Gran Magistra Elisande, un piccolo gruppo di esuli desidera risvegliare il potere di questa antica terra per liberare Suramar dalla morsa della Legione.",1778.3,4348.73,1,44817,44555,0,0,0,0,1220,0
40,Zuldazar,Ottieni la fiducia di Re Rastakhan e del Concilio degli Zanchuli.,-1489.27,1024.34,1,54073,47514,0,0,0,0,1642,0
41,Nazmir,Raggiungi le oscure paludi di Nazmir con la Principessa Talanji e metti fine alla minaccia dei Troll del Sangue.,1920.37,939.103,1,54075,47512,0,0,0,0,1642,0
42,Vol'dun,I segreti del Generale Jakra'zet si nascondono da qualche parte nelle sabbie. Raggiungi le dune e recupera le prove per rimuoverlo dalla sua posizione di potere.,2545.47,3837.28,1,54076,47513,0,0,0,0,1642,0
43,Baia di Tiragarde,Smaschera la corruzione a Boralus e ottieni la fiducia di Katherine Marefiero.,584.562,-77.9022,1,61846,47960,0,0,0,0,1643,0
44,Drustvar,Ser e Dama Crestabianca sono solidi alleati dei Marefiero. Investiga la loro improvvisa assenza e le preoccupanti voci provenienti da Drustvar.,-454.389,2574.49,1,61848,47961,0,0,0,0,1643,0
