Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:Pegni Perduti|r|nRecupera pegni rubati dai Coboldi invasori!,3,122390,51
|cnWHITE_FONT_COLOR:Coboldi Sciamanti|r|nI Coboldi hanno invaso la Requie di Kriegval e devono essere cacciati via!,4,122392,51
|cnWHITE_FONT_COLOR:Gita di Dagran|r|nDagran Thaurissan II è in cerca di qualcuno che lo aiuti con l'addestramento sul campo.,5,122393,51
"|cnWHITE_FONT_COLOR:Candele Divertenti|r|nSquick ha sentito che i Micciascura hanno lasciato delle strane candele. È venuto a cercarle, ma ha trovato invece il Vuoto!",6,122394,51
|cnWHITE_FONT_COLOR:Rituale Oscuro|r|nL'Ordine della Notte sta eseguendo un rituale profano per diffondere la corruzione nella zona!,7,122376,59
|cnWHITE_FONT_COLOR:L'Assalto di Kyron|r|nIl Grande Kyron sta lanciando un assalto al Santuario del Tramonto e ha bisogno del tuo aiuto!,8,122377,59
|cnWHITE_FONT_COLOR:Rumore di Segnalazione|r|nFinisci il lavoro dei Lampionai uccisi per salvare gli ostaggi dall'Ordine della Notte.,9,122378,59
|cnWHITE_FONT_COLOR:NYI|r|n,10,122379,59
|cnWHITE_FONT_COLOR:Vittime di Tortura|r|nI Nerubiani Evoluti stanno torturando i prigionieri nel Sottoforte.,11,122380,60
|cnWHITE_FONT_COLOR:Salvataggio della Tessitrice|r|nTre agenti della Tessitrice sono tenuti in ostaggio nel Sottoforte.,12,122382,60
|cnWHITE_FONT_COLOR:Ricerca Evoluta|r|nUn ricercatore Nerubiano evoluto sta effettuando esperimenti maligni.,13,122384,60
|cnWHITE_FONT_COLOR:Evoluzione Fuggiasca|r|nUn esperimento nel Sottoforte è andato fuori controllo e minaccia di fuggire all'esterno.,14,122385,60
|cnWHITE_FONT_COLOR:Minatori Perduti|r|nSalva un gruppo di minatori Terrigeni catturati dai Fungariani.,15,122386,50
|cnWHITE_FONT_COLOR:Decadimento in Espansione|r|nUn mago del Kirin Tor sta cercando di respingere la diffusione del decadimento dei Fungariani.,16,122387,50
|cnWHITE_FONT_COLOR:Competizione dell'Esploratore|r|nI membri della Lega degli Esploratori hanno iniziato una competizione amichevole nelle profondità della caverna.,17,122388,50
|cnWHITE_FONT_COLOR:Teletrasporto tremante|r|nAiuta un ingegnere loquace a riparare la sua rete di teletrasporto.,18,122389,50
|cnWHITE_FONT_COLOR:Maiali Scomparsi|r|nI maiali di una contadina sono scomparsi nelle caverne e bisogna recuperarli.,19,122332,58
|cnWHITE_FONT_COLOR:Grande Caccia al Tesoro|r|nIl Cuoco Dinaire sta organizzando una caccia al tesoro.,20,122333,58
|cnWHITE_FONT_COLOR:NYI|r|n,21,122334,58
|cnWHITE_FONT_COLOR:Boccone Fungino|r|nAliya Elmocolle ha bisogno di aiuto per recuperare un fungo da un mostro particolarmente fastidioso.,22,122335,58
|cnWHITE_FONT_COLOR:Ingegneri Catturati|r|nI Coboldi hanno conquistato l'Acquedotto e rapito gli ingegneri che ci lavorano.,23,122395,52
|cnWHITE_FONT_COLOR:Problemi di Fiducia|r|nAiuta una Cobolda e un Oratore delle Macchine a recuperare tesori nell'Acquedotto.,24,122396,52
|cnWHITE_FONT_COLOR:Schianto Sensato|r|nGli Oratori delle Macchine hanno bisogno di aiuto per provare un dispositivo con cui recuperare materiali rubati.,25,122397,52
|cnWHITE_FONT_COLOR:NYI|r|n,26,122399,52
|cnWHITE_FONT_COLOR:Salvataggio illusorio|r|nSalva gli Arathor rapiti dai Kobyss.,27,122400,53
|cnWHITE_FONT_COLOR:NYI|r|n,28,122401,53
|cnWHITE_FONT_COLOR:Mossa di Raen|r|nRaen Solcavalyr ha bisogno di aiuto per recuperare delle reliquie rubate dai Kobyss.,29,122402,53
|cnWHITE_FONT_COLOR:Terrore Guardingo|r|nI Kobyss stanno cercando di assumere il controllo di qualcosa proveniente dalle profondità del mondo.,30,122403,53
|cnWHITE_FONT_COLOR:Marachelle Goblin|r|nIndaga sulla presenza dei Goblin nell'Abisso di Tak-Rethan.,31,122404,54
|cnWHITE_FONT_COLOR:Rapimento dei Niffen|r|nSvariati Niffen sono stati rapiti dai Kobyss!,32,122406,54
|cnWHITE_FONT_COLOR:Furia di Feromoni|r|nI Kobyss hanno rubato casse di feromoni per tendere imboscate agli alleati della Tessitrice.,33,122407,54
|cnWHITE_FONT_COLOR:NYI|r|n,34,122408,54
|cnWHITE_FONT_COLOR:Terrigeni Rapiti|r|nI Nerubiani hanno rapito i minatori da Borgo Frey!,35,122341,56
|cnWHITE_FONT_COLOR:Minerali Preziosi|r|nAiuta a rinvigorire i Terrigeni indeboliti per respingere i Nerubiani.,36,122372,56
|cnWHITE_FONT_COLOR:Terreni Ardenti|r|nAiuta un Lampionaio bloccato a sventare la minaccia Nerubiana.,37,122373,56
|cnWHITE_FONT_COLOR:In cerca di tesori|r|nUn nano Ferroscuro non si fermerà davanti a nulla pur di trovare un tesoro.,38,122374,56
|cnWHITE_FONT_COLOR:Gemme Perdute|r|nI Nerubiani hanno rubato una cassa di Gemme del Ricordo!,39,122409,63
|cnWHITE_FONT_COLOR:Schiacciare gli Skardyn|r|nI Nerubiani stanno sfruttando gli Skardyn per rapire gli Oratori delle Macchine!,40,122410,63
|cnWHITE_FONT_COLOR:Rapimento di Coboldi|r|nUna coppia di Coboldi amichevoli ha bisogno di aiuto per salvare i suoi amici dai Nerubiani.,41,122411,63
|cnWHITE_FONT_COLOR:NYI|r|n,42,122412,63
|cnWHITE_FONT_COLOR:Antichi Rituali|r|nI Lampionai hanno bisogno di aiuto per sventare un rituale Nerubiano che sta avvenendo nelle profondità di un tempio proibito.,43,122413,64
|cnWHITE_FONT_COLOR:Renilash Chiama|r|nL'Ordine della Notte ha invaso la Breccia Brulicante perché crede che sia la chiave per il richiamo del Renilash.,44,122414,64
|cnWHITE_FONT_COLOR:NYI|r|n,45,122415,64
"|cnWHITE_FONT_COLOR:Regno delle Ombre|r|nLa Breccia Brulicante è stranamente tranquilla, se non per un singolo portale fluttuante al suo interno.",46,122416,64
|cnWHITE_FONT_COLOR:Ostaggi Torturati|r|nPrigionieri provenienti da tutta Azeroth sono stati portati alla Trama a Spirale per essere torturati.,47,122417,57
|cnWHITE_FONT_COLOR:Dalla Tessitrice con Amore|r|nLa Tessitrice ha un piano per ostacolare le operazioni nella Trama a Spirale.,48,122418,57
|cnWHITE_FONT_COLOR:Strani Disturbi|r|nI Nerubiani nella Trama a Spirale sembrano comportarsi in modo insolito.,49,122419,57
|cnWHITE_FONT_COLOR:NYI|r|n,50,122420,57
"|cnWHITE_FONT_COLOR:Il Potere di Zekvir|r|nZekvir, la Mano dell'Aralda, dimora in questo vile luogo. Solo i può forti possono sfidare la sua potenza.",52,34450,61
|cnWHITE_FONT_COLOR:Scavatori scomparsi|r|nI Goblin che stavano scavando nell'area non hanno fatto rapporto.,53,129109,65
|cnWHITE_FONT_COLOR:Profitti col Sangue Nero|r|nUn Goblin sta cercando di guadagnare qualcosa dal Sangue Nero nell'area.,54,129110,65
|cnWHITE_FONT_COLOR:Fenditure facinorose|r|nStrani squarci hanno iniziato ad aprirsi in tutto il Sito di Scavo 9.,55,129111,65
|cnWHITE_FONT_COLOR:Tutto ciò che luccica|r|nI Micciascura hanno rubato dell'oro ai cittadini e lo stanno usando per animare un elementale!,60,130367,66
|cnWHITE_FONT_COLOR:Signor SCORRIBOT|r|nDiversi meccanici Goblin sono scomparsi all'interno del Canale Laterale.,61,130368,66
|cnWHITE_FONT_COLOR:Teletrasporto turbolento|r|nÈ in corso l'utilizzo di teletrasporti sperimentali per migliorare le operazioni dei Micciascura nella zona.,62,130369,66
"|cnWHITE_FONT_COLOR:Labirinto Prototipo|r|nExplora una vasta caverna, piena di Nerubiani, Fungariani e solo la Luce sa cos'altro.",63,34450,67
|cnWHITE_FONT_COLOR:Uno spettacolo epocale|r|nIl Capofondo è noto per annientare i rivali in scontri da tutto esaurito al Demolitorium.,64,34450,68
|cnWHITE_FONT_COLOR:Candele corrotte|r|nI Goblin Micciascura stanno saccheggiando la Requie di Kriegval. Aiuta i Coboldi a ripristinare l'ordine.,65,133756,51
"|cnWHITE_FONT_COLOR:Operazione onnicomprensiva|r|nQuassù c'è un'operazione di trivellazione gnomesca, ma sono arrivati dei Goblin Micciascura a seminare il caos.",67,133769,50
|cnWHITE_FONT_COLOR:Caccia agli insetti|r|nAiuta la squadra di disinfestazione a far fronte a una tremenda infestazione.,68,133773,56
|cnWHITE_FONT_COLOR:La chiave di tutto|r|nI Goblin hanno sistemato tutti i vecchi problemi... e ne hanno creati tantissimi nuovi!,69,133774,52
|cnWHITE_FONT_COLOR:Fermare i Micciascura|r|nI Goblin Micciascura stanno allestendo un accampamento. Ferma i loro piani!,70,133778,63
|cnWHITE_FONT_COLOR:Reliquie degli Dei Antichi|r|nGli scagnozzi di Gallywix hanno manomesso alcune reliquie degli Dei Antichi. Occupatene prima che la situazione sfugga di mano!,71,133782,64
|cnWHITE_FONT_COLOR:Pareggiare i conti|r|nAiuta Nimsi a risolvere una questione in sospeso con l'Ordine della Notte.,73,133783,59
|cnWHITE_FONT_COLOR:Festività dell'orfano|r|nAiuta Alyza Fiammarc a continuare la sua sanguinaria vendetta contro i Kobyss.,75,133786,53
|cnWHITE_FONT_COLOR:Operazione di terze parti|r|nAiuta Dama Goya a tenere le mani di Gallywix lontane dal prezioso Sangue Nero.,76,133788,60
|cnWHITE_FONT_COLOR:Sabotaggio del pompaggio|r|nAiuta Pamsy e la sua squadra a sabotare le operazioni di pompaggio di Gallywix.,77,133792,54
|cnWHITE_FONT_COLOR:Ridimensionamento|r|nAbbatti le macchine dei Goblin con un po' di potenza di fuoco Nerubiana.,78,133850,57
