ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,QuestID,PlayerConditionID
18,,Puoi parlare con la Guardiana Sbocciavespro per reclutare questo avventuriero.,Nuovo Avventuriero disponibile,3,4,0,0,0,0,0,0,0,0,0,1283,0,64508,0
19,Potenziamento Vincolo dell'Anima: Niya,Puoi accedere alla terza fila di abilità del Vincolo dell'Anima di Niya.,Riga di abilità del Vincolo dell'Anima Niya sbloccata,3,3,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
22,Potenziamento Vincolo dell'Anima: Niya,Puoi accedere alla quarta fila di abilità del Vincolo dell'Anima di Niya.,Riga di abilità del Vincolo dell'Anima Niya sbloccata,3,7,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
23,,Puoi parlare con la Guardiana Sbocciavespro per reclutare questo avventuriero.,Nuovo Avventuriero disponibile,3,12,0,0,0,0,0,0,0,0,0,1285,0,64508,0
25,Potenziamento Vincolo dell'Anima: Plasmasogni,Puoi accedere alla quarta fila di abilità del Vincolo dell'Anima di Plasmasogni.,Riga di abilità del Vincolo dell'Anima Plasmasogni sbloccata,3,9,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
28,Potenziamento Vincolo dell'Anima: Plasmasogni,Puoi accedere alla quinta fila di abilità del Vincolo dell'Anima di Plasmasogni.,Riga di abilità del Vincolo dell'Anima Plasmasogni sbloccata,3,13,3684882,2,1,0,0,0,0,0,0,0,0,0,0
29,,Questo ricordo recuperato sarà disponibile per l'acquisto dal Quartiermastro della Fama.,Nuovo Ricordo Recuperato disponibile,3,14,0,0,0,183249,0,0,0,0,0,0,0,64508,0
31,Potenziamento Vincolo dell'Anima: Niya,Puoi accedere alla quinta fila di abilità del Vincolo dell'Anima di Niya.,Riga di abilità del Vincolo dell'Anima Niya sbloccata,3,10,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
32,,Puoi parlare con la Guardiana Sbocciavespro per reclutare questo avventuriero.,Nuovo Avventuriero disponibile,3,17,0,0,1,0,0,0,0,0,0,1284,0,0,0
33,Ricompense missioni mondiali,Il livello oggetti delle tue ricompense dalle missioni mondiali è aumentato.,Livello oggetti massimo delle missioni mondiali aumentato,3,10,236668,0,1,0,0,0,0,0,0,0,0,63220,88686
35,,,Nuovo aspetto disponibile,3,6,0,0,0,0,0,0,113562,0,0,0,0,64508,0
36,,Illusione: Anima Selvaggia sarà disponibile per l'acquisto dal Quartiermastro della Fama.,Illusione: Anima Selvaggia disponibile,3,36,0,0,0,0,0,0,0,0,0,0,71,64508,0
37,,Il giocattolo Pietra del Ritorno dei Silfi della Notte sarà disponibile per l'acquisto dal Quartiermastro della Fama.,Pietra del Ritorno dei Silfi della Notte disponibile,3,11,0,0,1,180290,0,0,0,0,0,0,0,0,0
39,Campagna dei Silfi della Notte: Drust in cenere,Puoi iniziare il prossimo capitolo della Campagna dei Silfi della Notte. Completare questo capitolo ti permette di stabilire un Vincolo dell'Anima con il Capitano della Caccia Korayn.,Nuova missione della Campagna disponibile,3,22,1500884,1,0,0,0,0,0,0,0,0,0,64508,0
40,,Radicina sarà disponibile per l'adozione dal Quartiermastro della Fama.,Mascotte disponibile,3,27,0,0,1,182663,0,0,0,0,0,0,0,0,0
41,Potenziamento Vincolo dell'Anima: Niya,Puoi accedere alla sesta fila di abilità del Vincolo dell'Anima di Niya.,Riga di abilità del Vincolo dell'Anima Niya sbloccata,3,18,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
42,,Puoi parlare con la Guardiana Sbocciavespro per reclutare questo avventuriero.,Nuovo Avventuriero disponibile,3,27,0,0,0,0,0,0,0,0,0,1286,0,64508,0
43,,Questi aspetti saranno disponibili per l'acquisto dal Quartiermastro della Fama:|n- Polsi|n- Mani|n- Fianchi,Nuovi aspetti disponibili,3,16,0,0,1,0,0,0,0,2086,0,0,0,64508,0
44,,Questi aspetti saranno disponibili per l'acquisto dal Quartiermastro della Fama:|n- Schiena|n- Gambe|n- Piedi,Nuovi aspetti disponibili,3,26,0,0,0,0,0,0,0,2087,0,0,0,64508,0
45,,Questi aspetti saranno disponibili per l'acquisto dal Quartiermastro della Fama:|n- Testa|n- Spalle|n- Torso,Nuovi aspetti disponibili,3,32,0,0,1,0,0,0,0,2089,0,0,0,64508,0
48,Potenziamento Vincolo dell'Anima: Plasmasogni,Puoi accedere alla sesta fila di abilità del Vincolo dell'Anima di Plasmasogni.,Riga di abilità del Vincolo dell'Anima Plasmasogni sbloccata,3,21,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
50,Ricompense missioni mondiali,Il livello oggetti delle tue ricompense dalle missioni mondiali è aumentato.,Livello oggetti massimo delle missioni mondiali aumentato,3,19,236668,0,1,0,0,0,0,0,0,0,0,63221,88687
51,Potenziamento Vincolo dell'Anima: Niya,Puoi accedere alla settima fila di abilità del Vincolo dell'Anima di Niya.,Riga di abilità del Vincolo dell'Anima Niya sbloccata,3,25,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
52,Potenziamento Vincolo dell'Anima: Plasmasogni,Puoi accedere alla settima fila di abilità del Vincolo dell'Anima di Plasmasogni.,Riga di abilità del Vincolo dell'Anima Plasmasogni sbloccata,3,29,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
53,,Puoi parlare con la Guardiana Sbocciavespro per reclutarla.,Nuovo Avventuriero disponibile,3,33,0,0,0,0,0,0,0,0,0,1287,0,64508,0
55,Potenziamento Vincolo dell'Anima: Korayn,Puoi accedere alla settima fila di abilità del Vincolo dell'Anima di Korayn.,Riga di abilità del Vincolo dell'Anima Korayn sbloccata,3,28,3684885,2,0,0,0,0,0,0,0,0,0,64508,0
59,,Puoi parlare con la Guardiana Sbocciavespro per reclutare questo avventuriero.,Nuovo Avventuriero disponibile,3,38,0,0,0,0,0,0,0,0,0,1288,0,64508,0
62,,,Cavalcatura sbloccata,3,39,0,0,0,0,0,1357,0,0,0,0,0,62415,0
63,,,Titolo sbloccato,3,40,3641394,1,0,0,0,0,0,0,681,0,0,64508,0
64,,,Nuovo aspetto disponibile,3,34,0,0,0,0,0,0,113566,0,0,0,0,0,0
67,,Puoi parlare con Koros per reclutare questo avventuriero.,Nuovo Avventuriero disponibile,1,4,0,0,0,0,0,0,0,0,0,1270,0,0,85540
68,,Puoi parlare con Koros per reclutare questo avventuriero.,Nuovo Avventuriero disponibile,1,4,0,0,0,0,0,0,0,0,0,1271,0,0,85541
69,Potenziamento Vincolo dell'Anima: Pelagos,Puoi accedere alla terza fila di abilità del Vincolo dell'Anima di Pelagos.,Riga di abilità del Vincolo dell'Anima Pelagos sbloccata,1,3,3684898,2,0,0,0,0,0,0,0,0,0,64508,0
