ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Completa 30 missioni,Completa missioni che forniscono esperienza.,3,135693,200,0,0
Sconfiggi 50 boss delle spedizioni,Sconfiggi boss delle spedizioni che forniscono esperienza.,4,135695,200,0,0
Grande Inverno: ottieni un Cappello della Festa Finemente Ricamato,Ottieni un Cappello della Festa Finemente Ricamato dal {EventStartDate} al {EventEndDate}.,5,135697,50,0,-100
Completa 5 spedizioni Mitiche+,,6,135699,200,0,7
Completa 15 missioni mondiali,,7,136176,150,0,0
Sconfiggi 10 boss delle incursioni di Dragonflight,,8,136202,200,0,0
Guadagna 7.500 Punti Onore,,10,136220,200,0,0
Vinci 5 Campi di Battaglia,,11,136222,200,0,0
Vinci 10 incontri nell'arena (non schermaglie),,12,136224,200,0,0
Completa Ordini d'Artigianato,Parla con un cancelliere degli Ordini d'Artigianato nel Mercato degli Artigiani di Valdrakken.,13,136242,200,0,0
Vinci 15 scontri tra mascotte,,14,136244,200,0,0
Sconfiggi boss delle spedizioni in un gruppo multi-fazione,Sconfiggi boss delle spedizioni che forniscono esperienza mentre sei in un gruppo multi-fazione.,16,136248,150,0,0
Completa missioni a Nordania,,17,136250,100,0,0
Completa 5 spedizioni dei Viaggi nel Tempo di Wrath of the Lich King,,18,136265,250,0,0
Sconfiggi il Re dei Lich,Uccidi il Re dei Lich nella Rocca della Corona di Ghiaccio.,19,136286,50,0,0
Completa campi di battaglia della Valle d'Alterac,,20,136288,100,0,0
Settimana delle Mascotte da Combattimento: Sconfiggi i Maestri Allenatori di Nordania con un Piccolo Aiutante,Usa almeno un Piccolo Aiutante per sconfiggere tutti i Maestri Allenatori di Nordania dal {EventStartDate} al {EventEndDate}.,21,136291,75,0,-110
Viaggi nel Tempo: pesca a Nordania,Pesca oggetti a Nordania dal {EventStartDate} al {EventEndDate}.,22,136300,100,0,0
Rabbrividisci verso Ragnaros,Usa l'emote /freddo su Ragnaros nel Nucleo Ardente.,23,136323,25,0,0
Vigilia di Grande Inverno: balla intorno all'albero mentre sei vestito adeguatamente per l'occasione,/balla con un altro giocatore vicino all'albero delle feste mentre indossi l'Abito di Grande Inverno.,24,136325,50,0,-100
Uccidi 10 Elementale del Ghiaccio,,25,136327,100,0,0
Fiera di Lunacupa: completa Operazione: Tartaruga,"Completa la missione ""Operazione: Tartaruga"" sull'Isola di Lunacupa dal {EventStartDate} al {EventEndDate}.",26,136357,50,0,-62
Vigilia di Grande Inverno: uccidi 3 boss festivi,Uccidi tre dei seguenti boss dal {EventStartDate} al {EventEndDate}.,27,136359,50,0,-100
Festa del Nomade: partecipa alla festa,Partecipa alla Festa del Nomade alla Spiaggia della Tartaruga nella Giungla di Krasarang dal {EventStartDate} al {EventEndDate}.,28,136364,100,0,-70
"Festa del Nomade: lancia una lanterna e leggi ""L'Attesa della Tartaruga""","Lancia una lanterna e leggi ""L'Attesa della Tartaruga"" alla Festa del Nomade nella Giungla di Krasarang dal {EventStartDate} al {EventEndDate}.",29,136366,75,0,-70
Fiera di Lunacupa: mangia una Salsiccia Impanata dopo aver fatto un giro,Fai un giro sulla Giostra di Lunacupa o sull'ottovolante e mangia una Salsiccia Impanata dal 3 dicembre al 9 dicembre.,30,136369,25,0,-62
Uccidi il capo della fazione opposta,,31,136449,400,0,0
Esplora una regione innevata,Esplora completamente una delle seguenti zone.,32,136527,50,0,0
"Vigilia di Grande Inverno: ottieni ""Che brividi""",Ottieni Che brividi dal Rinfrescante di Rabbiafredda dal {EventStartDate} al {EventEndDate}.,34,136855,25,0,-100
Viaggi nel Tempo: completa missioni a Draenor,Completa missioni a Draenor dal {EventStartDate} al {EventEndDate}.,36,149949,100,0,0
Viaggi nel Tempo: completa 5 spedizioni dei Viaggi nel Tempo di Warlords of Draenor,Completa spedizioni dei Viaggi nel Tempo di Warlords of Draenor dal {EventStartDate} al {EventEndDate}.,37,137530,100,213,0
Completa la Cittadella del Fuoco Infernale,,38,137539,150,0,0
Uccidi 15 giocatori nella Giungla di Tanaan,,39,137541,200,0,0
Sconfiggi Maestri Allenatori delle Isole dei Draghi con mascotte Dragoidi,Sconfiggi 2 Maestri Allenatori delle Isole dei Draghi con un gruppo composto da almeno 2 mascotte Dragoidi.,40,137543,200,0,0
Viaggi nel Tempo: pesca a Draenor,Pesca oggetti a Draenor dal {EventStartDate} al {EventEndDate}.,41,149979,100,0,0
Usa Spuntini del Famiglio Felice,Acquista Spuntini del Famiglio Felice da Breanni nel Serraglio Magico a Dalaran.,42,137615,100,0,0
Amore nell'Aria: usa il giocattolo Pietra del Ritorno Amorosa di Stupìdo sulle Isole dei Draghi,Usa il giocattolo Pietra del Ritorno Amorosa di Stupìdo sulle Isole dei Draghi dal {EventStartDate} al {EventEndDate}.,43,137617,150,0,0
Amore nell'Aria: usa il giocattolo Cestino da Picnic Romantico nelle Pianure di Ohn'ahra,Usa il giocattolo Cestino da Picnic Romantico nelle Pianure di Ohn'ahra dal {EventStartDate} al {EventEndDate}.,44,137619,150,0,0
"Amore nell'Aria: completa ""Dolciumi gratis!""","Completa la missione ""Dolciumi gratis!"" dal {EventStartDate} al {EventEndDate}.",45,137621,150,0,0
Amore nell'Aria: sconfiggi lo Speziale Hummel,Sconfiggi lo Speziale Hummel nel Forte di Zannascura dal {EventStartDate} al {EventEndDate}.,46,137623,150,0,0
