Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
Tutte le specializzazioni,1,0,13,5,0
Specializzazione,2,1,19,6,0
Tutti i luoghi,3,2,13,2,0
Area di Riposo,4,3,1,3,0
Mondo,5,6,1,4,0
Scorribande,6,7,1,4,1
Casa,7,4,1,3,1
Selezione personaggio,8,5,1,3,2
Spedizioni,9,8,1,4,2
Incursioni,10,9,1,4,3
Arene,11,10,1,4,4
Campi di Battaglia,12,11,1,4,5
Tutti i movimenti,13,12,13,7,0
Non in sella,14,13,1,8,0
Nuoto,15,14,1,8,1
Cavalcatura terrestre,16,15,1,8,2
Cavalcatura volante,17,16,1,8,3
Tutti i set d'equipaggiamento,18,17,13,9,0
Set d'equipaggiamento,19,18,17,10,0
Tutte le forme razziali,20,19,13,11,0
Forma nativa,21,20,17,12,0
Forma non nativa,22,21,17,12,1
Qualsiasi,32,22,13,14,0
Sereno,33,23,1,15,0
Pioggia,34,24,1,15,1
Neve,35,25,1,15,2
Tempesta di sabbia,36,26,1,15,3
Qualsiasi momento,37,27,13,16,0
Mattina,38,28,1,17,0
Pomeriggio,39,29,1,17,1
Sera,40,30,1,17,2
Notte,41,31,1,17,3
