Name_lang,Description_lang,ID,Field_12_0_0_63534_003,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
La migliore iniziativa,Il meglio che c'è,6,1,0,90931,0
Test Initiative - Not as good as the last one,Forse sì,7,1,0,90934,1
Grande iniziativa,Forse non così tanto,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
[DNT] You Take Candle,[DNT] The neighborhood is having difficulties keeping their lanterns alight and is in dire need of lighting upgrades. Seek out the Kobolds of the Ringing Deeps and seek their counsel on exterior illumination.,12,1,0,91278,0
Amico dei Grumyan,"Mantenere una casa è un duro lavoro! A tutti servirebbe qualcosa per tirarsi su. Per questo abbiamo raggiunto i Grumyan del Kun-Lai, che preparano una bevanda particolare di nome kafa, che dovrebbe ridarti una botta di vitalità.",13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
Supporto artistico,Una comunità artistica di Elfi del Sangue si sta rifugiando nel Vicinato mentre la loro casa è sotto attacco e vuole mostrare la propria abilità artistica al vicinato.,15,0,0,91633,0
Spingersi oltre l'impossibile,I Dracthyr di recente si sono riscoperti e hanno deciso che strada percorrere nella vita. La loro passione per l'apprendimento aiuterà a ispirare gli abitanti del vicinato per imparare nuove professioni.,16,0,0,92151,0
Meccanizzazione moderata,I Meccagnomi di Meccagon sono qui per aiutare il Vicinato con dei miglioramenti tecnologici.,17,0,0,92687,0
Costernazione del Consorzio,Il Consorzio è nel Vicinato per aiutare i suoi abitanti a recuperare gli oggetti persi nella Banca Eterea.,18,0,0,93941,0
Percezione olfattiva,"I Niffen sono nel Vicinato per aiutare con i problemi di impollinazione. Insieme, potete far prosperare la vegetazione del Vicinato.",19,0,0,94009,0
