ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,Corpo,11987,11986,4,20,3,0,0
2,Tratti del viso,11991,11990,1,100,2,0,0
3,Accessori,11985,11984,3,100,2,0,0
4,Capelli,11989,11988,2,100,2,0,0
5,Marchi,11987,11986,5,65,3,0,0
6,Forma d'Orso,15730,15730,6,0,0,5,1
7,Forma Felina,15731,15731,7,0,1,1,0
9,Forma Acquatica,15729,15729,10,0,0,4,1
10,Forma Celere,15734,15734,11,0,0,3,1
11,Forma Volante,15732,15732,9,0,0,27,0
12,Forma di Lunagufo,15733,15733,8,0,0,31,0
13,Viso (Non Morto),11991,11990,1,80,3,0,0
14,Viso (Pandaren),11991,11990,1,80,3,0,0
15,Viso (Orco Mag'har),11991,11990,1,85,3,0,0
16,Viso (Nano),11991,11990,1,88,2,0,0
17,Accessori (Nano),11985,11984,3,88,2,0,0
18,Faccia (Tauren),11991,11990,1,100,3,0,0
19,Accessori (Tauren),11985,11984,3,100,3,0,0
20,Face (Worgen),11991,11990,1,100,3,0,0
21,Imp,24571,24571,40,0,0,0,1
22,Corpo (Dracthyr),11987,11986,1,20,2,0,0
23,Specchio,18308,18307,2,100,2,0,0
24,Armatura 1 (Dracthyr),11993,11992,5,20,2,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,2,0,0
27,Corpo (Volo Draconico),20126,20127,1,20,3,0,0
28,Corpo 2 (Volo Draconico),20128,20129,2,20,3,0,0
29,Testa (Volo Draconico),20130,20131,3,100,2,0,0
30,Testa 2 (Volo Draconico),18308,18307,4,100,2,0,0
31,Accessori (Dracthyr),20130,20131,2,100,2,0,0
32,Viso (Dracthyr),11991,11990,3,100,2,0,0
33,Specchio (Dracthyr),18308,18307,4,100,2,0,0
34,Accessori (Orco Mag'har),11985,11984,2,85,3,0,0
37,Vilsegugio,24570,24570,43,0,0,0,1
39,Ombra del Vuoto,24575,24575,41,0,0,0,1
42,Vilguardia,24569,24569,44,0,0,0,1.4
43,Demone Guardiano,24684,24684,46,0,0,0,-1.2
44,Sayaad,24574,24574,42,0,0,0,1
45,Infernale,24685,24685,45,0,0,0,1.5
46,Body (Moonkin),11987,11986,1,20,2,0,0
