ID,ContainerName_lang,ContainerDescription_lang,MinAmount,MaxAmount,ContainerIconID,ContainerQuality,OnLootSpellVisualKitID,CurrencyTypeID
12,Particella d'Azerite Minuscola,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,1,49,2065629,2,101693,1553
13,Frammento d'Azerite Piccolo,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,50,99,2065623,2,101693,1553
14,Scheggia d'Azerite Piccola,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,100,149,2065624,2,101693,1553
15,Formazione d'Azerite Piccola,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,150,199,2065622,2,101693,1553
16,Cristallo d'Azerite Luminoso,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,200,299,2065586,3,101692,1553
17,Azerite Luminosa,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,300,399,2065611,3,101692,1553
18,Geode d'Azerite Luminoso,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,400,499,2065610,3,101692,1553
19,Frammento d'Azerite Splendente,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,500,749,2065617,4,101486,1553
20,Nucleo d'Azerite Splendente,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,750,999,2065616,4,101486,1553
21,Matrice d'Azerite Splendente,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,1000,1999,2065619,4,101486,1553
31,Cuore d'Azerite Vibrante,Fornisce %d Potere Artefatto al tuo Cuore di Azeroth.,2000,30000000,2065618,4,101486,1553
132,Encomio della VII Legione,Aumenta la reputazione con la VII Legione di %d.,1,199,2065569,2,0,1599
133,Encomio dei Campioni di Azeroth,Aumenta la reputazione con i Campioni di Azeroth di %d.,1,299,2065570,2,0,1579
134,Encomio della Brigata dell'Onore,Aumenta la reputazione con la Brigata dell'Onore di %d.,1,199,2065571,2,0,1600
135,Encomio dell'Ordine delle Braci,Aumenta la reputazione con l'Ordine delle Braci di %d.,1,199,2065572,2,0,1592
136,Encomio dell'Ammiragliato dei Marefiero,Aumenta la reputazione con l'Ammiragliato dei Marefiero di %d.,1,199,2065573,2,0,1593
137,Encomio dei Destatempesta,Aumenta la reputazione con i Destatempesta di %d.,1,199,2065574,2,0,1594
138,Encomio dei Cercatori Tortolliani,Aumenta la reputazione con i Cercatori Tortolliani di %d.,1,299,2065576,2,0,1598
139,Encomio dell'Impero degli Zandalari,Aumenta la reputazione con l'Impero degli Zandalari di %d.,1,199,2065579,2,0,1597
140,Encomio della Spedizione di Talanji,Aumenta la reputazione con la Spedizione di Talanji di %d.,1,199,2065575,2,0,1595
141,Encomio dei Voldunai,Aumenta la reputazione con i Voldunai di %d.,1,199,2065577,2,0,1596
142,Encomio della VII Legione,Aumenta la reputazione con la VII Legione di %d.,200,1000000,2065569,3,0,1599
143,Encomio dei Campioni di Azeroth,Aumenta la reputazione con i Campioni di Azeroth di %d.,300,1000000,2065570,3,0,1579
144,Encomio della Brigata dell'Onore,Aumenta la reputazione con la Brigata dell'Onore di %d.,200,1000000,2065571,3,0,1600
145,Encomio dell'Ordine delle Braci,Aumenta la reputazione con l'Ordine delle Braci di %d.,200,1000000,2065572,3,0,1592
146,Encomio dell'Ordine delle Braci,Aumenta la reputazione con l'Ordine delle Braci di %d.,200,1000000,2065572,3,0,1592
147,Encomio dell'Ammiragliato dei Marefiero,Aumenta la reputazione con l'Ammiragliato dei Marefiero di %d.,200,1000000,2065573,3,0,1593
148,Encomio dei Destatempesta,Aumenta la reputazione con i Destatempesta di %d.,200,1000000,2065574,3,0,1594
149,Encomio dei Cercatori Tortolliani,Aumenta la reputazione con i Cercatori Tortolliani di %d.,300,1000000,2065576,3,0,1598
150,Encomio dell'Impero degli Zandalari,Aumenta la reputazione con l'Impero degli Zandalari di %d.,200,1000000,2065579,3,0,1597
151,Encomio della Spedizione di Talanji,Aumenta la reputazione con la Spedizione di Talanji di %d.,200,1000000,2065575,3,0,1595
152,Encomio dei Voldunai,Aumenta la reputazione con i Voldunai di %d.,200,1000000,2065577,3,0,1596
155,Encomio degli Ascesi,Aumenta la reputazione con gli Ascesi di %d.,1,1000000,3257748,3,0,1804
156,Encomio dell'Armata Imperitura,Aumenta la reputazione con l'Armata Imperitura di %d.,1,1000000,3492310,3,0,1805
157,Encomio della Caccia Selvaggia,Aumenta la reputazione con la Caccia Selvaggia di %d.,1,1000000,3575389,3,0,1806
158,Encomio della Corte dei Mietitori,Aumenta la reputazione con la Corte dei Mietitori di %d.,1,1000000,3514227,3,0,1807
159,Emblema della Fama,Aumenta il livello di Fama con la tua Congrega di %d.,0,0,3726261,5,0,1822
160,Prestigio della Corte delle Braci,Aumenta la reputazione con la Corte delle Braci di %d.,1,1000000,3641397,3,0,1837
161,Lettera di Ringraziamento Profumata della Contessa,Aumenta la tua amicizia con la Contessa di %d.,1,1000000,1505932,3,0,1838
162,Nota di Ringraziamento Scarabocchiata di Squartacus,Aumenta la tua amicizia con Squartacus e Mazzafaccia di %d.,1,1000000,1505955,3,0,1839
163,Cartapecora con un Grosso Timbro d'Approvazione,Aumenta la tua amicizia con Testaroccia di %d.,1,1000000,1505957,3,0,1840
164,10 Tesi sul Divertimento a una Festa di Kassir,Aumenta la tua amicizia con il Custode delle Cripte Kassir di %d.,1,1000000,134331,3,0,1841
165,Biglietto di Ringraziamento Ufficiale della Baronessa Vashj,Aumenta la tua amicizia con la Baronessa Vashj di %d.,1,1000000,133472,3,0,1842
166,Ringraziamento Discreto e Succinto di Mograine,Aumenta la tua amicizia con Alexandros Mograine di %d.,1,1000000,133473,3,0,1845
167,Nota di Ringraziamento sul Retro di un Biglietto della Lotteria,Aumenta la tua amicizia con il Gran Maestro Vole di %d.,1,1000000,134329,3,0,1844
168,Nota di Ringraziamento Inzuppata di Poltiglia,Aumenta la tua amicizia con l'architetto della Piaga Marileth di %d.,1,1000000,237246,3,0,1843
169,Cartapecora Formale con Ringraziamento Zampillante,Aumenta la tua amicizia con Sika di %d.,1,1000000,1505958,3,0,1846
170,Nota di Ringraziamento Premurosa di Pelagos,Aumenta la tua amicizia con Kleia e Pelagos di %d.,1,1000000,1505933,3,0,1847
171,Ringraziamento Asciutto e Formale,Aumenta la tua amicizia con il Polemarco Adrestes di %d.,1,1000000,1505935,3,0,1848
172,Ringraziamento Scarabocchiato sul Retro di un Progetto a Metà,Aumenta la tua amicizia con Mikanikos di %d.,1,1000000,134330,3,0,1849
173,Ghianda Luminosa di Chufa,Aumenta la tua amicizia con Chufa di %d.,1,1000000,1052644,3,0,1850
174,Ringraziamento Intagliato con un Artiglio,Aumenta la tua amicizia con il Droman Aliothe di %d.,1,1000000,442743,3,0,1851
175,Comunicato di Ringraziamento dal Capitano della Caccia,Aumenta la tua amicizia con il Capitano della Caccia Korayn di %d.,1,1000000,237247,3,0,1852
176,Nota di Ringraziamento Incantata,Aumenta la tua amicizia con Dama Baccaluna di %d.,1,1000000,237249,3,0,1853
182,Esperienza Bonus,Fornisce un significativo aumento dell'esperienza del personaggio.,1,9999999,1001982,3,0,1877
183,Encomio dei Maestri delle Suture,Aumenta la reputazione con i Maestri delle Suture di %d.,1,1000000,3622121,3,0,1878
184,Ricerca sulle Pietre del Peccato,Aumenta la reputazione con gli Affermati di %d.,1,1000000,1506458,3,0,1884
185,Emblema del Sopravvissuto della Fauce,Aumenta la reputazione con Ve'nari di %d.,1,1000000,1362656,3,0,1880
186,Encomio della Marcia della Morte,Aumenta la reputazione con la Marcia della Morte di %d.,1,1000000,4064729,3,0,1907
188,Volume del Codice degli Archivisti,Aumenta i tuoi progressi con il Codice degli Archivisti del %d.,1,1000000,442732,3,0,1997
189,Encomio degli Illuminati,Aumenta la reputazione con gli Illuminati di %d.,1,1000000,4226232,3,0,1982
190,Cassa di Forniture delle Isole dei Draghi,Contiene %d provviste preziose usate nei commerci con le fazioni delle Isole dei Draghi.,25,0,1518638,3,0,2003
191,Encomio dei Tuskarr di Iskaara,Aumenta la reputazione con i Tuskarr di Iskaara di %d.,1,1000000,4687629,3,0,2109
192,Encomio della Spedizione delle Scaglie di Drago,Aumenta la reputazione con la Spedizione delle Scaglie di Drago di %d.,1,1000000,4687628,3,0,2031
193,Encomio dell'Accordo di Valdrakken,Aumenta la reputazione con l'Accordo di Valdrakken di %d.,1,1000000,4687630,3,0,2106
194,Encomio dei Centauri Maruuk,Aumenta la reputazione con i Centauri Maruuk di %d.,1,1000000,4687627,3,0,2108
195,Arcano Maggiore dell'Adunanza di Cobalto,Aumenta la reputazione con l'Adunanza di Cobalto di %d.,26,1000000,132860,3,0,2134
196,Arcano Moderato dell'Adunanza di Cobalto,Aumenta la reputazione con l'Adunanza di Cobalto di %d.,10,25,132841,2,0,2134
197,Arcano Minore dell'Adunanza di Cobalto,Aumenta la reputazione con l'Adunanza di Cobalto di %d.,1,9,237551,1,0,2134
