ID,Field_10_0_7_47910_000_lang,Field_10_0_7_47910_001,Field_10_0_7_47910_002
1,Permette di creare armature a piastre Fuse Primordiali.,0,105
2,Aumenta l'Ispirazione e la Parsimonia quando si creano armature a piastre.,1,105
3,"Permette di creare un Martello del Maestro, che permette di riparare liberamente le proprie armature a piastre.",2,105
5,Permette di padroneggiare la creazione di rotoli di stoffa e di Stoffe per Lucidatura.,1,161
6,Permette di padroneggiare la creazione di contratti e missive.,2,176
7,Consumare pozioni fornisce piccole scariche che aumentano la velocità di movimento o forniscono cure.,1,58
8,Permette di creare un'esca per attirare creature che forniscono materiali rari quando vengono scuoiate.,0,145
9,Permette di padroneggiare la creazione di Rune Fauna e Rune Vantus.,2,148
10,Permette di personalizzare le armi e gli attrezzi che si creano con i Reagenti Facoltativi e i Reagenti di Finitura.,2,102
11,Permette di personalizzare le armature di cuoio che si creano con i Reagenti Facoltativi e i Reagenti di Finitura.,2,126
12,Permette di personalizzare le armature di maglia che si creano con i Reagenti Facoltativi e i Reagenti di Finitura.,2,124
13,Permette di personalizzare gli anelli e le collane che si creano con i Reagenti Facoltativi.,2,131
14,"Prospezione permette di scoprire il Minerale Prismatico, che contiene numerose gemme.",0,128
15,Aumenta la Parsimonia e l'efficienza delle creazioni.,2,207
16,Permette di trovare semi magici che possono essere piantati nel terreno per produrre erbe.,1,235
17,Aumenta i danni inflitti alle bestie e ai dragoidi quando ci si trova all'esterno.,0,144
18,Aumenta l'Ispirazione e la Parsimonia quando si creano armature di stoffa.,1,164
19,Aumenta l'Ispirazione e la Parsimonia quando si creano incantamenti.,2,240
20,Aumenta l'Ispirazione e la Parsimonia quando si creano armature di cuoio.,1,126
21,Aumenta l'Ispirazione e la Parsimonia quando si creano armature di maglia.,1,124
22,"Aumenta l'Ispirazione, la Parsimonia e la Velocità di Creazione quando si creano tutti i modelli di Oreficeria.",0,130
23,Aumenta l'efficacia dell'Ispirazione e della Parsimonia per tutti i modelli di Oreficeria.,1,130
24,Aumenta la Competenza in Artigianato per tutti i modelli di Oreficeria.,0,130
25,Permette di scoprire nuovi schemi per Reagenti Facoltativi per personalizzare il proprio equipaggiamento.,1,205
26,"Permette di creare un Martello del Maestro, che permette di riparare le proprie armi.",3,102
27,Apprendi le ricette delle pozioni tossiche e delle fiale tossiche attraverso gli esperimenti.,3,59
28,Permette di raccogliere Pezzi di Rottame per poi usarli per cercare un tesoro.,1,207
29,Permette di personalizzare le armature di stoffa usando i Reagenti di Finitura.,2,164
30,Permette di raccogliere carne da usare per cucinare dalle creature che si scuoiano.,2,144
31,Permette di imbrigliare la magia del decadimento nelle creazioni.,3,134
32,Permette di imbrigliare i reagenti elementali per potenziare i tagli delle gemme.,1,129
33,"Migliora la raccolta delle carte di Lunacupa, imparando a estrarne gli elementi e creandone di nuovi.",0,176
34,Aumenta la Competenza in Artigianato per tutte le ricette di Alchimia.,0,59
35,Aumenta la Competenza in Artigianato per tutti i progetti di Forgiatura.,0,169
36,Aumenta la Competenza in Artigianato per tutte le formule di Incantamento.,0,245
37,Aumenta la Competenza in Artigianato per tutti gli schemi di Ingegneria.,0,207
38,Aumenta la Competenza in Artigianato per tutte le tecniche di Runografia.,0,147
39,Aumenta la Competenza in Artigianato per tutti i modelli di Conciatura.,0,135
40,Aumenta la Competenza in Artigianato per tutti i modelli di Sartoria.,0,160
41,Aumenta la Velocità di Creazione di tutti i modelli di Sartoria.,3,160
42,Aumenta la competenza nella raccolta quando si raccolgono erbe.,0,236
43,"Aumenta la competenza quando si scuoiano cuoio, scaglie e pelli.",0,143
44,Aumenta la competenza nell'estrazione dei minerali.,0,212
45,Migliora la creazione di leghe e Reagenti Facoltativi di qualità superiore.,1,103
46,"Migliora l'arte della trasmutazione, che cambia una cosa in un'altra.",2,59
47,Migliora la creazione di reagenti di base in grandi quantità.,2,128
48,Permette di produrre bombe in grandi quantità e con meno reagenti.,1,204
49,Aumenta la Competenza in Artigianato quando si creano equipaggiamenti PvP.,2,134
50,Aumenta la Competenza in Artigianato quando si creano formule per incantamenti.,0,240
51,Migliora la creazione di statue consumabili che forniscono piccoli bonus di combattimento.,3,131
52,Aumenta la probabilità di successo della Fiala Sperimentale.,0,84
53,Aumenta le probabilità di successo della Pozione Sperimentale.,0,58
54,Aumenta la Velocità di Creazione quando si creano tutti i progetti di Forgiatura.,2,169
55,Aumenta la quantità di erbe che si trovano durante la raccolta.,2,236
56,Aumenta la quantità di minerali che si trovano durante l'Estrazione.,2,212
57,Aumenta la durata delle fiale che si usano.,1,84
58,Aumenta l'efficacia della Precisione quando si raccolgono erbe.,3,236
59,Aumenta l'efficacia dell'Ispirazione e della Parsimonia per tutte le formule.,3,245
60,Aumenta l'efficacia dell'Ispirazione e della Parsimonia per tutti i modelli.,3,135
