Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon
Felice,"|cFF00ccffMascotte di The War Within|r|n|cFF1eff00Mascotte di Plunderstorm|r|n|nSblocca la mascotte Felice. In Plunderstorm, Da'kash Mastrotetro può evocare la tua mascotte.|n|n""È proprio contento di essere qui.""",1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0
Chelio,"|cFF00ccffMascotte di The War Within|r|n|cFF1eff00Mascotte di Plunderstorm|r|n|nSblocca la mascotte Chelio. In Plunderstorm, Da'kash Mastrotetro può evocare la tua mascotte.|n|n""Ti ha seguito fino a casa!""|n|n|cFFFFFFFFMascotte bonus: Pinchy|r|n|n|CFFa335eeMascotte di Classic|r|n|nSblocca la mascotte Pinchy the Plunderer in Cataclysm Classic.|n|n""Attenzione alle chele appuntite!""",2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0
Pinzia,"|cFF00ccffMascotte di The War Within|r|n|cFF1eff00Mascotte di Plunderstorm|r|n|nSblocca la mascotte Pinzia. In Plunderstorm, Da'kash Mastrotetro può evocare la tua mascotte.|n|n""Amante dei bottini come te.""",3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0
Brillachela,"|cFF00ccffMascotte di The War Within|r
|cFF1eff00Mascotte di Plunderstorm|r

Sblocca la mascotte Brillachela. In Plunderstorm, Da'kash Mastrotetro può evocare la tua mascotte.

""Depredare tutto ciò che luccica è uno stile di vita.""",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0
Destriero Mareale Argentato,"|cFF00ccffCavalcatura di The War Within|r|n|nSblocca la cavalcatura sottomarina Destriero Mareale Argentato.|n|n""Puzza di gamberi.""",5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0
Piumarina Reale,"|cFF00ccffCavalcatura di The War Within|r|n|nSblocca la cavalcatura volante Piumarina Reale.|n|n""Con la quantità di bottino che hai, sarebbe un crimine non avere un pappagallo gigante.""",6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0
Polly Roger,"|cFF00ccffCavalcatura di The War Within|r|n|nSblocca la cavalcatura del Volo Draconico Polly Roger.|n|n""Il capitano ti ha donato il suo gigantesco pappagallo scontroso personale. Buona fortuna!""|n|n|cFFFFFFFFCavalcatura bonus: Polly Roger|r|n|n|CFFa335eeCavalcatura di Classic|r|n|nSblocca la cavalcatura voltante Polly Roger per Cataclysm Classic.",7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0
Crocolisco di Mezzanotte del Signore del Saccheggio,"|cFF00ccffCavalcatura di The War Within|r|n|nSblocca la cavalcatura Crocolisco di Mezzanotte del Signore del Saccheggio.|n|n""Un sedile di lusso in pelle nera di alta qualità.""",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0
Parlagallo,"|cFF00ccffMascotte di The War Within|r|n|n|cFF1eff00Mascotte di Plunderstorm|rSblocca la mascotte Parlagallo. In Plunderstorm, Da'kash Mastrotetro può evocare la tua mascotte.|n|n""Ironicamente, balbetta un po'.""",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0
Pugnale Letale,"|cFF00ccffAspetto di The War Within|r|n|cFF1eff00Aspetto di Plunderstorm|r|n|nSblocca l'aspetto Pugnale Letale. Recarsi da Da'kash Mastrotetro per cambiare aspetto in Plunderstorm.|n|n""Ora fai parte della Ciurma di Gambafusto, filibustiere! Prendi questo pugnale e comincia a saccheggiare!""",10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0
Sciabola d'Acciaio Nero,"|cFF00ccffAspetto di The War Within|r|n|cFF1eff00Aspetto di Plunderstorm|r|n|nSblocca l'aspetto Sciabola d'Acciaio Nero. Recarsi da Da'kash Mastrotetro per cambiare aspetto in Plunderstorm.|n|n""Forgiata per balorde baruffe da bucanieri.""",11,1,4,20,250,3139,0,14400,1,0,439391,3470,0,0,0
Mannaia di Ferro Insanguinata,"|cFF00ccffAspetto di The War Within|r|n|cFF1eff00Aspetto di Plunderstorm|r|n|nSblocca l'aspetto Mannaia di Ferro Insanguinata. Recarsi da Da'kash Mastrotetro per cambiare aspetto in Plunderstorm.|n|n""Un'ascia insanguinata per i pirati che hanno un'insaziabile sete di sangue!""",12,1,4,30,250,3139,0,14400,1,0,439392,3471,0,0,0
Spadone Calcificato,"|cFF00ccffAspetto di The War Within|r|n|cFF1eff00Aspetto di Plunderstorm|r|n|nSblocca l'aspetto Spadone Calcificato. Recarsi da Da'kash Mastrotetro per cambiare aspetto in Plunderstorm.|n|n""Una spada è come un pugnale, ma più grande.""",13,1,4,40,250,3139,0,14400,1,0,439390,3469,0,0,0
Badile del Mozzo,"|cFF00ccffAspetto di The War Within|r|n|n|cFF1eff00Aspetto di Plunderstorm|rSblocca l'aspetto Badile del Mozzo. Recarsi da Da'kash Mastrotetro per cambiare aspetto in Plunderstorm.|n|n""Tu la usi per scavare?""",14,1,4,50,1000,3139,0,14400,5,0,0,4154,0,0,0
