Name_lang,Description_lang,ID,FiledataID
Esubero,Le sovracure vengono convertite in effetti di assorbimento dei danni subiti.,1,463570
Vivacità,I nemici fanno molta meno attenzione alla minaccia generata dai difensori.,2,135994
Eruzione,"Quando sono in combattimento, i nemici fanno eruttare periodicamente delle fiammate da sotto i piedi dei personaggi lontani.",3,451169
Necrosi,"Gli attacchi in mischia di tutti i nemici infettano i personaggi con una malattia che si accumula, infliggendo danni periodici e riducendo le cure ricevute.",4,1029009
Sciame,In tutta la spedizione sono presenti dei nemici aggiuntivi che non sono boss.,5,136054
Rabbia,"Tutti i nemici che non sono boss s'infuriano quando raggiungono il 30% di salute restante, ottenendo un'immunità temporanea agli effetti di controllo delle creature.",6,132345
Rinforzo,"Quando un nemico che non è un boss muore, il suo grido potenzia gli alleati vicini, aumentandone temporaneamente la salute massima del 10%.",7,132333
Rosso Sangue,"Quando un nemico che non è un boss muore, lascia una pozza di icore che cura i propri alleati e infligge danni ai personaggi.",8,136124
Tirannia,I boss hanno il 25% di salute aggiuntiva. I boss e i loro servitori infliggono fino al 15% di danni aggiuntivi.,9,236401
Potenziamento,I nemici che non sono boss hanno il 20% di salute aggiuntiva e infliggono fino al 20% di danni aggiuntivi.,10,463829
Esplosione,"I nemici che non sono boss esplodono alla morte, infliggendo danni a tutti i personaggi in 4 s. Si accumula.",11,1035055
Atrocità,I giocatori feriti subiscono danni periodici crescenti finché non vengono curati a sufficienza.,12,132090
Detonazione,"Mentre sono in combattimento, i nemici evocano periodicamente dei Globi Esplosivi, che detonano se non vengono distrutti.",13,2175503
Sisma,"Tutti i personaggi periodicamente provocano un'onda sismica, infliggendo danni agli alleati vicini e interrompendoli.",14,136025
Infestazione,Alcuni nemici che non sono boss sono infestati dalla Prole di G'huun.,16,2032223
Mietitura,I nemici che non sono boss vengono potenziati da Bwonsamdi e periodicamente cercano vendetta dall'oltretomba.,117,2446016
Inganno,Gli Emissari di Azshara sono presenti lungo tutta la spedizione.,119,237565
Risveglio,"Degli Obelischi presenti in tutta la spedizione consentono ai personaggi di entrare a Ny'alotha e affrontare i potenti servitori di N'zoth. Se un servitore non viene affrontato, compare durante lo scontro con il boss finale.",120,442737
Orgoglio,"I giocatori traboccano d'orgoglio man mano che uccidono avversari non boss, formando una Manifestazione dell'Orgoglio. Sconfiggere questa manifestazione potenzia notevolmente i giocatori.",121,3528307
Ispirazione,Alcuni nemici che non sono boss hanno una presenza motivante che fortifica i loro alleati.,122,135946
Perfidia,I demoni emergono dai cadaveri dei nemici che non sono boss e inseguono personaggi casuali.,123,135945
Tempesta,"In combattimento, i nemici evocano periodicamente dei turbini che infliggono danni.",124,136018
Tormento,"I servitori del Carceriere si trovano in tutta la spedizione e forniscono potenti benefici quando vengono sconfitti. Se un servitore non viene eliminato, potenzia il boss finale.",128,3528304
Inferno,Vicino ad alcuni boss si trovano dei Segnalatori Infernali. Attivare un Segnalatore o ingaggiare un boss vicino attiva un'invasione della Legione.,129,1394959
Codifica,"I nemici della spedizione possiedono delle reliquie dei Primi. Distruggi le reliquie per richiamare un Automa dei Primi e ottenere potenti bonus, in base all'ordine in cui sono state distrutte.",130,4038106
