Name_lang,ID,Field_12_0_0_63724_002,RoomComponentType,TextureFileDataID,Field_11_2_7_64438_005,HouseThemeID
Lastricato in Pietra,3,1,2,7535056,2,1
Legno duro rustico,4,1,2,7535057,4,1
Trave di legno rustica,5,1,3,6125220,0,1
Intonaco rustico,22,1,1,5658169,0,1
Pietra grezza,24,1,1,6856592,0,2
Marmo inciso di Lunargenta,33,1,1,6986816,0,5
Legno grezzo,40,1,2,7535058,4,2
Mosaico di Lunargenta,49,1,2,7494198,2,5
Legno grezzo,54,1,3,6856593,0,2
Marmo rosso di Lunargenta,60,1,3,6986850,0,5
Pannello di legno di Bel'ameth,61,1,3,6992184,0,4
Legno morbido di Bel'ameth,63,1,1,7114465,0,4
Legno duro di Bel'ameth,65,1,2,7491486,4,4
Cottage,162,1,1,7535055,0,1
