AreaName_lang,ID,OrderIndex,PlayerConditionID,AreaID
Sala della Luce Perduta,1,0,68604,9994
Terrazza degli Artigiani,2,1,63282,8670
Ancora Gettata,3,0,63448,9401
Botte Ubriaca,4,0,63426,9617
Nuota e Affonda,5,0,5703,9617
Rifugio di Heyman,6,0,63291,8502
Bar delle Sabbie,7,0,63292,8733
Fossa Urlante,8,0,5703,9698
Locanda di Torga,9,0,63306,8502
Pancia della Balena,10,0,63374,8567
Nascondiglio dei Peoni,11,0,65214,5484
Grotta di Grong,12,0,65990,9420
Grotta di Grong,13,0,65990,8731
Rifugio,15,0,67602,9979
Rifugio,16,0,67602,8717
Ira di Anduin,17,0,67138,10454
Vela dell'Alba,18,0,67139,10454
Melodia di Tiffin,19,0,67140,10454
Cuor di Leone,20,0,67141,10454
Cuor di Leone,21,0,67141,10455
Melodia di Tiffin,22,0,67140,10455
Vela dell'Alba,23,0,67139,10455
Ira di Anduin,24,0,67138,10455
Luce dei Loa,25,0,68603,9994
Parlatorio del Duca Folle,27,0,73061,10985
Rifugio di Costel,28,0,73506,10985
Maniero dei Servitori,29,1,76787,10985
Seggio del Primus,30,0,78035,11466
Cittadella del Dubbio,31,0,0,13311
Zerekriss,42,0,85380,11462
Ricucitorium,43,0,86352,13473
Zolramus,44,0,86354,13473
Salone di Arkoban,45,0,87430,13400
Stanza del Tormento: Jaina,46,0,87491,13404
Stanza del Tormento: Thrall,47,0,87550,13413
Anello della Danza,48,0,88819,11510
Anello della Danza,49,0,88819,12244
Anello della Danza,50,0,88819,12243
Ossario degli Esiliati,51,0,89786,13575
Tempio della Devozione,52,0,91076,11379
Fenditura,53,0,91308,13196
Fenditura,54,0,91308,11524
Fenditura,55,0,91308,11528
Fenditura,56,0,91308,11530
Fenditura,57,0,91308,11400
Fenditura,58,0,91308,13217
Fenditura,59,0,91308,13216
Fenditura,60,0,91308,13560
Fenditura,61,0,91308,11526
Fenditura,62,0,91308,13215
Antro dell'Insolente,63,0,91308,13432
Fenditura,64,0,91308,11525
Fenditura,65,0,91308,13222
Fenditura,66,0,91308,11529
Fenditura,67,0,91308,13223
Fenditura,68,0,91308,13437
Fenditura,69,0,91308,13218
Fenditura,70,0,91308,13491
Fenditura,71,0,91308,13492
Fenditura,72,0,91308,11527
Fenditura,73,0,91308,13219
Fenditura,74,0,91308,13221
Fenditura,75,0,91308,13570
Fenditura,76,0,91308,13624
Fenditura,77,0,91308,13625
Fenditura,78,0,91308,13626
Fenditura,79,0,91308,13627
Fenditura,80,0,91308,13628
Fenditura,81,0,91308,13629
Fenditura,82,0,91308,13630
Fenditura,83,0,91308,13631
Fenditura,84,0,91308,13666
Fenditura,85,0,91308,13673
Fenditura,86,0,91308,13677
Fenditura,87,0,91308,13538
Castigo del Re Caduto,88,0,92820,13561
Osservatorio dell'Occhio,89,3,92897,13561
Bagno di Bolle,90,0,102752,14158
La Picchiata dell'Errante,91,0,105179,13646
Cripta di Zskera: Ur,92,0,105458,14619
Cripta di Zskera: Az,93,0,105457,14619
Cripte di Zskera,94,0,108147,14619
Cripta di Zskera: Kx,95,0,106952,14619
Cripta di Zskera: Ix,96,0,105459,14619
Campo di Soffusione: Gelo Intenso,97,3,109548,13892
Campo di Soffusione: Vento Cinereo,98,1,107864,13754
Campo di Soffusione: Gelo Intenso,99,1,109548,13860
Rovine di Dimoroccia,100,0,111020,14875
Gran Bastione,101,1,125385,15362
Gran Bastione,103,1,125385,15364
Terrazza della Maestà,104,1,125954,15365
Spiazzo dell'Ascesa,105,1,126053,15365
Arena di Kili-Zar,106,1,126056,15365
Imprenditori S.p.A.,107,0,127336,15351
Imprenditori S.p.A.,108,0,127336,15350
Macinasoldi,109,0,128497,15347
