String_lang,ID,Flags
"Requer a conquista ""Um Aliado Lazúli"" ou nível 35.",740,1
"Requer a conquista ""Ajudante do Penhasco"".",741,1
"Requer a conquista ""Juntos nos Céus"" ou nível 25.",742,1
"Requer a conquista ""Um Novo Amigo"" ou nível 15.",743,1
|cff808080Este talento é concedido à sua especialização de graça e não pode ser desaprendido|r,910,1
Gaste mais %d |4ponto:pontos; para desbloquear este talento,911,1
Classic,953,1
Terralém,954,1
Nortúndria,955,1
Cataclysm,956,1
Pandária,957,1
Draenor,958,1
Legion,959,1
Kul Tiraz,960,1
Shadowlands,961,1
Ilhas do Dragão,962,1
Zandalari,963,1
Explorador,970,1
Aventureiro,971,1
Veterano,972,1
Campeão,973,1
Herói,974,1
Recriar este item com uma Centelha de nível de item mais alto removerá permanentemente o engaste adicionado pelo Manipulador com Energia da Tempestade.|n|nTem certeza de que quer continuar?,975,1
Gaste mais %d |4ponto:pontos; para desbloquear este talento,976,1
|cff808080Este talento é concedido à sua especialização de graça e não pode ser desaprendido|r,977,1
Mito,978,1
Khaz Algar,989,1
Aventureiro,990,1
Recriar este item com uma Centelha de nível de item mais alto removerá permanentemente o engaste adicionado pelo Escultor Vulcânico.|n|nTem certeza de que quer continuar?,991,1
Aba 1,992,0
Aba 2,993,0
Aba 3,994,0
Aba 4,995,0
Aba 5,996,0
Recriar este item com uma Centelha de nível de item mais alto removerá permanentemente o engaste adicionado pelo Berço da Natureza.|n|nTem certeza de que quer continuar?,997,1
Desperto,998,1
%s         ,999,0
Requires Void Torrent talent,1000,1
"The General must consider you a ""Accessory.""",1001,1
"The Weaver must consider you an ""Acquaintance.""",1002,1
"The Weaver must consider you a ""Crony.""",1003,1
"The Weaver must consider you an ""Accomplice.""",1004,1
"The General must consider you a ""Collaborator.""",1005,1
"The General must consider you an ""Abettor.""",1006,1
"The General must consider you a ""Conspirator.""",1007,1
"The Weaver must consider you a ""Mastermind.""",1008,1
"The General must consider you an ""Acquaintance.""",1009,1
"The General must consider you a ""Crony.""",1010,1
"The General must consider you an ""Accomplice.""",1011,1
"The Weaver must consider you a ""Collaborator.""",1012,1
"The Weaver must consider you a ""Accessory.""",1013,1
"The Weaver must consider you an ""Abettor.""",1014,1
"The Weaver must consider you a ""Conspirator.""",1015,1
"The Vizier must consider you an ""Acquaintance.""",1016,1
"The Vizier must consider you a ""Crony.""",1017,1
"The Vizier must consider you an ""Accomplice.""",1018,1
"The Vizier must consider you a ""Collaborator.""",1019,1
"The Vizier must consider you a ""Accessory.""",1020,1
"The Vizier must consider you an ""Abettor.""",1021,1
"The Vizier must consider you a ""Conspirator.""",1022,1
"The Vizier must consider you a ""Mastermind.""",1023,1
"The General must consider you a ""Mastermind.""",1024,1
You must purchase additional Thunderclaps,1025,1
Requires Halo talent,1026,1
