Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:Lembranças Perdidas|r|nRecupere lembranças perdidas dos kobolds invasores!,3,122390,51
|cnWHITE_FONT_COLOR:Turba de Kobolds|r|nOs kobolds tomaram o Repouso de Kriegval e precisam ser expulsos!,4,122392,51
|cnWHITE_FONT_COLOR:Dia de Folga de Dagran|r|nDagran Thaurissian II está procurando ajuda para fazer treinamento de campo.,5,122393,51
|cnWHITE_FONT_COLOR:NYI|r|n,6,122394,51
|cnWHITE_FONT_COLOR:Ritual das Trevas|r|nA Ordem da Noite vai realizar um ritual para corromper a área!,7,122376,59
|cnWHITE_FONT_COLOR:Ataque de Quíron|r|nGrande Quíron vai começar um ataque ao Santuário do Ocaso e precisa da sua ajuda!,8,122377,59
|cnWHITE_FONT_COLOR:Barulho Sinalizador|r|nTermine o trabalho dos Luminares abatidos e resgate reféns da Ordem da Noite.,9,122378,59
|cnWHITE_FONT_COLOR:NYI|r|n,10,122379,59
|cnWHITE_FONT_COLOR:Vítimas de Tortura|r|nNerubianos Evoluídos estão torturando prisioneiros no Subforte.,11,122380,60
|cnWHITE_FONT_COLOR:Resgate da Fiandeira|r|nTrês agentes da Fiandeira estão encarcerados no Subforte.,12,122382,60
|cnWHITE_FONT_COLOR:Pesquisa Evoluída|r|nUm pesquisador nerubiano evoluído está realizando experimentos perversos.,13,122384,60
|cnWHITE_FONT_COLOR:Fuga da Evolução|r|nUm experimento no Subforte deu errado e ameaça escapar.,14,122385,60
|cnWHITE_FONT_COLOR:Mineradores Perdidos|r|nResgate um grupo de mineradores terranos capturados por fungorianos.,15,122386,50
|cnWHITE_FONT_COLOR:Decomposição Crescente|r|nUm mago do Kirin Tor está tentando conter a propagação da decomposição fungoriana.,16,122387,50
|cnWHITE_FONT_COLOR:Competição do Explorador|r|nIntegrantes da Liga dos Exploradores começaram uma competição amistosa no fundo da caverna.,17,122388,50
|cnWHITE_FONT_COLOR:NYI|r|n,18,122389,50
|cnWHITE_FONT_COLOR:Porcos Perdidos|r|nOs porcos do fazendeiro sumiram nas cavernas e precisam ser encontrados.,19,122332,58
|cnWHITE_FONT_COLOR:A Grande Caçada ao Tesouro|r|nO Chef Jantaire está organizando uma caça ao tesouro.,20,122333,58
|cnWHITE_FONT_COLOR:NYI|r|n,21,122334,58
|cnWHITE_FONT_COLOR:Pedaço de Cogumelo|r|nAliya Montelmo precisa de ajuda para recuperar um cogumelo de um monstro dos mais terríveis.,22,122335,58
|cnWHITE_FONT_COLOR:Engenheiros Capturados|r|nKobolds tomaram a Usina Hidráulica e sequestraram os engenheiros.,23,122395,52
|cnWHITE_FONT_COLOR:Confiança Abalada|r|nAjude uma kobold e um mensageiro mecânico a recuperar tesouros da Usina Hidráulica.,24,122396,52
|cnWHITE_FONT_COLOR:Pisada da Sensatez|r|nOs mensageiros mecânicos precisam de ajuda para testar um dispositivo e recuperar materiais roubados.,25,122397,52
|cnWHITE_FONT_COLOR:NYI|r|n,26,122399,52
|cnWHITE_FONT_COLOR:Resgate Ilusório|r|nResgate os Arathi sequestrados pelos kobyss.,27,122400,53
|cnWHITE_FONT_COLOR:NYI|r|n,28,122401,53
|cnWHITE_FONT_COLOR:Gambito de Raen|r|nRaen Cavalvorada está procurando ajuda para recuperar relíquias roubadas pelos kobyss.,29,122402,53
|cnWHITE_FONT_COLOR:Terror Vigilante|r|nOs kobyss estão tentando controlar alguma coisa nas profundezas do mundo.,30,122403,53
|cnWHITE_FONT_COLOR:Traquinagem Goblínica|r|nInvestigue a presença dos goblins no Abismo Tak-Rethan.,31,122404,54
|cnWHITE_FONT_COLOR:Cochilo Farim|r|nVários farins foram sequestrados pelos kobyss!,32,122406,54
|cnWHITE_FONT_COLOR:Fúria de Feromônios|r|nKobyss roubaram caixas de feromônios para emboscar aliados da Fiandeira.,33,122407,54
|cnWHITE_FONT_COLOR:NYI|r|n,34,122408,54
|cnWHITE_FONT_COLOR:Terrano Sequestrado|r|nNerubianos sequestraram mineradores da Aldeia Freyalenha!,35,122341,56
|cnWHITE_FONT_COLOR:Minérios Preciosos|r|nAjude a revigorar os terranos enfraquecidos para combater os nerubianos.,36,122372,56
|cnWHITE_FONT_COLOR:Campos Abrasadores|r|nAjude um Luminar perdido a neutralizar a ameaça nerubiana.,37,122373,56
|cnWHITE_FONT_COLOR:NYI|r|n,38,122374,56
|cnWHITE_FONT_COLOR:Gemas Perdidas|r|nNerubianos roubaram um baú de gemas de memória!,39,122409,63
|cnWHITE_FONT_COLOR:Skardyn Esmagador|r|nOs nerubianos estão usando skardyns para sequestrar mensageiros mecânicos!,40,122410,63
|cnWHITE_FONT_COLOR:Sequestro Kobold|r|nDois kobolds amistosos precisam de ajuda para resgatar os amigos dos nerubianos.,41,122411,63
|cnWHITE_FONT_COLOR:NYI|r|n,42,122412,63
|cnWHITE_FONT_COLOR:Antigos Rituais|r|nOs Luminares precisam de ajuda para interromper um ritual nerubiano nas profundezas de um templo proibido.,43,122413,64
"|cnWHITE_FONT_COLOR:Chamado de Renilace|r|nA Ordem da Noite invadiu a Fenda Rastejante, acreditando que ela pode ajudar a concretizar o Renilace.",44,122414,64
|cnWHITE_FONT_COLOR:NYI|r|n,45,122415,64
"|cnWHITE_FONT_COLOR:Reino das Sombras|r|nA Fenda Rastejante está estranhamente silenciosa, a não ser por um único portal flutuando lá dentro.",46,122416,64
|cnWHITE_FONT_COLOR:Reféns Turturados|r|nPrisioneiros de toda Azeroth foram levados para a Trama Espiral para serem torturados.,47,122417,57
|cnWHITE_FONT_COLOR:Com Amor da Fiandeira|r|nA Fiandeira tem um plano para atrapalhar as operações da Trama Espiral.,48,122418,57
|cnWHITE_FONT_COLOR:Distúrbios Estranhos|r|nOs nerubianos na Trama Espiral estão agindo de forma estranha.,49,122419,57
|cnWHITE_FONT_COLOR:NYI|r|n,50,122420,57
"|cnWHITE_FONT_COLOR:Poder de Zekvir|r|nZekvir, Mão da Emissária, habita este lugar. Só os mais fortes podem desafiar seu poder.",52,34450,61
