Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Caballo marrón,|cFFFFD200Vendedor: |rUnger Statforth|n|cFFFFD200Zona: |rLos Humedales|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Uno de los favoritos entre los guardias de Ventormenta gracias a su paciencia y aguante.,6,230,0,2,458,0,0,4,0,0
Lobo grisáceo,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Esta raza de lobo prefiere cazar en la niebla, dependiendo solo en su piel humeante como camuflaje para cazar a su desprevenida presa.",7,230,64,2,459,0,0,4,0,0
Semental blanco,|cFFFFD200Legado|r,El firme y poderoso corcel blanco aparece frecuentemente en los antiguos mitos de las tribus humanas.,8,230,64,2,468,0,0,4,0,0
Semental negro,|cFFFFD200Vendedor: |rKatie Stokx|n|cFFFFD200Zona: |rCiudad de Ventormenta|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Se rumoreaba que era favorecido por SI:7 para misiones nocturnas debido a su pelaje oscuro.,9,230,0,2,470,0,0,4,0,0
Pinto,|cFFFFD200Vendedor: |rKatie Stokx|n|cFFFFD200Zona: |rCiudad de Ventormenta|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Su personalidad tranquila lo hace ideal para que los niños practiquen equitación.,11,230,0,2,472,0,0,4,0,0
Lobo negro,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Puede aullar tan fuerte que se le puede oír a kilómetros.,12,230,64,2,578,0,0,4,0,0
Lobo rojo,|cFFFFD200Legado|r,Casi no queda ninguno en todo Azeroth; solo los más experimentados podrán ver uno.,13,230,64,2,579,0,0,4,0,0
Lobo gris,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Puede aullar tan fuerte que se le puede oír a kilómetros.,14,230,0,2,580,0,0,4,0,0
Lobo invernal,|cFFFFD200Legado|r,La antigua leyenda furbolg dice que los lobos que nacen con pelaje blanco están bendecidos por las dos lunas de Azeroth.,15,230,64,2,581,0,0,4,0,0
Corcel vil,|cFFFFD200Clase: |rBrujo,Corrupto por un poder demoniaco y una vez obligado a servir al Consejo de la Sombra.,17,230,0,1,5784,31504,0,4,0,0
Yegua zaina,|cFFFFD200Vendedor: |rKatie Stokx|n|cFFFFD200Zona: |rCiudad de Ventormenta|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Robusto y atento; ""el caballo que construyó Ventormenta"".",18,230,0,2,6648,0,0,4,0,0
Lobo temible,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Ubicación: |rOrgrimmar|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Una vez se pensó que estaba extinto, excepto en el lejano norte. Altamente codiciado por aquellos que se preparan para el invierno.",19,230,0,2,6653,0,0,4,0,0
Lobo marrón,|cFFFFD200Vendedor: |rOgunaro Correlobo|n|cFFFFD200Zona: |rOrgrimmar|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Puede aullar tan fuerte que se le puede oír a kilómetros.,20,230,0,2,6654,0,0,4,0,0
Carnero gris,|cFFFFD200Vendedor: |rVeron Semperámbar|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Los carneros machos generalmente chocan sus cráneos los unos con los otros por horas para impresionar a las hembras. En ese sentido, se parecen mucho a los enanos.",21,230,0,2,6777,0,0,4,0,0
Carnero negro,|cFFFFD200Legado|r,"No he visto esta raza en años, pero si son tan fuertes como un carnero, entonces son duraderos. -Veron Semperámbar",22,230,64,2,6896,0,0,4,0,0
Carnero blanco,|cFFFFD200Vendedor: |rVeron Semperámbar|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Los carneros machos generalmente chocan sus cráneos los unos con los otros por horas para impresionar a las hembras. En ese sentido, se parecen mucho a los enanos.",24,230,0,2,6898,0,0,4,0,0
Carnero marrón,|cFFFFD200Vendedor: |rVeron Semperámbar|n|cFFFFD200Zona: |rDun Morogh|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Los carneros machos generalmente chocan sus cráneos los unos con los otros por horas para impresionar a las hembras. En ese sentido, se parecen mucho a los enanos.",25,230,0,2,6899,0,0,4,0,0
Sable de hielo rayado,|cFFFFD200Vendedor: |rLelanai|n|cFFFFD200Zona: |rDarnassus|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"El feroz apetito de esta robusta montura le ganó el apodo de ""barriga de dragón"" en el idioma elfo de la noche.",26,230,0,2,8394,0,0,4,0,0
Raptor de esmeralda,|cFFFFD200Vendedor: |rZjolnir|n|cFFFFD200Zona: |rDurotar|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Producto de la cruza del más feroz ganado existente. Se garantiza que no muerde (mucho).,27,230,0,2,8395,0,0,4,0,0
Caballo esquelético,|cFFFFD200Legado|r,"Como la mayoría de las criaturas no muertas, esta no decidió su destino.",28,230,64,2,8980,0,0,4,0,0
