ID,Description_lang,OrderIndex,ProfTraitTreeID
1,Fabrica armadura de placas fundida primigenia.,0,105
2,Aumenta tu ingenio e inventiva cuando fabricas armaduras de placas.,1,105
3,Fabrica un martillo de maestro que te permite reparar libremente tus propias armaduras de placas.,2,105
5,Domina la fabricación de madejas de tela y paños para pulir.,1,161
6,Domina la fabricación de contratos y misivas.,2,176
7,El consumo de pociones otorga pequeños aumentos de velocidad de movimiento o sanación.,1,58
8,Fabrica carnadas para atraer criaturas que otorgan materiales raros cuando las desuellas.,0,145
9,Domina la fabricación de runas de fauna y runas vantus.,2,148
10,Personalizas las armas y herramientas que creas con componentes opcionales y de retoque.,2,102
11,Personalizas las armaduras de cuero que creas con componentes opcionales y de retoque.,2,126
12,Personalizas las armaduras de malla que creas con componentes opcionales y de retoque.,2,124
13,Personalizas tus anillos y collares con componentes opcionales.,2,131
14,La prospección te permite descubrir menas prismáticas que contienen cúmulos de gemas.,0,128
15,Aumenta tu inventiva y eficiencia cuando fabricas.,2,207
16,Encuentra semillas mágicas que puedes plantar en el suelo para cultivar hierbas.,1,235
17,Obtienes una bonificación de daño contra bestias y dragonantes en exteriores.,0,144
18,Aumenta tu ingenio e inventiva cuando fabricas armaduras de tela.,1,164
19,Aumenta tu ingenio e inventiva cuando fabricas encantamientos.,2,240
20,Aumenta tu ingenio e inventiva cuando fabricas armaduras de cuero.,1,126
21,Aumenta tu ingenio e inventiva cuando fabricas armaduras de malla.,1,124
22,"Aumenta tu ingenio, inventiva y velocidad de fabricación cuando fabricas cualquier diseño de joyería.",0,130
23,Aumenta la efectividad del ingenio y la inventiva para todos los diseños de joyería.,1,130
24,Aumenta tu habilidad de fabricación para todos los diseños de joyería.,0,130
25,Descubre esquemas de componentes opcionales para personalizar tu equipo.,1,205
26,Fabrica un martillo de maestro para reparar tus propias armas.,3,102
27,Aprende recetas de pociones y ampollas tóxicas a través de la experimentación.,3,59
28,Recolecta piezas de chatarra para rebuscar un tesoro.,1,207
29,Personaliza armadura de tela con componentes de retoque.,2,164
30,Recolecta carne para cocinar de las criaturas que desuellas.,2,144
31,Controla magia de descomposición mientras fabricas.,3,134
32,Controla componentes elementales para potenciar tus tallados de gemas.,1,129
33,"Mejoras en tu capacidad de coleccionar naipes de la Luna Negra, extraer sus elementos y crear nuevos.",0,176
34,Aumenta tu habilidad de fabricación para todas las recetas de alquimia.,0,59
35,Aumenta tu habilidad de fabricación para todas las recetas de herrería.,0,169
36,Aumenta tu habilidad de fabricación para todas las fórmulas de encantamiento.,0,245
37,Aumenta tu habilidad de fabricación para todos los esquemas de ingeniería.,0,207
