ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,CreateScreenFileDataID,SelectScreenFileDataID,NeutralRaceID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,MaleModelFallbackRaceID,FemaleModelFallbackRaceID,MaleTextureFallbackRaceID,FemaleTextureFallbackRaceID,PlayableRaceBit,HelmetAnimScalingRaceID,TransmogrifyDisabledSlotMask,UnalteredVisualCustomizationRaceID,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],Field_10_0_0_44649_045,BaseLanguage,CreatureType,MaleModelFallbackSex,FemaleModelFallbackSex,MaleTextureFallbackSex,FemaleTextureFallbackSex
1,Hu,Human,Humano,Humana,humano,humana,Humano,,humano,,Los nobles humanos de Ventormenta son la vanguardia de la Alianza contra los enemigos de Azeroth.,Humano,,humano,,6292620,1,81,15007,1096,0,2,0,1,623712,131948,0,651555,0,0,0,47268,47268,47268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,3
2,Or,Orc,Orco,Orco,orco,orco,Orco,,orco,,"Los poderosos orcos llegaron a Azeroth como conquistadores, pero ahora se esfuerzan por recuperar su honor y tradiciones antiguos.",Orco,,orco,,6291596,2,21,15007,1096,1,1,0,1,623714,132003,0,651558,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.077,0,0,0.07,0,0,1,7,-1,-1,-1,-1
3,Dw,Dwarf,Enano,Enana,enano,enana,Enano,,enano,,Los estoicos enanos de Forjaz son célebres exploradores que indagan en los secretos antiguos del mundo.,Enano,,enano,,6291596,3,41,15007,1090,0,8,0,3,623712,131940,0,651555,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
4,Ni,NightElf,Elfo de la noche,Elfa de la noche,elfo de la noche,elfa de la noche,Kaldorei,,kaldorei,,Los místicos elfos de la noche defienden la naturaleza de Azeroth de todos los que quieran perjudicarla.,Elfo,,elfo,,6291588,4,61,15007,1096,0,5,0,11,623712,131993,0,651555,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
5,Sc,Scourge,No-muerto,No-muerta,no-muerto,no-muerta,Renegado,,Renegado,,"Resucitados de la no-muerte, los Renegados han construido un futuro audaz a partir de las ruinas de un pasado lúgubre.",No-muerto,,no-muerto,,6291596,5,2,15007,1096,1,4,0,9,623714,132035,0,651558,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,1,7,-1,-1,-1,-1
6,Ta,Tauren,Tauren,Tauren,tauren,tauren,Shu'halo,,shu'halo,,Los imponentes tauren sirven a la amada Madre Tierra y protegen el equilibrio de la naturaleza.,Tauren,,tauren,,6291590,6,141,15007,1096,1,7,0,7,623714,132046,0,651558,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.085,0,0,0.085,0,0,1,7,-1,-1,-1,-1
7,Gn,Gnome,Gnomo,Gnoma,gnomo,gnoma,Gnomo,,gnomo,,Los diminutos e ingeniosos gnomos son reconocidos por crear un sinfín de maravillas tecnológicas.,Gnomo,,gnomo,,6291596,115,101,15007,1096,0,6,0,9,623712,430171,0,651555,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
8,Tr,Troll,Trol,Trol,trol,trol,Lanza Negra,,Lanza Negra,,"Expulsados de su hogar en la jungla por las tribus rivales, los trols Lanza Negra encontraron aliados en la poderosa Horda.",Trol,,trol,,6291598,116,121,15007,1096,1,3,0,7,623714,429097,0,651558,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.095,0,0,0.095,0,0,1,7,-1,-1,-1,-1
9,Go,Goblin,Goblin,Goblin,goblin,goblin,Pantoque,,Pantoque,,"Siempre inventivos y a menudo imprudentes, los goblins son ingenieros hábiles y comerciantes talentosos.",Goblin,,goblin,,6291716,2204,172,15007,1096,1,22,0,4,623714,319097,0,651558,0,0,0,0,0,0,0,1,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0.1,0,0,0.09,0,0,1,7,-1,-1,-1,-1
10,Be,BloodElf,Elfo de sangre,Elfa de sangre,elfo de sangre,elfa de sangre,Sin'dorei,,sin'dorei,,"Sobrevivientes de una guerra brutal, los elfos de sangre obtuvieron fuerzas de la mágica Fuente del Sol para reconstruir su reino.",Elfo,,elfo,,6291596,1610,162,15007,1096,1,11,0,8,623714,131921,0,651558,0,0,0,0,0,0,0,1,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0.087,0,0,0.087,0,0,1,7,-1,-1,-1,-1
11,Dr,Draenei,Draenei,Draenei,draenei,draenei,Draenei,,draenei,,Los draenei huyeron de la corrupción demoníaca y ahora comparten su fortaleza para defender Azeroth.,Draenei,,draenei,,6291598,1629,163,15007,1096,0,10,0,2,623712,131934,0,651555,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
12,Fo,FelOrc,Orco vil,Orco vil,orco vil,orco vil,,,,,,,,,,262149,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
13,Na,Naga_,Naga,Naga,naga,naga,,,,,,,,,,1,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
14,Br,Broken,Tábido,Tábida,tábido,tábida,,,,,,,,,,5,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
15,Sk,Skeleton,Esqueleto,Esqueleto,esqueleto,esqueleto,,,,,,,,,,1,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
16,Vr,Vrykul,Vrykul,Vrykul,vrykul,vrykul,,,,,,,,,,9,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
17,Tu,Tuskarr,Colmillarr,Colmillarr,colmillarr,colmillarr,,,,,,,,,,262145,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
