Name_lang,Field_12_0_0_63534_001[0],Field_12_0_0_63534_001[1],Field_12_0_0_63534_001[2],ID,Size,ParentComponentID,ModelFileDataID,Field_12_0_0_63534_006,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,HouseExteriorWmoDataID
[DNT] rt_hook01,0,0,0,129,1,0,0,0,1,13,1,0,0,9
Estuco,0,0,0,141,2,0,6648736,3,1,9,1,0,0,9
Cantería,0,0,0,142,2,0,6648737,2,1,9,1,0,0,9
Estuco,0,0,0,144,3,0,6648733,3,1,9,1,0,0,9
Cabaña,0,0,0,145,3,0,6648734,2,1,9,1,0,0,9
Estuco,0,0,0,147,4,0,6648730,3,1,9,1,0,0,9
Cabaña,0,0,0,148,4,0,6648731,2,1,9,1,0,0,9
Techo ornamentado,0,0,0,568,4,0,6892531,2,4,10,1,0,36,55
Techo de madera del bosque,0,0,0,569,4,0,6892530,3,4,10,1,0,36,55
Piedra,0,0,0,570,3,0,6892517,2,4,9,1,0,0,55
Ornamentado,0,0,0,571,3,0,6892516,2,4,9,1,0,0,55
Techo de madera del bosque,0,0,0,572,3,0,6892524,3,4,10,1,0,36,55
Techo ornamentado,0,0,0,573,3,0,6892525,2,4,10,1,0,36,55
Madera del bosque,0,0,0,574,3,0,6892497,3,4,9,1,0,0,55
Techo rústico,0,0,0,575,3,0,6892526,2,4,10,1,0,36,55
Techo rústico,0,0,0,576,4,0,6892532,2,4,10,1,0,36,55
Piedra,0,0,0,577,4,0,6892523,2,4,9,1,0,0,55
Madera del bosque,0,0,0,578,4,0,6892521,3,4,9,1,0,0,55
Techo rústico,0,0,0,579,2,0,6892529,2,4,10,1,0,36,55
Piedra,0,0,0,580,2,0,6892520,2,4,9,1,0,0,55
Ornamentado,0,0,0,581,2,0,6892519,2,4,9,1,0,0,55
Techo de madera del bosque,0,0,0,582,2,0,6892527,3,4,10,1,0,36,55
Madera del bosque,0,0,0,583,2,0,6892518,3,4,9,1,0,0,55
Techo ornamentado,0,0,0,584,2,0,6892528,2,4,10,1,0,36,55
Ornamentado,0,0,0,585,4,0,6892522,2,4,9,1,0,0,55
Chimenea ornamentada - Violeta,0,0,0,586,1,0,6892547,2,4,16,1,0,36,55
Chimenea antigua alta – Violeta,0,0,0,587,1,0,6892545,2,4,16,1,0,36,55
Chimenea de madera del bosque - Violeta,0,0,0,588,1,0,6892544,2,4,16,1,0,36,55
Ventana de madera del bosque,0,0,0,589,1,0,6892536,2,4,12,1,0,0,55
Entrada de madera del bosque - Violeta,5.2331,0.0432,1.6591,590,1,0,6892533,3,4,11,1,613904,36,55
Torre de madera del bosque - Violeta,0,0,0,591,1,0,6892550,2,4,15,1,0,36,55
Torre ornamentada - Violeta,0,0,0,592,1,0,6892551,2,4,15,1,0,36,55
Torre rústica - Violeta,0,0,0,593,1,0,6892553,2,4,15,1,0,36,55
Torre de piedra - Violeta,0,0,0,594,1,0,6892552,2,4,15,1,0,36,55
Torre de piedra ornamentada - Violeta,0,0,0,595,1,0,6892554,2,4,15,1,0,36,55
Entrada rústica - Violeta,2.9381,0.0423,1.6541,596,1,0,6892535,2,4,11,1,613906,36,55
Entrada ornamentada - Violeta,2.8441,0.0423,1.6625,597,1,0,6892534,2,4,11,1,613905,36,55
Chimenea rústica - Violeta,0,0,0,598,1,0,6892546,2,4,16,1,0,36,55
Chimenea antigua - Violeta,0,0,0,599,1,0,6892548,2,4,16,1,0,36,55
Ventana antigua,0,0,0,600,1,0,6892537,2,4,12,1,0,0,55
Buhardilla antigua,0,0,0,601,1,0,6892542,2,4,14,1,0,0,55
Buhardilla de madera del bosque - Violeta,0,0,0,602,1,0,6892541,2,4,14,1,0,36,55
Buhardilla ornamentada - Violeta,0,0,0,603,1,0,6892543,2,4,14,1,0,36,55
Ventana arqueada,0,0,0,604,1,0,6892538,2,4,12,1,0,0,55
Ventana con entramado,0,0,0,605,1,0,6892539,2,4,12,1,0,0,55
Ventana ornamentada,0,0,0,606,1,0,6892540,2,4,12,1,0,0,55
Pináculo escalonado - Carmesí,0,0,0,607,1,0,6892591,2,5,15,1,0,37,56
Pináculo elegante - Carmesí,0,0,0,608,1,0,6892589,2,5,15,1,0,37,56
Chimenea extravagante,0,0,0,609,1,0,6892587,2,5,16,1,0,37,56
Chimenea acampanada,0,0,0,610,1,0,6892586,2,5,16,1,0,37,56
Chimenea alada resistente,0,0,0,611,1,0,6892588,2,5,16,1,0,37,56
Chimenea majestuosa,0,0,0,612,1,0,6892584,2,5,16,1,0,37,56
Chimenea alada,0,0,0,613,1,0,6892585,2,5,16,1,0,37,56
Buhardilla abovedada - Carmesí,0,0,0,614,1,0,6892581,2,5,14,1,0,37,56
Buhardilla majestuosa - Carmesí,0,0,0,615,1,0,6892583,2,5,14,1,0,37,56
Ventana majestuosa - Carmesí,0,0,0,616,1,0,6892579,2,5,12,1,0,37,56
Ventana redondeada - Carmesí,0,0,0,617,1,0,6892580,2,5,12,1,0,37,56
Entrada simple,16.8511,0,1.427,618,1,0,6892573,3,5,11,1,613907,37,56
Entrada majestuosa - Carmesí,16.7481,0.0001,1.427,619,1,0,6892575,2,5,11,1,613909,37,56
Entrada elegante - Carmesí,16.8511,0,1.427,620,1,0,6892574,2,5,11,1,613908,37,56
Techo abovedado,0,0,0,621,2,0,6892567,3,5,10,1,0,0,56
Grabado,0,0,0,622,2,0,6892558,3,5,9,1,0,0,56
Techo facetado,0,0,0,623,4,0,6892571,2,5,10,1,0,0,56
Artesano,0,0,0,624,4,0,6892563,2,5,9,1,0,0,56
Arcos,0,0,0,625,4,0,6892562,2,5,9,1,0,0,56
Techo escalonado,0,0,0,626,4,0,6892572,2,5,10,1,0,0,56
Techo escalonado,0,0,0,627,3,0,6892566,2,5,10,1,0,0,56
Techo abovedado,0,0,0,628,3,0,6892564,3,5,10,1,0,0,56
Techo facetado,0,0,0,629,2,0,6892568,2,5,10,1,0,0,56
Artesano,0,0,0,630,3,0,6892557,2,5,9,1,0,0,56
Arcos,0,0,0,631,2,0,6892559,2,5,9,1,0,0,56
Grabado,0,0,0,632,3,0,6892555,3,5,9,1,0,0,56
Grabado,0,0,0,633,4,0,6892561,3,5,9,1,0,0,56
Techo abovedado,0,0,0,634,4,0,6892570,3,5,10,1,0,0,56
Arcos,0,0,0,635,3,0,6892556,2,5,9,1,0,0,56
Techo facetado,0,0,0,636,3,0,6892565,2,5,10,1,0,0,56
Artesano,0,0,0,637,2,0,6892560,2,5,9,1,0,0,56
Ventana de filigrana,0,0,0,638,1,0,6892576,2,5,12,1,0,0,56
Ventana con macetero,0,0,0,639,1,0,6892577,2,5,12,1,0,0,56
Ventana alada,0,0,0,640,1,0,6892578,2,5,12,1,0,0,56
Buhardilla elegante - Carmesí,0,0,0,641,1,0,6892582,2,5,14,1,0,37,56
Pináculo simple - Carmesí,0,0,0,642,1,0,6892498,2,5,15,1,0,37,56
Pináculo facetado - Carmesí,0,0,0,643,1,0,6892592,2,5,15,1,0,37,56
Pináculo sólido - Carmesí,0,0,0,644,1,0,6892590,2,5,15,1,0,37,56
Techo escalonado,0,0,0,645,2,0,6892569,2,5,10,1,0,0,56
Entrada cubierta,-3.7703,0.1048,1.383,975,1,0,7118913,2,2,11,1,602706,37,87
Entrada de puente levadizo,-4.4534,0.3277,2.4228,976,1,0,7118912,3,2,11,1,602705,37,87
Entrada de chatarra,-2.9469,0.4999,2.1383,977,1,0,7118914,2,2,11,1,602707,37,87
Ventana arqueada,0,0,0,978,1,0,7118916,2,2,12,1,0,0,87
Ventana redonda,0,0,0,979,1,0,7118917,2,2,12,1,0,0,87
Ventana cubierta,0,0,0,980,1,0,7118918,2,2,12,1,0,0,87
Ventana con persiana,0,0,0,981,1,0,7118919,2,2,12,1,0,0,87
Ventana en ángulo,0,0,0,982,1,0,7118915,3,2,12,1,0,0,87
Ventana redonda,0,0,0,984,1,0,7118922,2,2,14,1,0,0,87
Chimenea con rayos,0,0,0,986,1,0,7338373,2,2,16,1,0,0,87
Chimenea horno,0,0,0,987,1,0,7118925,2,2,16,1,0,0,87
Chimenea simple,0,0,0,988,1,0,7118924,2,2,16,1,0,0,87
Chimenea de piedra,0,0,0,989,1,0,7118923,3,2,16,1,0,0,87
Chimenea con ventilación,0,0,0,990,1,0,7338375,2,2,16,1,0,0,87
Piedra lisa,0,0,0,999,4,0,6648679,2,2,9,1,0,0,87
Madera recuperada,0,0,0,1000,4,0,6648678,3,2,9,1,0,0,87
Piedra lisa,0,0,0,1003,2,0,6648685,2,2,9,1,0,0,87
Madera recuperada,0,0,0,1004,2,0,6648684,3,2,9,1,0,0,87
Madera recuperada,0,0,0,1006,3,0,6648681,3,2,9,1,0,0,87
Piedra gastada,0,0,0,1009,4,0,7118902,2,2,9,1,0,0,87
Piedra gastada,0,0,0,1011,2,0,7118901,2,2,9,1,0,0,87
Piedra gastada,0,0,0,1012,3,0,7118900,2,2,9,1,0,0,87
Piedra lisa,0,0,0,1207,3,0,6648682,2,2,9,0,0,0,87
Ventana cuadrada,0,0,0,1379,1,0,7118946,2,1,12,0,0,0,9
Entrada simple - Azul,-3.0023,0.0171,2.0121,1380,1,0,7450804,3,1,11,0,586576,8,9
Entrada simple - Amarilla,-3.0023,0.0171,2.0121,1381,1,1380,7450818,2,1,11,0,586576,44,9
Entrada simple - Púrpura,-3.0023,0.0171,2.0121,1382,1,1380,7450815,2,1,11,0,586576,36,9
Entrada simple - Roja,-3.0023,0.0171,2.0121,1383,1,1380,7450812,2,1,11,0,586576,37,9
Entrada simple - Marrón,-3.0023,0.0171,2.0121,1384,1,1380,7450809,2,1,11,0,586576,9,9
Entrada simple - Verde,-3.0023,0.0171,2.0121,1385,1,1380,7450805,2,1,11,0,586576,21,9
Torre majestuosa - Azul,0,0,0,1386,1,0,7450803,2,1,15,0,0,8,9
Torre majestuosa - Amarilla,0,0,0,1387,1,1386,7450862,2,1,15,0,0,44,9
Torre majestuosa - Púrpura,0,0,0,1388,1,1386,7450857,2,1,15,0,0,36,9
Torre majestuosa - Roja,0,0,0,1389,1,1386,7450852,2,1,15,0,0,37,9
Torre majestuosa - Marrón,0,0,0,1390,1,1386,7450847,2,1,15,0,0,9,9
Torre majestuosa - Verde,0,0,0,1391,1,1386,7450842,2,1,15,0,0,21,9
Torre cuadrada - Azul,0,0,0,1392,1,0,7450802,2,1,15,0,0,8,9
Torre cuadrada - Amarilla,0,0,0,1393,1,1392,7450860,2,1,15,0,0,44,9
Torre cuadrada - Púrpura,0,0,0,1394,1,1392,7450855,2,1,15,0,0,36,9
Torre cuadrada - Roja,0,0,0,1395,1,1392,7450850,2,1,15,0,0,37,9
Torre cuadrada - Marrón,0,0,0,1396,1,1392,7450845,2,1,15,0,0,9,9
Torre cuadrada - Verde,0,0,0,1397,1,1392,7450840,2,1,15,0,0,21,9
Torre de vigilancia - Azul,0,0,0,1398,1,0,7450801,2,1,15,0,0,8,9
Torre de vigilancia - Amarilla,0,0,0,1399,1,1398,7450861,2,1,15,0,0,44,9
Torre de vigilancia - Púrpura,0,0,0,1400,1,1398,7450856,2,1,15,0,0,36,9
Torre de vigilancia - Roja,0,0,0,1401,1,1398,7450851,2,1,15,0,0,37,9
Torre de vigilancia - Marrón,0,0,0,1402,1,1398,7450846,2,1,15,0,0,9,9
