ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Flags,Field_9_1_0_38511_004,ItemContextOffset
1,,50,0,0,0,0
2,Celeridad garantizada,1,2915,1,0,0
4,,3,2922,0,0,0
5,Golpe crítico garantizado,6,2927,1,0,0
6,Versatilidad garantizada,7,2928,1,0,0
7,Maestría garantizada,5,2929,1,0,0
8,Establece el nivel de objeto en 117 y el nivel requerido en 55.,29,3203,0,0,0
9,Establece el nivel de objeto en 168 y el nivel requerido en 60.,46,3210,0,0,0
10,Establece el nivel de objeto en 180 y el nivel requerido en 60.,8,3210,0,0,0
11,Establece el nivel de objeto en 200.,8,3211,0,0,0
17,Mayor duración de frascos,44,2939,0,0,0
27,Mayor duración de Bien alimentado,11,3000,0,0,0
30,Inflige daño de fuego a un enemigo,17,3070,0,0,0
32,Establece el nivel de objeto en 29 y el nivel requerido en 15.,18,3204,0,0,0
34,Establece el nivel de objeto en 65 y el nivel requerido en 25.,30,3205,0,0,0
36,Establece el nivel de objeto en 94 y el nivel requerido en 35.,31,3206,0,0,0
38,Establece el nivel de objeto en 127 y el nivel requerido en 45.,32,3207,0,0,0
39,Establece el nivel de objeto en 163 y el nivel requerido en 55.,33,3208,0,0,0
58,Menos daño por caída,41,3147,0,0,0
59,Más velocidad de movimiento,42,3148,0,0,0
61,Más velocidad de nado,40,3152,0,0,0
62,Inflige daño de escarcha a un enemigo,17,3153,0,0,0
64,Conservas Bien alimentado al morir en una Arena o Campo de batalla,38,3175,0,0,0
65,Probabilidad de obtener más puntos de habilidad al crear,39,3176,0,0,0
66,Agrega una ranura,35,3177,0,0,0
67,@spelldesc332950,11,169,0,0,0
68,Completar misiones de mundo aumenta la estadística principal,37,3178,0,0,0
70,Establece el nivel de objeto en 129 y el nivel requerido en 53.,29,3203,0,0,0
71,Establece el nivel de objeto en 200 y el nivel requerido en 60.,51,3211,0,0,0
72,Establece el nivel de objeto en 165 y el nivel requerido en 57.,29,3209,0,0,0
73,Establece el nivel de objeto en 165.,29,3210,0,0,0
74,Establece el nivel de objeto en 54 y el nivel requerido en 47.,45,3208,0,0,0
75,Establece el nivel de objeto en 56 y el nivel requerido en 45.,32,3207,0,0,0
76,Establece el nivel de objeto en 43 y el nivel requerido en 35.,31,3206,0,0,0
77,Establece el nivel de objeto en 33 y el nivel requerido en 25.,30,3205,0,0,0
78,Establece el nivel de objeto en 23 y el nivel requerido en 15.,18,3204,0,0,0
79,Establece el nivel de objeto en 87 y el nivel requerido en 50.,45,3265,0,0,0
80,Aumenta en 2 rangos el nivel de objeto.,50,0,0,0,2
81,"Fija el nivel de objeto en 230, el requerido en 60 y añade Único equipado: fabricado de Shadowlands.",52,3323,0,0,0
82,Establece el nivel de objeto en 233 y el nivel requerido en 60.,53,3444,0,0,0
83,"Fija el nivel de objeto en 262, el requerido en 60 y añade Único equipado: fabricado de Shadowlands.",54,3445,0,0,0
84,Aumenta en 3 rangos el nivel de objeto.,55,0,0,0,3
85,Tus habilidades tienen probabilidad de crear un núcleo de automa cerca del objetivo que sana y daña.,56,3448,0,0,0
86,"Aumenta la evasión, y recibir daño tiene una probabilidad de sanarte.",56,3449,0,0,0
87,Tienes probabilidad de obtener más recursos cuando matas a enemigos que otorgan experiencia u honor.,56,3450,0,0,0
88,Tus habilidades pueden crear una mota cerca. Recógela para aumentar tu estadística principal 15 s.,56,3451,0,0,0
89,Aumenta la velocidad y la velocidad de montura terrestre en las Tierras de las Sombras.,56,3452,0,0,0
90,"Recibir daño acumula chispas de poder. Con 5 acumulaciones, el próximo atacante recibe daño cósmico.",56,3453,0,0,0
91,"Al matar enemigos, tu estadística secundaria más alta aumenta por 20 s. Se acumula hasta 5 veces.",56,3454,0,0,0
92,"Aumenta la duración de los efectos de frascos, elíxires y Bien alimentado un 50%.",56,3455,0,0,0
93,Establece el nivel de objeto en 400 y el nivel requerido en 70.,84,3510,0,0,0
94,,59,0,0,0,0
95,,60,0,0,0,0
96,,61,0,0,0,0
97,,62,0,0,0,0
98,,63,0,0,0,0
99,,64,0,0,0,0
100,,65,0,0,0,0
101,Set base ilevel to 51 (DNT),66,3137,0,0,0
102,Set base ilevel to 60 (DNT),67,3146,0,0,0
103,No Effect on this test finishing reagent (DNT),68,0,0,0,0
104,No Effect on this test finishing reagent (DNT),69,0,0,0,0
105,Adorna tu armadura con púas gruesas y agrega Único equipado: Ornamentado (2).,87,3600,0,0,0
106,,71,0,0,0,0
107,Establece el nivel de objeto de una receta de rango 1 en 249.,83,0,0,0,4
109,,72,0,0,0,0
110,,74,0,0,0,0
111,,75,0,0,0,0
112,,73,0,0,0,0
113,,78,0,0,0,0
114,,77,0,0,0,0
115,,76,0,0,0,0
116,,79,0,0,0,0
117,,80,0,0,0,0
118,,81,0,0,0,0
119,,89,0,0,0,0
120,,90,0,0,0,0
121,,91,0,0,0,0
122,,92,0,0,0,0
123,,93,0,0,0,0
124,,94,0,0,0,0
125,,95,0,0,0,0
126,,96,0,0,0,0
127,,97,0,0,0,0
128,,98,0,0,0,0
129,,99,0,0,0,0
130,,100,0,0,0,0
131,,101,0,0,0,0
132,,102,0,0,0,0
133,,103,0,0,0,0
134,,104,0,0,0,0
136,,106,0,0,0,0
137,,492,0,0,0,0
138,,108,0,0,0,0
139,,109,0,0,0,0
140,,110,0,0,0,0
141,,111,0,0,0,0
142,,112,0,0,0,0
144,,114,0,0,0,0
145,,115,0,0,0,0
146,,116,0,0,0,0
148,,118,0,0,0,0
149,,119,0,0,0,0
150,,120,0,0,0,0
151,,121,0,0,0,0
152,,122,0,0,0,0
153,,123,0,0,0,0
154,,124,0,0,0,0
155,Aumenta un $ev1% la bonificación de habilidad que otorga la inspiración.,125,0,1,0,0
156,Aumenta $ev1 p. la estadística $en1 y un $ev2% la estadística $en2.,126,0,1,0,0
157,"Tienes un $ev1% más de probabilidades de mejorar en tu profesión, pero la dificultad de fórmula aumenta $ev2 p.",127,0,0,0,0
158,Aumenta $ev1 p. la estadística $en1 y $ev2 p. la estadística $en2.,128,0,0,0,0
159,Aumenta $ev1 p. la estadística $en1 y $ev2 p. la estadística $en2.,129,0,0,0,0
160,Aumenta un 50% la duración de las pociones de las Islas Dragón y agrega Único-equipado: Ornamentado (2).,130,3599,0,0,0
161,Aumenta la duración de Bien alimentado de las comidas de las Islas Dragón un 100% y ahora persisten después de la muerte.,131,3598,0,0,0
163,Increases armor by x and reduces durability loss of this armor piece. (DNT),85,0,0,0,0
164,Aumenta $ev1 p. la estadística $en1.,133,0,0,0,0
165,Aumenta $ev1 p. la estadística $en1.,134,0,0,0,0
166,Golpe crítico y celeridad garantizados.,135,3725,1,0,0
168,,57,0,0,0,0
169,,57,0,0,0,0
170,,57,0,0,0,0
171,,156,0,0,0,0
172,,157,0,0,0,0
173,,158,0,0,0,0
174,,159,0,0,0,0
175,,160,0,0,0,0
176,,161,0,0,0,0
177,,162,0,0,0,0
178,,139,0,0,0,0
179,,137,0,0,0,0
180,,138,0,0,0,0
181,,140,0,0,0,0
182,,141,0,0,0,0
183,,144,0,0,0,0
184,,142,0,0,0,0
185,,143,0,0,0,0
186,,145,0,0,0,0
187,,146,0,0,0,0
188,,147,0,0,0,0
189,,154,0,0,0,0
191,,0,0,0,0,0
192,,149,0,0,0,0
193,,151,0,0,0,0
194,,155,0,0,0,0
195,,163,0,0,0,0
196,"Tienes un $ev1% más de probabilidades de mejorar en inscripción, pero la dificultad de fórmula aumenta $ev2 p.",152,0,0,0,0
197,Aumenta un $ev1% la bonificación de habilidad que otorga la inspiración y un $ev2 la estadística $en2.,153,0,0,0,0
198,,170,0,0,0,0
199,,171,0,0,0,0
200,,172,0,0,0,0
201,,173,0,0,0,0
203,,175,0,0,0,0
204,,176,0,0,0,0
205,"Tienes un $ev1% más de probabilidades de mejorar en joyería, pero la dificultad de fórmula aumenta $ev2 p.",364,0,1,0,0
206,Aumenta un $ev1% la bonificación de habilidad que otorga la inspiración y un $ev2 la estadística $en2.,365,0,0,0,0
207,"Tienes un $ev1% más de probabilidades de mejorar en sastrería, pero la dificultad de fórmula aumenta $ev2 p.",366,0,0,0,0
208,Aumenta un $ev1% la bonificación de habilidad que otorga Inspiración y un $ev2% la estadística $en2.,367,0,0,0,0
209,Aumenta un $ev1% los componentes guardados con Inventiva.,368,0,0,0,0
210,,369,0,0,0,0
211,,370,0,0,0,0
212,,371,0,0,0,0
213,"Mientras tengas más del 90% de salud, obtienes maestría. También agrega Único equipado: Ornamentado (2).",372,3843,0,0,0
214,,373,0,0,0,0
215,Tus hechizos y habilidades a veces causan una oleada temporal. También agrega Único equipado: Ornamentado (2).,374,3850,0,0,0
216,,375,0,0,0,0
217,,376,0,0,0,0
218,,377,0,0,0,0
219,,378,0,0,0,0
220,,379,0,0,0,0
221,,380,0,0,0,0
222,Versatilidad y celeridad garantizadas.,390,3742,1,0,0
223,Maestría y celeridad garantizadas.,389,3743,1,0,0
224,Versatilidad y maestría garantizadas.,388,3744,1,0,0
225,Maestría y golpe crítico garantizados.,391,3741,1,0,0
226,Versatilidad y golpe crítico garantizados.,392,3745,1,0,0
227,Los ataques físicos a veces infligen más daño físico. También agrega Único equipado: Ornamentado (2).,394,3747,0,0,0
228,Infunde al objeto con esencia de descomposición. También agrega Único equipado: Ornamentado (2).,393,3749,0,0,0
229,,395,0,0,0,0
230,Emplea este ingrediente secreto delicioso en tu receta para aumentar la cantidad de porciones servidas.,396,0,0,0,0
232,,399,0,0,0,0
233,Fija el nivel de objeto entre 395 y 408 según la calidad de fabricación.,84,3793,0,0,0
234,Fija el nivel de objeto entre 408 y 421 según la calidad de fabricación.,84,3794,0,0,0
235,"Fija el objeto como ligado al alma, el nivel entre 330 y 343 según la calidad de fabricación y el nivel requerido en 64.",88,3795,0,0,0
236,"Fija el objeto como ligado al alma, el nivel entre 343 y 356 según la calidad de fabricación y el nivel requerido en 70.",400,3796,0,0,0
237,"Fija el objeto como ligado al alma, el nivel entre 356 y 369 según la calidad de fabricación y el nivel requerido en 70.",400,3797,0,0,0
238,"Fija el objeto como ligado al alma, el nivel entre 369 y 382 según la calidad de fabricación y el nivel requerido en 70.",400,3798,0,0,0
239,Los cortes precisos garantizan porciones perfectas sin que nada se desperdicie. Otorga $ev1 p. de $en1 a esta receta.,403,0,0,0,0
240,Una ensalada saludable y abundante garantiza que habrá algunas sobras. Otorga $ev1 p. de $en1 a este plato.,404,0,0,0,0
241,,405,0,0,0,0
242,,408,0,0,0,0
243,,407,0,0,0,0
244,,409,0,0,0,0
245,,406,0,0,0,0
246,,410,0,0,0,0
247,,411,0,0,0,0
248,,412,0,0,0,0
249,,413,0,0,0,0
250,,443,3805,0,0,0
