Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005
,12,1,0,0,0
Modifica el nivel de objeto - Mucho,16,0,0,0,0
Elige una estadística secundaria,17,0,0,0,0
,31,0,0,0,0
Modifica el nivel de objeto - Poco,46,0,0,0,0
,47,0,0,0,0
,48,0,0,0,0
,49,0,0,0,0
,50,0,0,0,0
Elige una estadística secundaria,67,0,0,0,0
Elige una estadística secundaria,72,0,0,0,0
Elige una estadística secundaria,73,0,0,0,0
Elige una estadística secundaria,74,0,0,0,0
Elige una estadística secundaria,75,0,0,0,0
Modifica el nivel de objeto - Poco,77,0,0,0,0
Aumenta el rango,78,0,92156,0,0
Agrega una mejora de progenitor,79,0,95770,0,0
Test Ore (DNT),80,1,0,1,0
Draconium Ore (DNT),81,0,0,1,0
Primal Molten Alloy (DNT),82,0,0,1,0
Frostfire Alloy (DNT),83,0,0,1,0
Obsidian Seared Alloy (DNT),84,0,0,1,0
Infurious Alloy (DNT),85,0,0,1,0
Solo componentes opcionales sin variación de calidad,86,0,0,0,0
Solo componentes opcionales con variación de calidad,87,0,0,0,0
Componentes opcionales con y sin variación de calidad,88,0,0,0,0
Test finishing reagent (DNT),89,0,0,2,0
Test finishing reagent Slot (DNT),90,0,0,2,0
Catalizador alquímico,91,2,0,2,2
Introspección ilustre menor,92,2,0,2,2
Introspección ilustre,93,2,0,2,2
Catalizador alquímico,94,2,0,2,2
Hochenblume (DNT),98,0,0,1,0
Writhebark (DNT),99,0,0,1,0
Saxifrage (DNT),100,0,0,1,0
Bubble Poppy (DNT),101,0,0,1,0
Primal Convergent (DNT),102,0,0,1,0
Omnium Draconis (DNT),103,0,0,1,0
Draconic Vial (DNT),104,0,0,1,0
Elemental Potion of Power (DNT),105,0,0,1,0
Phial of Tepid Versatility (DNT),106,0,0,1,0
Phial of Elemental Chaos (DNT),107,0,0,1,0
Potion of Frozen Focus (DNT),108,0,0,1,0
Aumenta el rango,110,0,92156,0,0
Infunde con poder,111,2,0,0,1
Agrega ornamento,112,0,0,0,1
Serevite Ore (DNT),114,0,0,1,0
Potencia con matriz de entrenamiento,116,0,0,0,1
Khaz'gorite Ore (DNT),117,0,0,1,0
Agrega ornamento,123,0,0,0,1
Fluido retardante,124,2,0,2,2
Personaliza estadísticas secundarias,125,2,0,0,0
Infunde con poder,126,0,0,0,1
Queen's Ruby (DNT),128,0,0,1,0
Mystic Sapphire (DNT),129,0,0,1,0
Vibrant Emerald (DNT),130,0,0,1,0
Sundered Onyx (DNT),131,0,0,1,0
Eternity Amber (DNT),132,0,0,1,0
Alexstraszite (DNT),133,0,0,1,0
Malygite (DNT),134,0,0,1,0
Ysemerald (DNT),135,0,0,1,0
Neltharite (DNT),136,0,0,1,0
Nozdorite (DNT),137,0,0,1,0
Illimited Diamond (DNT),138,0,0,1,0
Frameless Lens (DNT),140,0,0,1,0
Glossy Stone (DNT),142,0,0,1,0
Shimmering Clasp (DNT),143,0,0,1,0
Projection Prism (DNT),145,0,0,1,0
Resilient Leather (DNT),146,0,0,1,0
Adamant Scales (DNT),147,0,0,1,0
Dense Hide (DNT),148,0,0,1,0
Lustrous Scaled Hide (DNT),149,0,0,1,0
Stonecrust Hide (DNT),150,0,0,1,0
Mireslush Hide (DNT),151,0,0,1,0
Infurious Hide (DNT),153,0,0,1,0
Earthshine Scales (DNT),155,0,0,1,0
Frostbite Scales (DNT),156,0,0,1,0
Infurious Scales (DNT),157,0,0,1,0
Silken Gemdust (DNT),158,0,0,1,0
Elemental Harmony (DNT),159,0,0,1,0
Vibrant Spellthread (DNT),169,0,0,1,0
Frozen Spellthread (DNT),170,0,0,1,0
Temporal Spellthread (DNT),171,0,0,1,0
Wildercloth Bolt (DNT),172,0,0,1,0
Azureweave Bolt (DNT),173,0,0,1,0
Chronocloth Bolt (DNT),174,0,0,1,0
Vibrant Wildercloth Bolt (DNT),175,0,0,1,0
Infurious Wildercloth Bolt (DNT),176,0,0,1,0
Spool of Wilderthread (DNT),177,0,0,1,0
Agrega ornamento,178,0,0,0,1
Agrega ornamento,179,0,0,0,1
Agrega ornamento,180,0,0,0,1
Hilo de bordado,181,2,0,2,2
