Name_lang,ID,Field_10_0_5_47118_002
,1,0
Enero: Un nuevo comienzo,6,1
Febrero: Amor y dedicación,7,2
Marzo: Te ves sensacional,8,3
Abril: Un descanso entre las flores,9,4
Mayo: Juego de niños,10,5
Junio: Jugando con fuego,11,6
Julio: ¡Celebración!,12,7
Agosto: ¡Confrontación!,13,8
Septiembre: Hora de festejar,14,9
Octubre: Espeluznante y alucinante,16,10
"Noviembre: Mientras más, mejor",18,11
Diciembre: Invernal,19,12
Enero: Un nuevo comienzo,20,13
Febrero: Amor nuevo y reavivado,21,14
Marzo: El mundo a la moda,22,15
Abril: Época de floración,23,16
Mayo: Poder primaveral,24,17
Junio: Diversión de verano,25,18
Julio: Las profundidades oscuras,26,19
Agosto: El espíritu de competición,27,20
Septiembre: Reúne a tus amigos,28,21
Octubre: Luz vs. Oscuridad,29,22
Noviembre: Icónico,30,23
Diciembre: Pruebas heladas,31,24
