ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
15,Los exploradores están buscando otra base adecuada en Zandalar.|n|nAlcanza el nivel 118 para continuar.,62175,2,0,1
16,El comandante Aterravermis planea un ataque directo sobre Zandalar.|n|nAlcanza el nivel 120 para continuar.,62523,3,0,1
17,"Completa las misiones ""La ofensiva del lobo"" y ""Envía la flota"" para viajar a Nazjatar.",72028,4,0,1
23,Los exploradores están buscando otra base adecuada en Kul Tiras.|n|nAlcanza el nivel 118 para continuar.,62186,2,0,2
24,Nathanos prepara un ataque directo contra Kul Tiras.|n|nAlcanza el nivel 120 para continuar.,62524,3,0,2
25,"Completa la serie de misiones ""Honor perdido"" para continuar la campaña de guerra.",69018,4,0,2
30,"Completa las misiones ""La orden de la jefa de guerra"" y ""Envía la flota"" para viajar a Nazjatar.",72029,5,0,2
156,"Completa ""Todavía sirve"" para continuar.",77905,0,0,114
161,,90281,0,0,126
167,,0,1,0,111
168,"Completa el capítulo ""Ojo en foco"" de la campaña Cadenas de Dominación para continuar esta campaña.",92548,2,0,113
170,Obtén el nivel 5 de reconocimiento para continuar la campaña.,88564,3,0,113
171,Obtén el nivel 8 de reconocimiento para continuar la campaña.,88568,4,0,113
172,Obtén el nivel 11 de reconocimiento para continuar la campaña.,86974,5,0,113
174,Obtén el nivel 13 de reconocimiento para continuar la campaña.,86977,6,0,113
175,Obtén el nivel 17 de reconocimiento para continuar la campaña.,86981,7,0,113
176,Obtén el nivel 22 de reconocimiento para continuar la campaña.,86990,9,0,113
177,Alcanza el nivel $pcMinLevel para continuar.,87254,3,0,114
178,Alcanza el nivel $pcMinLevel para continuar.,87384,1,0,124
186,"Completa la misión ""Un llamado en Bastión"" para continuar la campaña.",88058,0,0,119
187,"Completa la misión ""Un llamado en Maldraxxus"" para continuar la campaña.",88059,0,0,115
188,"Completa la misión ""Un llamado en Ardenweald"" para continuar la campaña.",88060,0,0,117
189,"Completa la misión ""Un llamado en Revendreth"" para continuar la campaña.",88061,0,0,113
190,"Completa el capítulo ""Ojo en foco"" de la campaña Cadenas de Dominación para continuar esta campaña.",92548,2,0,119
191,Obtén el nivel 5 de reconocimiento para continuar la campaña.,88561,3,0,119
192,Obtén el nivel 8 de reconocimiento para continuar la campaña.,88565,4,0,119
193,Obtén el nivel 11 de reconocimiento para continuar la campaña.,86212,5,0,119
194,Obtén el nivel 13 de reconocimiento para continuar la campaña.,86213,6,0,119
195,Obtén el nivel 17 de reconocimiento para continuar la campaña.,86214,7,0,119
196,Obtén el nivel 20 de reconocimiento para continuar la campaña.,86215,8,0,119
197,"Completa el capítulo ""Ojo en foco"" de la campaña Cadenas de Dominación para continuar esta campaña.",92548,2,0,117
198,Obtén el nivel 5 de reconocimiento para continuar la campaña.,88563,3,0,117
199,Obtén el nivel 8 de reconocimiento para continuar la campaña.,88567,4,0,117
200,Obtén el nivel 11 de reconocimiento para continuar la campaña.,86972,5,0,117
201,Obtén el nivel 13 de reconocimiento para continuar la campaña.,86975,6,0,117
202,Obtén el nivel 17 de reconocimiento para continuar la campaña.,86979,7,0,117
203,Obtén el nivel 20 de reconocimiento para continuar la campaña.,86982,8,0,117
204,"Completa el capítulo ""Ojo en foco"" de la campaña Cadenas de Dominación para continuar esta campaña.",92548,2,0,115
205,Obtén el nivel 5 de reconocimiento para continuar la campaña.,88562,3,0,115
