ID,Field_10_0_7_47910_000_lang,Field_10_0_7_47910_001,Field_10_0_7_47910_002
1,Обучает изготовлению изначальных раскаленных латных доспехов.,0,105
2,Вдохновение и находчивость повышаются при изготовлении латных доспехов.,1,105
3,"Обучает изготовлению молота мастера, позволяющего вам бесплатно ремонтировать свои латные доспехи.",2,105
5,Обучает более умело и эффективно изготавливать рулоны ткани и полировальное сукно.,1,161
6,Обучает более умело и эффективно изготавливать контракты и послания.,2,176
7,Зелья ненадолго повышают скорость передвижения или усиливают исцеление.,1,58
8,"Обучает изготовлению приманки для существ, с которых добываются редкие материалы.",0,145
9,Обучает более умело и эффективно изготавливать руны фауны и вантийские руны.,2,148
10,Обучает изменять свойства оружия и инструментов дополнительными и завершающими реагентами.,2,102
11,Обучает изменять свойства кожаных доспехов дополнительными и завершающими реагентами.,2,126
12,Обучает изменять свойства кольчужных доспехов дополнительными и завершающими реагентами.,2,124
13,Обучает изменять свойства колец и ожерелий дополнительными реагентами.,2,131
14,"Позволяет находить при просеивании радужную руду, содержащую много самоцветов.",0,128
15,Находчивость и эффективность повышаются при изготовлении предметов.,2,207
16,"Позволяет находить разные виды магических семян, из которых можно вырастить травы.",1,235
17,Вы наносите больше урона зверям и драконам вне помещений.,0,144
18,Вдохновение и находчивость повышаются при изготовлении тканевых доспехов.,1,164
19,Вдохновение и находчивость повышаются при зачаровании.,2,240
20,Вдохновение и находчивость повышаются при изготовлении кожаных доспехов.,1,126
21,Вдохновение и находчивость повышаются при изготовлении кольчужных доспехов.,1,124
22,"Вдохновение, находчивость и скорость изготовления повышаются для всех ювелирных эскизов.",0,130
23,Вдохновение и находчивость повышаются для всех ювелирных эскизов.,1,130
24,Мастерство повышается для всех ювелирных эскизов.,0,130
25,"Обучает находить новые схемы дополнительных реагентов, чтобы изменять свойства предметов.",1,205
26,"Обучает изготовлению молота мастера, позволяющего вам бесплатно ремонтировать свои латные доспехи.",3,102
27,Обучает открывать новые рецепты ядовитых зелий и флаконов во время экспериментов.,3,59
28,"Обучает собирать утиль, чтобы потом обшарить его и найти сокровища!",1,207
29,Обучает использовать завершающие реагенты при изготовлении тканевых доспехов.,2,164
30,Обучает собирать мясо для кулинарии с освежеванных существ.,2,144
31,Обучает пускать в ход опасную магию гнили при изготовлении предметов.,3,134
32,"Обучает обуздывать мощь реагентов стихий, чтобы улучшить огранку самоцветов.",1,129
33,"У вас лучше получается находить карты Новолуния, извлекать из них стихии и изготавливать новые карты.",0,176
34,Мастерство повышается для всех алхимических рецептов.,0,59
35,Мастерство повышается для всех кузнечных рецептов.,0,169
36,Мастерство повышается для всех формул наложения чар.,0,245
37,Мастерство повышается для всех инженерных чертежей.,0,207
38,Мастерство повышается для всех техник начертания.,0,147
39,Мастерство повышается для всех кожевенных выкроек.,0,135
40,Мастерство повышается для всех портняжных выкроек.,0,160
41,Скорость изготовления повышается для всех портняжных выкроек.,3,160
42,У вас лучше получается собирать травы.,0,236
43,"У вас лучше получается собирать кожу, чешую и шкуры.",0,143
44,У вас лучше получается собирать руду.,0,212
45,У вас лучше получается изготавливать сплавы более высокого качества и дополнительные реагенты.,1,103
46,У вас лучше получается трансмутировать.,2,59
47,У вас лучше получается изготавливать базовые реагенты в больших количествах.,2,128
48,У вас получается изготавливать бомбы в больших количествах или из меньшего количества реагентов.,1,204
49,Мастерство повышается при изготовлении PvP-снаряжения.,2,134
50,Мастерство повышается для всех формул наложения чар.,0,240
51,У вас лучше получается создавать расходуемые статуи для небольших бонусов в бою.,3,131
52,"Вы начинаете лучше разбираться в экспериментах с флаконами, что повышает шанс успеха.",0,84
53,"Вы начинаете лучше разбираться в экспериментах с флаконами, что повышает шанс успеха.",0,58
54,Скорость изготовления повышается для всех кузнечных рецептов.,2,169
55,Повышает количество собранных трав.,2,236
56,Повышает количество собранной руды.,2,212
57,Продлевает действие флаконов.,1,84
58,Усиливает бонус точности во время сбора трав.,3,236
59,Усиливает бонус вдохновения и находчивости для всех формул.,3,245
60,Усиливает бонус вдохновения и находчивости для всех выкроек.,3,135
61,Усиливает бонус вдохновения и находчивости для всех выкроек.,1,160
62,Усиливает бонус вдохновения и находчивости для всех выкроек.,1,169
63,Усиливает бонус вдохновения и находчивости для всех техник.,3,147
64,"Повышает сноровку, точность и внимательность во время сбора руды стихий.",3,213
65,"Повышает сноровку, точность и внимательность во время сбора трав стихий.",3,234
66,"Повышает сноровку, точность и внимательность во время сбора трав.",2,235
67,"Повышает сноровку, точность и внимательность во время сбора руды.",2,211
68,"Повышает сноровку, точность и внимательность во время снятия шкур.",2,143
69,"Повышает сноровку, точность и внимательность во время снятия шкур.",2,145
70,У вас лучше получается распылять предметы. Иногда распыление дает больше реагентов.,1,244
71,"Повышает внимательность, помогая собирать редкие материалы.",3,144
72,"Наполняет наживку силой стихий, позволяя собирать пробуждающиеся стихии.",1,145
73,"Обучает изобретать множество игрушек, которые развеселят и вас, и союзников.",1,206
74,Обучает огранке бесконечных алмазов с помощью сущности стихий.,2,129
75,Находчивость повышается при изготовлении расшитых сумок.,2,161
76,Обучает превращать необычные самоцветы в друзы редких самоцветов.,1,128
77,Обучает изготавливать и улучшать генератор червоточин для быстрой телепортации.,0,206
78,"Обучает изготавливать эпические наручи с гнездами для гаджетов, которыми может пользоваться любой.",0,205
79,Обучает применять завершающие реагенты для улучшения огранки самоцветов.,0,129
80,Обучает выкройкам снаряжения и дополнительным реагентам с особыми эффектами.,0,134
81,"Обучает мощным формулам для драконьих чар, чар посвящения и пробужденных чар.",1,240
82,Обучает схемам бомб с разными эффектами.,0,204
83,"Обучает схемам новых гаджетов, которые можно вставлять в снаряжение с гнездами для гаджетов.",2,206
84,Обучает формуле изготовления факела изначального пробуждения и рунического каз'горитового жезла.,1,245
85,"Обучает вырезать мощные посохи ""Светящийся столп островов"" и ""Подвижный столп островов"".",1,148
86,Обучает более эффективно собирать ткань и находить редкую ткань для расплетения.,2,160
87,Обучает изготавливать каз'горитовый набор кузнеца и инструменты более высокого качества.,0,103
88,"Обучает изготавливать несколько новых мощных колец и ожерелий, таких как Аркан стихий.",1,131
89,Обучает изготавливать мощные аксессуары – ящики с колодами карт Новолуния – и изменять их свойства.,1,176
90,"Обучает изготавливать доспехи с уникальными бонусами, такие как нарамник синих драконов.",1,162
91,"Обучает изготавливать рыболовные приманки, на которые лучше ловится определенный вид рыб.",1,144
92,Обучает изготавливать пламенные кольчужные доспехи.,0,124
93,"Обучает изготавливать доспехи из лазурного полотна или хроноткани, каждые из которых дают свой бонус комплекта.",0,162
94,Обучает изготавливать зачарованные жизнью кожаные доспехи.,0,126
95,Обучает изготавливать инструменты для горного и кузнечного дела.,1,102
96,Обучает изготавливать изначальное раскаленное оружие.,0,102
97,Обучает изготавливать великолепное перо писца.,0,148
98,"Обучает изготавливать сложную оправу для медальона, которая добавляет гнезда в ожерелья.",0,131
99,Обучает изготавливать доспехи из яркой ткани стихий.,0,164
100,"Обучает изготавливать забавные иллюзорные предметы, которые порадуют кого угодно.",2,245
101,"Обучает изготавливать более безопасные бомбы, которые может использовать любой.",3,204
102,"Обучает изготавливать дистанционный вдыхатель душ, важное устройство для сбора полезнейших реагентов.",3,207
103,"Обучает находить мистические предметы, которые можно распылить на реагенты и пробуждающиеся стихии.",0,244
104,Обучает находить пробуждающиеся стихии во время расплетения редкой ткани.,0,161
105,Обучает собирать травы верхом.,0,235
106,Обучает собирать больше пробуждающихся стихий из руды стихий.,1,213
107,Обучает собирать больше пробуждающихся стихий из трав стихий.,1,234
108,Обучает собирать руду верхом.,0,211
109,"Обучает дробить пробужденные стихии, получая временные боевые бонусы и бонусы для изготовления предметов.",3,244
110,Обучает дробить реагенты для наложения чар на несколько частей более низкого уровня.,2,244
111,"Обучает писать драконьи трактаты, которые дают знания о профессии.",3,176
112,"Доводит до совершенства изготовление каменных усилений, таких как изначальные точильные камни и грузила.",2,103
