ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
15,"Разведчики ищут другое подходящее место для аванпоста в Зандаларе.|n|nЧтобы продолжить, достигните 118-го уровня.",62175,2,0,1
16,"Главнокомандующий Змеевержец планирует нападение на Зандалар.|n|nЧтобы продолжить, достигните 120-го уровня.",62523,3,0,1
17,"Чтобы отправиться в Назжатар, выполните задания ""Волк выходит на охоту"" и ""Отправка флота"".",72028,4,0,1
23,"Разведчики ищут другое подходящее место для аванпоста в Кул-Тирасе.|n|nЧтобы продолжить, достигните 118-го уровня.",62186,2,0,2
24,"Натанос готовит нападение на Кул-Тирас.|n|nЧтобы продолжить, достигните 120-го уровня.",62524,3,0,2
25,"Чтобы продолжить военную кампанию, пройдите цепочку заданий ""Утраченная честь"".",69018,4,0,2
30,"Чтобы отправиться в Назжатар, выполните задания ""Приказ вождя"" и ""Отправка флота"". ",72029,5,0,2
156,"Выполните задание ""Мы немного запылились"", чтобы продолжить.",77905,0,0,114
161,,90281,0,0,126
167,,0,1,0,111
168,"Пройдите главу ""Фокусировка взгляда"" в кампании ""Цепи Господства"", чтобы продолжить эту кампанию.",92548,2,0,113
170,"Добейтесь 5-го уровня известности, чтобы продолжить кампанию.",88564,3,0,113
171,"Добейтесь 8-го уровня известности, чтобы продолжить кампанию.",88568,4,0,113
172,"Добейтесь 11-го уровня известности, чтобы продолжить кампанию.",86974,5,0,113
174,"Добейтесь 13-го уровня известности, чтобы продолжить кампанию.",86977,6,0,113
175,"Добейтесь 17-го уровня известности, чтобы продолжить кампанию.",86981,7,0,113
176,"Добейтесь 22-го уровня известности, чтобы продолжить кампанию.",86990,9,0,113
177,"Достигните $pcMinLevel-го уровня, чтобы продолжить.",87254,3,0,114
178,"Достигните $pcMinLevel-го уровня, чтобы продолжить.",87384,1,0,124
186,"Выполните задание ""Призыв в Бастионе"", чтобы продолжить кампанию.",88058,0,0,119
187,"Выполните задание ""Призыв в Малдраксусе"", чтобы продолжить кампанию.",88059,0,0,115
188,"Выполните задание ""Призыв в Арденвельде"", чтобы продолжить кампанию.",88060,0,0,117
189,"Выполните задание ""Призыв в Ревендрете"", чтобы продолжить кампанию.",88061,0,0,113
190,"Пройдите главу ""Фокусировка взгляда"" в кампании ""Цепи Господства"", чтобы продолжить эту кампанию.",92548,2,0,119
191,"Добейтесь 5-го уровня известности, чтобы продолжить кампанию.",88561,3,0,119
192,"Добейтесь 8-го уровня известности, чтобы продолжить кампанию.",88565,4,0,119
193,"Добейтесь 11-го уровня известности, чтобы продолжить кампанию.",86212,5,0,119
194,"Добейтесь 13-го уровня известности, чтобы продолжить кампанию.",86213,6,0,119
195,"Добейтесь 17-го уровня известности, чтобы продолжить кампанию.",86214,7,0,119
196,"Добейтесь 20-го уровня известности, чтобы продолжить кампанию.",86215,8,0,119
197,"Пройдите главу ""Фокусировка взгляда"" в кампании ""Цепи Господства"", чтобы продолжить эту кампанию.",92548,2,0,117
198,"Добейтесь 5-го уровня известности, чтобы продолжить кампанию.",88563,3,0,117
199,"Добейтесь 8-го уровня известности, чтобы продолжить кампанию.",88567,4,0,117
200,"Добейтесь 11-го уровня известности, чтобы продолжить кампанию.",86972,5,0,117
201,"Добейтесь 13-го уровня известности, чтобы продолжить кампанию.",86975,6,0,117
202,"Добейтесь 17-го уровня известности, чтобы продолжить кампанию.",86979,7,0,117
203,"Добейтесь 20-го уровня известности, чтобы продолжить кампанию.",86982,8,0,117
204,"Пройдите главу ""Фокусировка взгляда"" в кампании ""Цепи Господства"", чтобы продолжить эту кампанию.",92548,2,0,115
205,"Добейтесь 5-го уровня известности, чтобы продолжить кампанию.",88562,3,0,115
206,"Добейтесь 8-го уровня известности, чтобы продолжить кампанию.",88566,4,0,115
207,"Добейтесь 11-го уровня известности, чтобы продолжить кампанию.",86973,5,0,115
208,"Добейтесь 13-го уровня известности, чтобы продолжить кампанию.",86976,6,0,115
209,"Добейтесь 17-го уровня известности, чтобы продолжить кампанию.",86980,7,0,115
210,"Добейтесь 20-го уровня известности, чтобы продолжить кампанию.",86983,8,0,115
211,"Продолжите кампанию, приняв задание ""Тюрьма Забытых"" в Утробе.",88895,1,0,117
212,"Продолжите кампанию, приняв задание ""Тюрьма Забытых"" в Утробе.",88895,1,0,113
213,"Продолжите кампанию, приняв задание ""Тюрьма Забытых"" в Утробе.",88895,1,0,115
214,"Продолжите кампанию, приняв задание ""Тюрьма Забытых"" в Утробе.",88895,1,0,119
215,,0,0,0,111
216,,88933,0,0,124
217,,89130,1,0,114
218,,89131,2,0,114
221,"Добейтесь 20-го уровня известности, чтобы продолжить кампанию.",86984,8,0,113
240,"Спасите Лорана из Пепельного Предела, чтобы продолжить кампанию.",88026,10,0,113
246,"Пройдите кампанию вашего ковенанта, чтобы продолжить эту кампанию.",92551,0,0,138
247,"Добейтесь 44-го уровня известности, чтобы продолжить кампанию.",92797,1,0,138
248,"Добейтесь 47-го уровня известности, чтобы продолжить кампанию.",91334,2,0,138
249,"Добейтесь 50-го уровня известности, чтобы продолжить кампанию.",91335,3,0,138
250,"Продолжите кампанию, приняв и завершив задание ""Узник цитадели Рассвета"" в Ревендрете.",96305,4,0,138
251,"Добейтесь 52-го уровня известности, чтобы продолжить кампанию.",91336,5,0,138
252,"Добейтесь 56-го уровня известности, чтобы продолжить кампанию.",91337,6,0,138
253,"Добейтесь 22-го уровня известности, чтобы продолжить кампанию.",86216,9,0,119
254,"Добейтесь 22-го уровня известности, чтобы продолжить кампанию.",86989,9,0,115
255,"Добейтесь 22-го уровня известности, чтобы продолжить кампанию.",86988,9,0,117
256,"Возвращайтесь позже, чтобы узнать о новых планах Болвара.",95984,0,0,158
257,"Возвращайтесь позже, чтобы узнать о новых планах Болвара.",95985,1,0,158
258,"Возвращайтесь позже, чтобы узнать о новых планах Болвара.",95986,2,0,158
259,"Возвращайтесь позже, чтобы узнать о новых планах Болвара.",95987,3,0,158
261,"Добейтесь 58-го уровня известности, чтобы продолжить кампанию.",91338,7,0,138
266,,102816,0,0,189
269,,103531,0,0,174
271,,103529,1,0,174
272,,103530,2,0,174
273,,103799,0,0,165
277,,103948,0,0,199
279,"Достигните 11-го уровня известности среди искарских клыкарров, чтобы продолжить сюжетную кампанию.",34450,0,0,194
280,"Достигните 13-го уровня известности с Драконьей экспедицией, чтобы продолжить сюжетную кампанию.",34450,0,0,197
281,"Достигните 24-го уровня известности с Драконьей экспедицией, чтобы продолжить сюжетную кампанию.",34450,1,0,197
282,"Достигните 19-го уровня известности в союзе Вальдраккена, чтобы продолжить сюжетную кампанию.",99211,0,0,190
285,Этот контент пока недоступен в бета-тестировании.,34450,2,0,197
286,Этот контент пока недоступен в бета-тестировании.,34450,1,0,194
289,,78570,0,0,118
