ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Flags,Field_9_1_0_38511_004,ItemContextOffset
1,,50,0,0,0,0
2,Гарантированная характеристика: скорость,1,2915,1,0,0
4,,3,2922,0,0,0
5,Гарантированная характеристика: критический удар,6,2927,1,0,0
6,Гарантированная характеристика: универсальность,7,2928,1,0,0
7,Гарантированная характеристика: искусность,5,2929,1,0,0
8,Позволяет изготовить предмет 117-го уровня для персонажей не ниже 55-го уровня.,29,3203,0,0,0
9,Позволяет изготовить предмет 168-го уровня для персонажей не ниже 60-го уровня.,46,3210,0,0,0
10,Позволяет изготовить предмет 180-го уровня для персонажей не ниже 60-го уровня.,8,3210,0,0,0
11,Позволяет изготовить предмет 200-го уровня.,8,3211,0,0,0
17,Настои действуют дольше,44,2939,0,0,0
27,Эффекты сытости действуют дольше,11,3000,0,0,0
30,Наносит противнику урон от огня,17,3070,0,0,0
32,Позволяет изготовить предмет $ev1-го уровня для персонажей не ниже $ev2-го уровня.,18,3204,0,0,0
34,Позволяет изготовить предмет $ev1-го уровня для персонажей не ниже $ev2-го уровня.,30,3205,0,0,0
36,Позволяет изготовить предмет $ev1-го уровня для персонажей не ниже $ev2-го уровня.,31,3206,0,0,0
38,Позволяет изготовить предмет $ev1-го уровня для персонажей не ниже $ev2-го уровня.,32,3207,0,0,0
39,Позволяет изготовить предмет $ev1-го уровня для персонажей не ниже $ev2-го уровня.,33,3208,0,0,0
58,Урон от падения уменьшен,41,3147,0,0,0
59,Скорость передвижения немного повышена,42,3148,0,0,0
61,Скорость передвижения в воде повышена,40,3152,0,0,0
62,Наносит противнику урон от магии льда,17,3153,0,0,0
64,Эффекты сытости сохраняются после смерти на арене и на полях боя,38,3175,0,0,0
65,Вероятность получение дополнительного очка навыка при изготовлении предмета,39,3176,0,0,0
66,Добавляет гнездо,35,3177,0,0,0
67,@spelldesc332950,11,169,0,0,0
68,При выполнении локальных заданий повышается основная характеристика,37,3178,0,0,0
70,Позволяет изготовить предмет 129-го уровня для персонажей не ниже 53-го уровня.,29,3203,0,0,0
71,Позволяет изготовить предмет 200-го уровня для персонажей не ниже 60-го уровня.,51,3211,0,0,0
72,Позволяет изготовить предмет 165-го уровня для персонажей не ниже 57-го уровня.,29,3209,0,0,0
73,Позволяет изготовить предмет 165-го уровня.,29,3210,0,0,0
74,Позволяет изготовить предмет 54-го уровня для персонажей не ниже 47-го уровня.,45,3208,0,0,0
75,Позволяет изготовить предмет 56-го уровня для персонажей не ниже 45-го уровня.,32,3207,0,0,0
76,Позволяет изготовить предмет 43-го уровня для персонажей не ниже 35-го уровня.,31,3206,0,0,0
77,Позволяет изготовить предмет 33-го уровня для персонажей не ниже 25-го уровня.,30,3205,0,0,0
78,Позволяет изготовить предмет 23-го уровня для персонажей не ниже 15-го уровня.,18,3204,0,0,0
79,Позволяет изготовить предмет 87-го уровня для персонажей не ниже 50-го уровня.,45,3265,0,0,0
80,Повышает уровень предмета на 2.,50,0,0,0,2
81,"Изготовить предмет 230-го уровня для героев 60+. Можно надеть 1 предмет, созданный в Темных Землях.",52,3323,0,0,0
82,Позволяет изготовить предмет 233-го уровня для персонажей не ниже 60-го уровня.,53,3444,0,0,0
83,"Изготовить предмет 262-го уровня для героев 60+. Можно надеть 1 предмет, созданный в Темных Землях.",54,3445,0,0,0
84,Повышает уровень предмета на 3.,55,0,0,0,3
85,"Ваши способности могут создать рядом с целью сердечник автома, который взрывается, исцеляя и нанося урон.",56,3448,0,0,0
86,Повышает вероятность избежания и иногда восполняет здоровье при получении урона.,56,3449,0,0,0
87,"Вероятность получить дополнительные ресурсы с трупов врагов, убийства которых дают опыт или очки чести.",56,3450,0,0,0
88,"Ваши способности могут создать частицу, которая на 15 сек. повышает основную характеристику, если ее подобрать.",56,3451,0,0,0
89,Повышает скорость передвижения пешком и на наземном транспорте в Темных Землях.,56,3452,0,0,0
90,"Получая урон, вы накапливаете искры силы. Когда число зарядов достигает 5, следующий нападающий на вас противник получает космический урон.",56,3453,0,0,0
91,При победах наивысшая второстепенная характеристика повышается на 20 сек. Суммируется до 5 раз.,56,3454,0,0,0
92,"Продлевает действие эффектов настоев, эликсиров и ""Сытости"" на 50%.",56,3455,0,0,0
93,Позволяет изготовить предмет 400-го уровня для персонажей не ниже 70-го уровня.,84,3510,0,0,0
94,,59,0,0,0,0
95,,60,0,0,0,0
96,,61,0,0,0,0
97,,62,0,0,0,0
98,,63,0,0,0,0
99,,64,0,0,0,0
100,,65,0,0,0,0
101,Set base ilevel to 51 (DNT),66,3137,0,0,0
102,Set base ilevel to 60 (DNT),67,3146,0,0,0
