Description_lang,StandingModified_lang,StandingChangedText_lang,ID,FactionID,TextureFileID,Flags
Фермер Фун считает вас |3-4(%s). Ему нравятся болотные лилии и жареная дичь.,,,2,1283,0,0
Чи-Чи считает вас |3-4(%s). Ему нравятся синие перья и стир-фрай долины.,,,16,1277,0,0
Элла считает вас |3-4(%s). Ей нравятся нефритовые коты и клецки с раками-богомолами.,,,17,1275,0,0
Рыба Тростниковая Шкура считает вас |3-4(%s). Ей нравятся нефритовые коты и блюда из двух рыб.,,,18,1282,0,0
Джина Грязный Коготь считает вас |3-4(%s). Ей нравятся болотные лилии и суп из клубящегося тумана.,,,19,1281,0,0
Хаохань Грязный Коготь считает вас |3-4(%s). Ему нравятся осколки рубина и жаренный на углях стейк из тигриного мяса.,,,20,1279,0,0
Йогу Пьяный считает вас |3-4(%s). Ему нравятся милые яблочки и пассерованная морковь.,,,21,1273,0,0
Старик Горная Лапа считает вас |3-4(%s). Ему нравятся синие перья и тушеное черепашье мясо.,,,22,1276,0,0
Шо считает вас |3-4(%s). Шо нравятся милые яблочки и рыба по-дольски.,,,23,1278,0,0
Тина Грязный Коготь считает вас |3-4(%s). Тине нравятся осколки рубина и лосось духов огня.,,,24,1280,0,0
Номи – смышленый |3-6(%s). С каждым новым уроком он становится все более опытным кулинаром.,,,25,1357,0,0
"Нат считает вас |3-4(%s). Нат любит разные напитки. Если вы принесете ему редкой рыбы, он может поделиться с вами.",,,26,1358,0,0
"Вы |3-6(%s) на арене ""Морд'Бой"".",,,28,2372,666624,0
"Вы |3-6(%s) в потасовочной ""У Бизмо"".",,,43,2371,666623,0
Для восстания Черного Копья |3-3(%s).,,,72,1440,666624,0
Тормок – ваш |3-6(%s).,,,160,1736,666623,0
Защитница Иллона – ваш |3-6(%s).,,,162,1738,666623,0
Аеда Ясная Заря – ваш |3-6(%s).,,,163,1740,666623,0
Делвар Железный Кулак – ваш |3-6(%s).,,,164,1733,666623,0
Вивианна - ваш |3-6(%s).,,,165,1739,666623,0
Жрец Когтя Ишааль – ваш |3-6(%s).,,,166,1737,666623,0
Леорадж – ваш |3-6(%s).,,,167,1741,666623,0
%s,,,171,1374,666624,0
%s,,,172,1419,666623,0
"|cFF66BBFF%s|r

Ночнорожденные страдают от неутолимой жажды |cFF66BBFFдревней маны|r, найти которую можно по всему Сурамару.",,,181,1860,1391545,0
"Силгрин – %s.

Помраченных вечно терзает жажда |cFF66BBFFдревней маны|r. В Сурамаре много ее естественных источников, но ни один не сравнится по силе с Ночным Колодцем.",,,182,1861,1391545,0
"|cFF66BBFF%s|r

Ночнорожденные страдают от неутолимой жажды |cFF66BBFFдревней маны|r, найти которую можно по всему Сурамару.",,,183,1862,1391545,0
7.0 Champions Test - Chen Stormstout - Uses Test Faction (949),,,184,949,666623,0
"|cFF66BBFF%s|r

Ночнорожденные страдают от неутолимой жажды |cFF66BBFFдревней маны|r, найти которую можно по всему Сурамару.",,,185,1919,1391545,0
Кудесник Маргосс считает вас |3-4(%s). Он не большой любитель магических искусств. Его истинная страсть – рыбная ловля!,,,193,1975,0,0
"Олисарра и Анжелика считают вас |3-4(%s). Они помогают всем страждущим, раздавая лекарства.",,,195,1984,0,0
Arne Test - is currently your %s.,,,198,0,666623,0
Иллисия Водная считает вас |3-4(%s). Порыбачьте с ней в Азсуне.,,,199,2097,0,0
Акуле считает вас |3-4(%s). Порыбачьте с ним в Крутогорье.,,,200,2099,0,0
Бесс считает вас |3-4(%s). Порыбачьте с ним на Расколотом берегу.,,,202,2102,0,0
Хранительница Рейна считает вас |3-4(%s). Порыбачьте с ней в Валь'шаре.,,,204,2098,0,0
Ша'лет считает вас |3-4(%s). Порыбачьте с ней в Сурамаре.,,,206,2101,0,0
Корбин считает вас |3-4(%s). Порыбачьте с ним в Штормхейме.,,,208,2100,0,0
Хроми считает вас |3-4(%s).,,,209,2135,0,0
%s,,,210,1691,666624,0
%s,,,212,1690,666624,0
Терродактиль подрос. Теперь он %s.,,,213,2233,0,0
Дикорог подрос. Теперь он %s.,,,315,2370,0,0
Мастер охоты Акана – %s.,Мастер охоты Акана получает %d ед. боевого опыта.,Мастер охоты Акана получает %s.,316,2375,0,25
Оракул Ори – %s.,Оракул Ори получает %d ед. боевого опыта.,Оракул Ори получает %s.,317,2376,0,25
Мастер клинка Иновари – %s.,Мастер клинка Иновари получает %d ед. боевого опыта.,Мастер клинка Иновари получает %s.,318,2377,0,25
Нери Остроерш – %s.,Нери Остроерш получает %d ед. боевого опыта.,Нери Остроерш получает %s.,320,2389,0,25
Поэн Солежабрик – %s.,Поэн Солежабрик получает %d ед. боевого опыта.,Поэн Солежабрик получает %s,323,2388,0,25
Вим Соленодух – %s.,Вим Соленодух получает %d ед. боевого опыта.,Вим Соленодух получает %s.,324,2390,0,25
Фуражир из улья Медокрылов (%s).,,,325,2398,0,0
Трутень из улья Медокрылов (%s).,,,326,2396,0,0
Пчеломатка улья Медокрылов (%s).,,,327,2397,0,0
%s,,,339,2011,666624,0
%s,,,340,2010,666624,0
Молодой акир подрос. Теперь он %s.,,,365,2427,0,0
Взгляд Ве'нари выражает |3-6(%s).,Ве'нари улучшила свое мнение о вас. [Получена репутация: %d.],Новое отношение к вам Ве'нари: |3-6(%s).,366,2432,4216713,8
Баронесса Вайш считает вас |3-4(%s).,,,367,2446,0,0
Леди Лунная Ягода считает вас |3-4(%s).,,,368,2447,0,0
Миканикос считает вас |3-4(%s).,,,370,2448,0,0
Графиня считает вас |3-4(%s).,,,371,2449,0,0
Александрос Могрейн считает вас |3-4(%s).,,,372,2450,0,0
Капитан-егерь Корейн считает вас |3-4(%s).,,,373,2451,0,0
Полемарх Адрест считает вас |3-4(%s).,,,375,2452,0,0
Рендл и Дуборыл – ваши %s.,,,376,2453,0,0
Чуфа считает вас |3-4(%s).,,,377,2454,0,0
Хранитель склепа Каззир считает вас |3-4(%s).,,,379,2455,0,0
Дроман Алиот считает вас |3-4(%s).,,,381,2456,0,0
Великий мастер Воул считает вас |3-4(%s).,,,382,2457,0,0
Клейя и Пелагий – ваши %s.,,,383,2458,0,0
Сика считает вас |3-4(%s).,,,384,2459,0,0
Камнелоб считает вас |3-4(%s).,,,385,2460,0,0
Изобретатель чумы Марилет считает вас |3-4(%s).,,,387,2461,0,0
Отношение к вам Штопальщиков: %s.,,,389,2462,0,8
Отношение к вам Чесночника: %s.,,,390,2463,0,8
Отношение к вам Двора Ночи: %s.,,,391,2464,0,8
%s-й уровень,Понимание фракталов улучшено на %d ед.,,392,2469,3762255,24
Исследования: %s,,,393,2472,4191562,16
Гневион считает вас |3-4(%s).,,,396,2517,0,0
Сабеллиан считает вас |3-4(%s).,,,397,2518,0,0
Консорциум ремесленников Драконьих островов относится к вам с |3-4(%s).,,,398,2544,0,0
Уровень магии кобальтовой ассамблеи: %,Магия Кобальтовой ассамблеи усиливается.,,400,2550,0,4
