ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,Новинки перед выходом Shadowlands!,Новый процесс развития персонажа,Пройдите сюжетную кампанию и достигните максимального 50-го уровня!,Персонализация персонажа,Посетите парикмахерскую и попробуйте новые образы.,Приход Смерти,Изучите обновленные классовые способности и подготовьтесь к приходу тьмы.,60113,60115,0,5364,0,0,87298,119
20,Новинки в дополнении Shadowlands!,Ковенанты,Присоединитесь одному из четырех ковенантов и обретите новые способности.,Персонализация персонажа,Посетите парикмахерскую и попробуйте новые образы.,Темные Земли,Исследуйте царства загробного мира и раскройте тайны смерти.,60545,61874,0,5365,0,0,87299,120
40,"Новинки в ""Цепях Господства""!",Призыв в Кортию,Изгоните силы Тюремщика из недавно обнаруженного Города Тайн.,Обновление Торгаста,Поднимитесь на новые высоты с новой системой прогресса.,Битва за Арденвельд,Защитите вечный лес от вторжения Королевы-банши!,63576,63576,0,5403,0,0,92337,154
41,,Тазавеш,Предотвратите задуманное брокерами преступление на Тайном рынке!,2-й сезон начался,"Обновлены награды, которые можно получить в подземельях и PvP, и добавлено новое свойство подземелий в режиме ""Эпохальный+"": ""Истязание"".",Святилище Господства,Час пробил: сразитесь с Сильваной Ветрокрылой в твердыне Тюремщика!,0,0,1,5404,0,0,92337,123
42,Новое в обновлении 9.1.5!,Путешествия во времени: Legion,"Испытайте силы в подземельях Legion в режиме ""Эпохальный+"" и в башне магов.",Развитие персонажей вышло на новый уровень!,"Улучшенное развитие персонажей, получение репутации и снаряжения для дополнительных героев!",Изменения ковенантов,Свободно меняйте ковенанты по достижении максимального уровня славы.,0,0,0,5416,0,0,92337,176
43,"Новинки в ""Конце Вечности""!",Шифры Предвечных,Изучите язык автомов и получите могучие награды.,Испытание Тюремщика,"Преодолейте восемь этажей, сражаясь с опасными существами из разных секций Торгаста.",Зерет Мортис,Дайте бой силам Тюремщика в таинственном царстве Предвечных.,64942,64942,0,5442,0,0,92337,204
44,Новое в 3-м сезоне!,3-й сезон,"Обновлены награды, которые можно получить в подземельях и PvP, и добавлено новое свойство подземелий в режиме ""Эпохальный+"": ""Зашифрованный"".",Классовые комплекты,"Новые трансмогрификации и бонусы, которые помогут вам в борьбе за Темные Земли.",Гробница Предвечных,Исследуйте запретную святыню и не дайте Тюремщику поработить вселенную.,0,0,0,5443,0,0,92337,149
45,Новое в обновлении 9.2.5!,Задания в Лордероне,Смогут ли Отрекшиеся вернуть себе руины Лордерона и обрести новое будущее?,Горнило Тайн,"Сражайтесь на новой арене для PvP-боев, располагающейся среди древних чудес Зерет Мортиса.",Межфракционные группы,"Впервые в истории WoW игроки из обеих фракций могут вместе сражаться в подземельях, рейдах и PvP!",0,0,0,5430,0,0,92337,247
46,Новое в 4-м сезоне!,4-й сезон Shadowlands,Зарабатывайте новые награды в подземельях с эпохальными ключами и PvP-битвах.,"Новые подземелья в режиме ""Эпохальный+""",Проходите классические подземелья из прошлых дополнений с эпохальными свойствами!,Судьбоносные рейды,Новые испытания и новые награды в рейдах Shadowlands.,0,0,0,5431,0,0,92337,248
47,Новинки перед выходом Dragonflight!,Обновление интерфейса,Интерфейс теперь смотрится современнее. Настройте его под себя в режиме редактирования!,Dragonflight выйдет совсем скоро!,29 ноября,Новая система талантов,Попробуйте новые деревья класса и специализаций и создайте свой собственный вариант талантов!,0,0,0,5482,0,0,87298,250
48,Новинки перед выходом Dragonflight!,Неудержимая буря,"Одолейте могущественных элементалей, которые вторглись в Азерот.",Ульдаман,Бросьте вызов чудовищам Ульдамана ради будущего драконов.,Драктиры-пробудители,"В Азероте пробудилась новая раса-класс. Повелевайте магией драконов, чтобы наносить урон или исцелять союзников.",0,0,0,5483,0,0,104814,262
49,Новинки Dragonflight!,Обновление профессий,"Заказы для ремесленников, снаряжение, специализации и многое другое!",Полеты на драконе,Взлетите в небеса Драконьих островов на транспорте с совершенно новой системой управления!,Драконьи острова,Совершите путешествие на древнюю родину драконов и помогите им вернуться к своим корням.,67700,65444,0,5484,0,0,104813,254
50,Новое в 1-м сезоне!,1-й сезон PvP,"Зарабатывайте награды в новой рейтинговой ""Соло-суматохе"".","1-й сезон режима ""Эпохальный+""","Новый список подземелий и свойство ""Рокочущий"" уже в игре.",Хранилище Воплощений,Не дайте воинам стихий освободить заточенных сородичей Рашагет.,0,0,0,5492,0,0,104738,260
55,Новинки в обновлении 10.0.5!,Неистовство бури,"Сражайтесь с воинами стихий в их будущем, чтобы получить потрясающие награды.",Изменения трансмогрификации,Внешний вид обычных предметов и предметов низкого качества теперь можно использовать для трансмогрификации!,Торговая лавка открылась!,В Штормграде и Оргриммаре открылись новые лавки декоративных предметов.,0,0,0,5529,0,0,104814,343
56,Новинки в обновлении 10.0.7!,Традиционные доспехи людей и орков,"Собирайте уникальные комплекты доспехов, погрузившись в культуру и историю этих рас.","Изменения в программе ""Пригласи друга""",Приводите друзей и получайте удивительные новые награды!,Возвращение в Запретный край,"Раскройте секреты драктиров, таящиеся в краю, откуда им пришлось бежать.",74381,74381,0,5514,0,0,104814,362
