TaskName_lang,Description_lang,ID,CriteriaTreeID,QuestID,ProgressContributionAmount,RepetitionContributionDampeningCurve,Supersedes,Field_12_0_0_63534_008
Tiger Test Task,Выпейте 3 чашки чая с перламутровым молоком,1,209990,92334,100,87592,0,1
Tiger Test Task 2,Съешьте 3 сочных котлеты из медвежатины,2,214862,92334,300,0,0,0
[DNT] Kill Bloodscale Naga,[DNT] Kill 20 Bloodscale Naga,3,210311,91023,50,87592,0,1
Убейте Сломленных из Остротопи,Убейте 20 Сломленных из Остротопи,4,0,90996,10,87592,0,1
[DNT] Collect 30 Mature Spore Sacs,[DNT] Collect 30 Mature Spore Sacs in Zangarmarsh,5,210334,91024,10,87592,0,1
[DNT] Collect 18 Bog Lord Tendrils,[DNT] Collect 18 Bog Lord Tendrils in Zangarmarsh,6,210336,91023,50,87592,0,1
[DNT] Collect 20 Glowcaps,[DNT] Collect 20 Glowcaps in Zangarmarsh,7,210338,91024,10,87592,0,1
[DNT] Collect 15 Fertile Spores,[DNT] Collect 15 Fertile Spores in Zangarmarsh,8,210340,91023,50,87592,0,1
[DNT] Collect 10 Sanguine Hisbiscus,[DNT] Collect 10 Sanguine Hisbiscus from the Underbog,9,210344,91023,50,87592,0,1
[DNT] Complete 5 Dungeons in Zangarmarsh,[DNT] Complete 5 Dungeons in Zangarmarsh,10,210346,91022,25,87592,0,1
[DNT] Complete 5 Daily Quests in Sporeggar,[DNT] Complete 5 Daily Quests in Sporeggar,11,210360,91023,50,87592,0,1
[DNT] Complete Serpentshrine Cavern,[DNT] Complete Serpentshrine Cavern,12,210366,91022,25,87592,0,1
[DNT] Collect 20 Lumber in Zangarmarsh,[DNT] Collect 20 Lumber in Zangarmarsh,13,210389,91024,10,87592,0,1
[DNT] Catch 20 Fish in Zangarmarsh,[DNT] Catch 20 Fish in Zangarmarsh,14,210391,91024,10,87592,0,1
[DNT] Harvest 20 Ore in Zangarmarsh,[DNT] Harvest 20 Ore in Zangarmarsh,15,210396,91024,10,87592,0,1
[DNT] Harvest 20 Herbs in Zangarmarsh,[DNT] Harvest 20 Herbs in Zangarmarsh,16,210400,91024,10,87592,0,1
[DNT] Harvest 20 Leather or Scales in Zangarmarsh,[DNT] Harvest 20 Leather or Scales in Zangarmarsh,17,210405,91024,10,87592,0,1
[DNT] Pat 10 Visiting Sporeggarians on the Head,[DNT] Pat 10 Visiting Sporeggarians on the Head in your Neighborhood,18,210410,91024,10,87592,0,0
[DNT] Collect 20 Glowcaps in the Neighborhood,[DNT] Collect 20 Glowcaps in the Neighborhood,19,210412,91024,10,87592,0,1
[DNT] Spread Glow Cap Spores in Fertile Soil,[DNT] Spread Glow Cap Spores in Fertile Soil in the Neighborhood,20,210420,91024,10,87592,0,0
[DNT] Catch 30 Fish in the Neighborhood,[DNT] Catch 30 Fish in the Neighborhood,21,210416,91024,10,87592,0,1
[DNT] Collect 20 Clams on the Neighborhood Beach,[DNT] Collect 20 Clams on the Neighborhood Beach,22,210418,91024,10,87592,0,1
Добудьте странные куски воска,Добудьте 20 странных кусков воска в Гулких глубинах и вокруг них.,23,210635,92099,75,87592,0,0
"Победите пробужденного фалангита в ""Пробуждении Машины""","Победите пробужденного фалангита в ""Пробуждении Машины"".",24,210663,91023,50,0,0,0
[DNT] Complete Level 10 of Awakening the Machine,[DNT] Complete Level 10 of Awakening the Machine,25,210664,91023,50,0,24,0
[DNT] Complete Level 15 of Awakening the Machine,[DNT] Complete Level 15 of Awakening the Machine,26,210665,91023,50,0,25,0
[DNT] Complete Level 20 of Awakening the Machine,[DNT] Complete Level 20 of Awakening the Machine,27,210666,91023,50,0,26,0
[DNT] Defeat Waxtail Kobolds,[DNT] Defeat 20 Waxtail Kobolds,28,210667,91023,50,87592,0,1
[DNT] Defeat Sparklit Kobolds,[DNT] Defeat 20 Sparklit Kobolds,29,210899,91023,50,87592,0,1
[DNT] Defeat Glumtooth Kobolds,[DNT] Defeat 20 Glumtooth Kobolds,30,210905,91023,50,87592,0,1
[DNT] Defeat Flickerflame Kobolds,[DNT] Defeat 20 Flickerflame Kobolds,31,210916,91023,50,87592,0,1
[DNT] Defeat Brightrock Kobolds,[DNT] Defeat 20 Brightrock Kobolds,32,210927,91023,50,87592,0,1
[DNT] Defeat Kobolds in The Ringing Deeps,[DNT] Defeat 100 Kobolds in The Ringing Deeps,33,210933,91023,50,87592,0,1
Победите подземных ползунов в Гулких глубинах,Победите 20 подземных ползунов в Гулких глубинах,34,210978,91024,10,87592,0,0
Победите глубинных живодеров,Победите 20 глубинных живодеров в Гулких глубинах,35,210980,91024,10,87592,0,0
Победите обволакивающих кровожоров,Победите 20 обволакивающих кровожоров,36,210988,91024,10,87592,0,0
Пройдите подземелье в Гулких глубинах,"Пройдите подземелье в Гулких глубинах: расселину Темного Пламени, ""Операцию: Шлюз"" или Каменный Свод.",37,210990,91022,25,87592,0,0
Соберите 20 образцов руды в Гулких глубинах,Соберите 20 образцов руды в Гулких глубинах,38,211019,91022,25,87592,0,0
Соберите 20 пучков трав в Гулких глубинах,Соберите 20 пучков трав в Гулких глубинах,39,211029,91022,25,87592,0,0
Соберите 20 кож или шкур в Гулких глубинах,Соберите 20 кож или шкур в Гулких глубинах,40,211045,91022,25,87592,0,0
Убейте хозенов,Убейте хозенов на вершине Кунь-Лай,41,216310,91022,25,87592,0,0
Выполните задания: вершина Кунь-Лай,Выполните задания на вершине Кунь-Лай,42,216312,91023,50,87592,0,0
Дом: добудьте удачки,Добудьте удачки на вершине Кунь-Лай или в ее окрестностях.,43,216314,91022,25,87592,0,0
Поймайте 20 рыб в Гулких глубинах,Поймайте 20 рыб в Гулких глубинах,47,211126,91022,25,87592,0,0
Соберите 20 образцов древесины в Гулких глубинах,Соберите 20 образцов древесины в Гулких глубинах,48,211139,91022,25,87592,0,0
Пройдите вылазку в Гулких глубинах,Пройдите вылазку в Гулких глубинах.,49,211141,91023,50,87592,0,0
Выполните 5 локальных заданий в Гулких глубинах,Выполните 5 локальных заданий в Гулких глубинах,50,211148,92099,75,87592,0,0
Зажгите 5 светильников в районе,Зажгите 5 светильников в районе,51,211150,91024,10,87592,0,0
[DNT] Collect 10 Globs of Dropped Wax,[DNT] Collect 10 Globs of Dropped Wax in the Neighborhood,52,211152,91024,10,87592,0,0
[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,53,211154,91024,10,87592,0,1
[DNT] Defeat 20 Gyreworms in Deepholm,[DNT] Defeat 20 Gyreworms in Deepholm,54,211156,91023,50,87592,0,1
[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,55,211161,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Ogres in Deepholm,[DNT] Defeat 20 Twilight Ogres in Deepholm,56,211169,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Cultists in Deepholm,[DNT] Defeat 20 Twilight Cultists in Deepholm,57,211174,91023,50,87592,0,1
[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,58,211187,91023,50,87592,0,1
[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,59,211202,91023,50,87592,0,1
[DNT] Defeat 20 Stone Drakes in Deepholm,[DNT] Defeat 20 Stone Drakes in Deepholm,60,211205,91023,50,87592,0,1
[DNT] Collect 20 Albino Cavefish in Deepholm,[DNT] Collect 20 Albino Cavefish in Deepholm,61,211209,91023,50,87592,0,1
[DNT] Collect 20 Lumber in Deepholm,[DNT] Collect 20 Lumber in Deepholm,62,211211,91024,10,87592,0,1
Пройдите эпохальные подземелья с ключом,,63,212060,91023,50,87592,0,1
