Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
Все специализации,1,0,13,5,0
Специализация,2,1,19,6,0
Все зоны,3,2,13,2,0
Зона отдыха,4,3,1,3,0
Мир,5,6,1,4,0
Вылазки,6,7,1,4,1
Дом,7,4,1,3,1
Выбор персонажа,8,5,1,3,2
Подземелья,9,8,1,4,2
Рейды,10,9,1,4,3
Арены,11,10,1,4,4
Поля боя,12,11,1,4,5
Любое передвижение,13,12,13,7,0
Пешком,14,13,1,8,0
Плавание,15,14,1,8,1
Наземный транспорт,16,15,1,8,2
Летающий транспорт,17,16,1,8,3
Все комплекты снаряжения,18,17,13,9,0
Комплект снаряжения,19,18,17,10,0
Все расовые облики,20,19,13,11,0
Основной облик,21,20,17,12,0
Дополнительный облик,22,21,17,12,1
