ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,QuestID,PlayerConditionID
18,,"Поговорите с дозорной Вечерний Цветок, чтобы завербовать этого искателя приключений.",Доступен новый искатель приключений,3,4,0,0,0,0,0,0,0,0,0,1283,0,64508,0
19,Улучшение для медиума: Ния,Доступ к третьему ряду талантов Нии.,Открыт ряд талантов Нии,3,3,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
22,Улучшение для медиума: Ния,Доступ к четвертому ряду талантов Нии.,Открыт ряд талантов Нии,3,7,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
23,,"Поговорите с дозорной Вечерний Цветок, чтобы завербовать этого искателя приключений.",Доступен новый искатель приключений,3,12,0,0,0,0,0,0,0,0,0,1285,0,64508,0
25,Улучшение для медиума: Творец Снов,Доступ к четвертому ряду талантов Творца Снов.,Открыт ряд талантов Творца Снов,3,9,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
28,Улучшение для медиума: Творец Снов,Доступ к четвертому ряду талантов Творца Снов.,Открыт ряд талантов Творца Снов,3,13,3684882,2,1,0,0,0,0,0,0,0,0,0,0
29,,Это возвращенное воспоминание можно будет купить у торговца товарами за известность.,Доступно новое возвращенное воспоминание,3,14,0,0,0,183249,0,0,0,0,0,0,0,64508,0
31,Улучшение для медиума: Ния,Доступ к пятому ряду талантов Нии.,Открыт ряд талантов Нии,3,10,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
32,,"Поговорите с дозорной Вечерний Цветок, чтобы завербовать этого искателя приключений.",Доступен новый искатель приключений,3,17,0,0,1,0,0,0,0,0,0,1284,0,0,0
33,Награды за локальные задания,Вы получаете предметы более высокого уровня за выполнение локальных заданий.,Максимальный уровень наград за локальные задания повышен.,3,10,236668,0,1,0,0,0,0,0,0,0,0,63220,88686
35,,,Доступна новая иллюзия для трансмогрификации,3,6,0,0,0,0,0,0,113562,0,0,0,0,64508,0
36,,"Иллюзию ""Дикая душа"" можно будет купить у торговца товарами за известность.","Доступна иллюзия ""Дикая душа""",3,36,0,0,0,0,0,0,0,0,0,0,71,64508,0
37,,Арденвельдский камень возвращения можно будет купить у торговца товарами за известность.,Доступен арденвельдский камень возвращения,3,11,0,0,1,180290,0,0,0,0,0,0,0,0,0
39,"Кампания ночного народца: ""Друсты и пепел""","Вы можете начать следующую главу кампании ночного народца. Завершив ее, вы сможете установить связь душ с капитаном-егерем Корейн.",Доступно новое задание кампании,3,22,1500884,1,0,0,0,0,0,0,0,0,0,64508,0
40,,Вы сможете приобрести Трути у торговца товарами за известность.,Доступен питомец,3,27,0,0,1,182663,0,0,0,0,0,0,0,0,0
41,Улучшение для медиума: Ния,Доступ к шестому ряду талантов Нии.,Открыт ряд талантов Нии,3,18,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
42,,"Поговорите с дозорной Вечерний Цветок, чтобы завербовать этого искателя приключений.",Доступен новый искатель приключений,3,27,0,0,0,0,0,0,0,0,0,1286,0,64508,0
43,,Эти иллюзии для трансмогрификации можно будет купить у торговца товарами за известность:|n- Наручи|n- Перчатки|n- Пояс,Доступны новые иллюзии для трансмогрификации,3,16,0,0,1,0,0,0,0,2086,0,0,0,64508,0
44,,Эти иллюзии для трансмогрификации можно будет купить у торговца товарами за известность:|n- Плащ|n- Поножи|n- Ботинки,Доступны новые иллюзии для трансмогрификации,3,26,0,0,0,0,0,0,0,2087,0,0,0,64508,0
45,,Эти иллюзии для трансмогрификации можно будет купить у торговца товарами за известность:|n- Шлем|n- Наплеч|n- Нагрудник,Доступны новые иллюзии для трансмогрификации,3,32,0,0,1,0,0,0,0,2089,0,0,0,64508,0
48,Улучшение для медиума: Творец Снов,Доступ к шестому ряду талантов Творца Снов.,Открыт ряд талантов Творца Снов,3,21,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
50,Награды за локальные задания,Вы получаете предметы более высокого уровня за выполнение локальных заданий.,Максимальный уровень наград за локальные задания повышен.,3,19,236668,0,1,0,0,0,0,0,0,0,0,63221,88687
51,Улучшение для медиума: Ния,Доступ к седьмому ряду талантов Нии.,Открыт ряд талантов Нии,3,25,3684884,2,0,0,0,0,0,0,0,0,0,64508,0
52,Улучшение для медиума: Творец Снов,Доступ к седьмому ряду талантов Творца Снов.,Открыт ряд талантов Творца Снов,3,29,3684882,2,0,0,0,0,0,0,0,0,0,64508,0
53,,"Поговорите с дозорной Вечерний Цветок, чтобы завербовать ее.",Доступен новый искатель приключений,3,33,0,0,0,0,0,0,0,0,0,1287,0,64508,0
55,Улучшение для медиума: Корейн,Доступ к седьмому ряду талантов Корейн.,Открыт ряд талантов Корейн,3,28,3684885,2,0,0,0,0,0,0,0,0,0,64508,0
59,,"Поговорите с дозорной Вечерний Цветок, чтобы завербовать этого искателя приключений.",Доступен новый искатель приключений,3,38,0,0,0,0,0,0,0,0,0,1288,0,64508,0
62,,,Открыт транспорт,3,39,0,0,0,0,0,1357,0,0,0,0,0,62415,0
63,,,Открыт титул,3,40,3641394,1,0,0,0,0,0,0,681,0,0,64508,0
