ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,Тело,11987,11986,4,20,3,0,0
2,Лицо,11991,11990,1,100,2,0,0
3,Аксессуары,11985,11984,3,100,2,0,0
4,Волосы,11989,11988,2,100,2,0,0
5,Раскраска,11987,11986,5,65,3,0,0
6,Облик медведя,15730,15730,6,0,1,5,1
7,Облик кошки,15731,15731,7,0,1,1,0
9,Водный облик,15729,15729,10,0,1,4,1
10,Походный облик,15734,15734,11,0,1,3,1
11,Облик птицы,15732,15732,9,0,1,27,0
12,Облик лунного совуха,15733,15733,8,0,1,31,0
13,Лицо (нежить),11991,11990,1,80,3,0,0
14,Лицо (пандарен),11991,11990,1,80,3,0,0
15,Лицо (магхар),11991,11990,1,85,3,0,0
16,Лицо (дворф),11991,11990,1,88,2,0,0
17,Аксессуары (дворф),11985,11984,3,88,2,0,0
18,Лицо (таурен),11991,11990,1,100,3,0,0
19,Аксессуары (таурен),11985,11984,3,100,3,0,0
20,Face (Worgen),11991,11990,1,100,3,0,0
21,Бес,24571,24571,40,0,1,0,1
22,Тело (драктир),11987,11986,1,20,2,0,0
23,Зеркало,18308,18307,2,100,2,0,0
24,Броня 1 (драктир),11993,11992,5,20,2,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,2,0,0
27,Тело (полеты на драконах),20126,20127,1,20,3,0,0
28,Тело 2 (полеты на драконах),20128,20129,2,20,3,0,0
29,Голова (полеты на драконах),20130,20131,3,100,2,0,0
30,Голова 2 (полеты на драконах),18308,18307,4,100,2,0,0
31,Аксессуары (драктир),20130,20131,2,100,2,0,0
32,Лицо (драктир),11991,11990,3,100,2,0,0
33,Зеркало (драктир),18308,18307,4,100,2,0,0
34,Аксессуары (магхар),11985,11984,2,85,3,0,0
37,Охотник Скверны,24570,24570,43,0,1,0,1
39,Демон Бездны,24575,24575,41,0,1,0,1
42,Страж Скверны,24569,24569,44,0,1,0,1.4
43,Страж ужаса,24684,24684,46,0,1,0,-1.2
44,Сайаад,24574,24574,42,0,1,0,1
45,Инфернал,24685,24685,45,0,1,0,1.5
46,Тело (лунный совух),11987,11986,1,40,3,0,0
