Name_lang,ID,Field_12_0_0_63724_002,RoomComponentType,TextureFileDataID,Field_11_2_7_64438_005,HouseThemeID
Брусчатка,3,1,2,7535056,2,1
Традиционная твердая древесина,4,1,2,7535057,4,1
Традиционная деревянная балка,5,1,3,6125220,0,1
Традиционный орнамент,22,1,1,5658169,0,1
Грубый камень,24,1,1,6856592,0,2
Луносветский резной мрамор,33,1,1,6986816,0,5
Грубое дерево,40,1,2,7535058,4,2
Луносветская мозаика,49,1,2,7494198,2,5
Грубое дерево,54,1,3,6856593,0,2
Луносветский кровавый мрамор,60,1,3,6986850,0,5
Бел'аметская деревянная панель,61,1,3,6992184,0,4
Бел'аметская мягкая древесина,63,1,1,7114465,0,4
Бел'аметская твердая древесина,65,1,2,7491486,4,4
Домик,162,1,1,7535055,0,1
