Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
"|cnWHITE_FONT_COLOR:Пропавшие памятные вещи|r|nВерните памятные вещи, украденные кобольдами!",3,122390,51
|cnWHITE_FONT_COLOR:Нашествие кобольдов|r|nКобольды захватили Покой Кригвала – выдворите их оттуда!,4,122392,51
"|cnWHITE_FONT_COLOR:Похождения Даграна|r|nДагран Тауриссан Второй ищет героев, которые помогут ему набраться опыта.",5,122393,51
"|cnWHITE_FONT_COLOR:Странные свечи|r|nПик-пик прослышал, что после Мрачных Минеров остались какие-то странные свечи. Он отправился их искать, но по пути столкнулся с Бездной!",6,122394,51
"|cnWHITE_FONT_COLOR:Темный ритуал|r|nОрден Ночи проводит нечестивый ритуал, чтобы осквернить все вокруг!",7,122376,59
"|cnWHITE_FONT_COLOR:Натиск Кайрона|r|nВеликий Кайрон собирается атаковать Святыню Сумерек, и ему нужна ваша помощь!",8,122377,59
"|cnWHITE_FONT_COLOR:Шум сигнала|r|nЗавершите то, что начали павшие фонарщики: спасите заложников, захваченных орденом Ночи!",9,122378,59
|cnWHITE_FONT_COLOR:NYI|r|n,10,122379,59
|cnWHITE_FONT_COLOR:Жертвы пыток|r|nЭволюционировавшие нерубы пытают узников в глубинах Подоплота.,11,122380,60
|cnWHITE_FONT_COLOR:Спасение Прядильщицы|r|nТрех агентов Прядильщицы взяли в плен и держат в Подоплоте.,12,122382,60
|cnWHITE_FONT_COLOR:Исследование эволюции|r|nЭволюционировавший неруб-исследователь проводит чудовищные эксперименты.,13,122384,60
"|cnWHITE_FONT_COLOR:Ошеломительная эволюция|r|nЧудовище, порожденное в ходе эксперимента в Подоплоте, может вырваться на свободу.",14,122385,60
"|cnWHITE_FONT_COLOR:Потерянные шахтеры|r|nСпасите земельников-шахтеров, которых взяли в плен грибостражи.",15,122386,50
|cnWHITE_FONT_COLOR:Ползучая гниль|r|nМаг Кирин-Тора пытается остановить распространение гнили грибостражей.,16,122387,50
|cnWHITE_FONT_COLOR:Соревнование исследователей|r|nУчастники Лиги Исследователей устроили дружеское состязание в глубинах пещеры.,17,122388,50
|cnWHITE_FONT_COLOR:Телепортационная тряска|r|nПомогите говорливому инженеру восстановить телепортационную сеть.,18,122389,50
|cnWHITE_FONT_COLOR:Пропавшие свиньи|r|nСвиньи фермера пропали в пещерах. Нужно их найти.,19,122332,58
|cnWHITE_FONT_COLOR:Большой поиск предметов|r|nШеф-повар Динэр устроил состязание по поиску предметов.,20,122333,58
|cnWHITE_FONT_COLOR:NYI|r|n,21,122334,58
"|cnWHITE_FONT_COLOR:Грибное лакомство|r|nАлия Хиллхельм просит добыть гриб, который охраняет особо мерзкое чудовище.",22,122335,58
"|cnWHITE_FONT_COLOR:Пленные инженеры|r|nКобольды захватили водокачку и похитили инженеров, которые на ней работали.",23,122395,52
|cnWHITE_FONT_COLOR:Проблемы с доверием|r|nПомогите кобольду и глашатаю механизмов найти сокровище на водокачке.,24,122396,52
"|cnWHITE_FONT_COLOR:Суровые доводы|r|nГлашатаи механизмов просят испытать приспособление, с помощью которого можно искать украденные материалы.",25,122397,52
|cnWHITE_FONT_COLOR:NYI|r|n,26,122399,52
"|cnWHITE_FONT_COLOR:Иллюзорное спасение|r|nСпасите араторцев, похищенных кобиссами.",27,122400,53
|cnWHITE_FONT_COLOR:NYI|r|n,28,122401,53
"|cnWHITE_FONT_COLOR:Гамбит Раен|r|nРаен Рыцарь Рассвета просить помочь ей вернуть реликвии, украденные кобиссами.",29,122402,53
"|cnWHITE_FONT_COLOR:Крадущийся ужас|r|nКобиссы пытаются взять под контроль чудовище, порожденное в глубинах мира.",30,122403,53
"|cnWHITE_FONT_COLOR:Гоблинские шалости|r|nУзнайте, что гоблины замышляют в глубинах Так-Ретана.",31,122404,54
|cnWHITE_FONT_COLOR:Незадачливые ниффы|r|nКобиссы похитили нескольких ниффов!,32,122406,54
|cnWHITE_FONT_COLOR:Феромонная лихорадка|r|nКобиссы украли ящики с феромонами и собираются устроить засаду на союзников Прядильщицы.,33,122407,54
|cnWHITE_FONT_COLOR:NYI|r|n,34,122408,54
|cnWHITE_FONT_COLOR:Похищенные земельники|r|nНерубы похитили шахтеров из деревни Фрейвольд!,35,122341,56
|cnWHITE_FONT_COLOR:Драгоценная руда|r|nПомогите ослабленным земельникам восстановить силы и дать отпор нерубам.,36,122372,56
|cnWHITE_FONT_COLOR:Пылающие земли|r|nПомогите потерявшемуся фонарщику одолеть нерубов.,37,122373,56
"|cnWHITE_FONT_COLOR:Поиски сокровищ|r|nСтремясь отыскать спрятанные сокровища, этот дворф Черного Железа не остановится ни перед чем.",38,122374,56
|cnWHITE_FONT_COLOR:Потерянные самоцветы|r|nНерубы украли груз самоцветов воспоминаний!,39,122409,63
"|cnWHITE_FONT_COLOR:Сокрушение скардинов|r|nНерубы похищают глашатаев машин, используя для этого скардинов!",40,122410,63
|cnWHITE_FONT_COLOR:Похищение кобольдов|r|nДвум дружелюбным кобольдам нужна помощь – нерубы похитили их друзей.,41,122411,63
|cnWHITE_FONT_COLOR:NYI|r|n,42,122412,63
"|cnWHITE_FONT_COLOR:Древние ритуалы|r|nФонарщики хотят остановить ритуал, который нерубы проводят в глубинах запретного храма.",43,122413,64
"|cnWHITE_FONT_COLOR:Зов Ренилаша|r|nСилы ордена Ночи вторглись в Снующий пролом, чтобы приблизить Ренилаш.",44,122414,64
|cnWHITE_FONT_COLOR:NYI|r|n,45,122415,64
|cnWHITE_FONT_COLOR:Мир теней|r|nВ Снующем проломе воцарилось подозрительное затишье. И там появился один странный портал...,46,122416,64
|cnWHITE_FONT_COLOR:Измученные заложники|r|nВ Сплетенной Спирали собрали пленников со всего Азерота и собираются их пытать.,47,122417,57
|cnWHITE_FONT_COLOR:От Прядильщицы с любовью|r|nПрядильщица хочет расстроить планы врагов в Сплетенной Спирали.,48,122418,57
|cnWHITE_FONT_COLOR:Странные потрясения|r|nНерубы в Сплетенной Спирали ведут себя крайне необычно.,49,122419,57
|cnWHITE_FONT_COLOR:NYI|r|n,50,122420,57
"|cnWHITE_FONT_COLOR:Мощь Зеквира|r|nЗеквир, Десница Предвестницы, устроил здесь свое мерзкое логово, и лишь сильнейшие смогут бросить ему вызов.",52,34450,61
"|cnWHITE_FONT_COLOR:Пропавшие копатели|r|nГоблины, ведущие раскопки в этой области, перестали выходить на связь.",53,129109,65
|cnWHITE_FONT_COLOR:Кровавая прибыль|r|nОдин гоблин ищет способ заработать на источнике черной крови в этих краях.,54,129110,65
|cnWHITE_FONT_COLOR:Разрушительные разломы|r|nПо всему месту раскопок 9 образовались странные расщелины.,55,129111,65
"|cnWHITE_FONT_COLOR:Все, что блестит|r|nМрачные Минеры отобрали у простых горожан золото и теперь используют его, чтобы призвать элементаля.",60,130367,66
|cnWHITE_FONT_COLOR:Мистер ВЫЛАЗЧИК|r|nГруппа гоблинских механиков пропала без вести в переулочном шлюзе.,61,130368,66
"|cnWHITE_FONT_COLOR:Темпераментные телепорты|r|nЭкспериментальные телепорты могут значительно повысить эффективность Мрачных Минеров, работающих в этом месте.",62,130369,66
"|cnWHITE_FONT_COLOR:Прототип лабиринта|r|nИсследуйте сеть подземных туннелей, кишащих нерубами, грибостражами и Свет знает кем еще.",63,34450,67
"|cnWHITE_FONT_COLOR:Знаменательное зрелище|r|nНи для кого не секрет, что Бур-босс избавляется от конкурентов, подкупая организаторов сражений в Куполе Крушителей.",64,34450,68
