ID,CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,GossipMenuID,UiTextureKitID
1,"Чертоги Скольда – один из многих тюремных блоков Торгаста. Это владения тюремщика Скольда, который терзает узников и карает нарушителей с помощью ловушек, цепей и диких тварей.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26048,5352
2,,,26191,5336
3,,,26192,5336
4,"В Костоломни попадают пленники из всех царств Темных Земель. Здесь их подвергают пыткам, снова и снова дробя кости и выворачивая суставы. Освободите эти страдающие души, и они постараются отомстить своим тюремщикам.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26375,5354
5,"Междумирье Бессердечных – гнездовье Верных Утробе кирий, раскинувшееся между высокими шпилями Торгаста. Падшие кирии атакуют нарушителей сверху и сбрасывают их во тьму.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26377,5355
6,"Подобно изменчивой и деформированной почве Утробы, запертые в Морт'регаре души утратили свой изначальный облик. Некроманты Тюремщика ставят над ними опыты, превращая в ужасающие порождения мрака.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26378,5353
7,Верхний ярус – владения самых преданных слуг Тюремщика. Эти просторные залы защищают элитные отряды Верных Утробе и их союзники-вентиры.,Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26379,5357
8,"Оправдывая свое название, извилистые коридоры тянутся через все бесконечные блоки Торгаста, и их охраняет множество слуг Тюремщика. Нарушители редко возвращаются с этого опасного подъема, уходящего на 18 этажей вверх.",Награда получена,26380,5358
9,"В Кузнях душ обреченные души плавятся и превращаются в оружие и доспехи для войск Тюремщика. Берегитесь буйного пламени, которое полыхает в этих залах.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26376,5356
10,"Чертоги Скольда – один из многих тюремных блоков Торгаста. Это владения тюремщика Скольда, который терзает узников и карает нарушителей с помощью ловушек, цепей и диких тварей.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26655,5352
11,"В Костоломни попадают пленники из всех царств Темных Земель. Здесь их подвергают пыткам, снова и снова дробя кости и выворачивая суставы. Освободите эти страдающие души, и они постараются отомстить своим тюремщикам.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26656,5354
12,"В Кузнях душ обреченные души плавятся и превращаются в оружие и доспехи для войск Тюремщика. Берегитесь буйного пламени, которое полыхает в этих залах.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26657,5356
13,"Междумирье Бессердечных – гнездовье Верных Утробе кирий, раскинувшееся между высокими шпилями Торгаста. Падшие кирии атакуют нарушителей сверху и сбрасывают их во тьму.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26658,5355
14,"Подобно изменчивой и деформированной почве Утробы, запертые в Морт'регаре души утратили свой изначальный облик. Некроманты Тюремщика ставят над ними опыты, превращая в ужасающие порождения мрака.",Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26659,5353
15,Верхний ярус – владения самых преданных слуг Тюремщика. Эти просторные залы защищают элитные отряды Верных Утробе и их союзники-вентиры.,Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26660,5357
16,"Оправдывая свое название, Извилистые коридоры тянутся через все бесконечные блоки Торгаста, и их охраняет множество слуг Тюремщика. Нарушители редко возвращаются с этого опасного подъема, уходящего на 18 этажей вверх.|n|nЗдесь не действует шкатулка многих тайн.",Награда получена,26661,5358
17,,,25967,5283
18,,,26513,5283
19,,,26517,5287
20,,,26516,5285
21,,,26514,5302
22,,,26131,5283
23,,,26132,5302
24,,,26133,5287
25,,,26041,5285
26,,,26324,5283
27,,,26323,5283
28,,,26327,5283
29,,,26322,5283
30,,,26326,5283
31,,,26328,5287
32,,,26342,5287
33,,,26344,5287
34,,,26341,5287
35,,,26343,5287
36,,,26346,5302
37,,,26347,5302
38,,,26348,5302
39,,,26345,5302
40,,,26349,5302
41,,,26356,5285
42,,,26355,5285
43,,,26358,5285
44,,,26354,5285
45,,,26357,5285
46,В недавно обнаруженных Адамантовых хранилищах Тюремщик держит своих самых ненавистных пленников.,Награда получена – за повторное прохождение этого уровня вы получите небольшое количество пепла душ.,26812,5354
47,Сражайтесь с боссами и их прислужниками из разных секций Торгаста. Испытания становятся сложнее с каждым этажом – преодолейте все восемь!|n|nРекомендуется прохождение в группе.|n|nШкатулка многих тайн не действует.,Награда получена,27436,5358
48,Сражайтесь с боссами и их прислужниками из разных секций Торгаста. Испытания становятся сложнее с каждым этажом – преодолейте все восемь!|n|nРекомендуется прохождение в группе.|n|nШкатулка многих тайн не действует.,Награда получена,27491,5358
