ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Выполните 30 заданий,"Пройдите задания, за выполнение которых можно получить опыт.",3,135693,200,0,0
Победите 50 боссов в подземельях,"Пройдите боссов, которые дают вам опыт, в подземельях.",4,135695,200,0,0
Зимний Покров: получите аккуратно сшитую праздничную шапку,С {EventStartDate} по {EventEndDate} получите аккуратно сшитую праздничную шапку.,5,135697,50,0,-100
Пройдите 5 эпохальных подземелий с ключом,,6,135699,200,0,7
Выполните 15 локальных заданий,,7,136176,150,0,0
Победите 10 рейдовых боссов Dragonflight,,8,136202,200,0,0
Убейте любого рейдового босса Dragonflight в эпохальном режиме,,9,136211,200,0,0
Заработайте 7500 очков чести,,10,136220,200,0,0
Одержите победу на 5 полях боя,,11,136222,200,0,0
Одержите победу в 10 матчах на арене (кроме стычек),,12,136224,200,0,0
Выполните заказы на предметы,"Поговорите с управляющим заказами, чтобы приступить к выполнению заказов.",13,136242,200,0,0
Одержите победу в 15 битвах питомцев,,14,136244,200,0,0
Победите 25 боссов в подземельях в группе для обеих фракций,"Победите боссов подземелий, которые дают опыт, в составе межфракционной группы.",16,136248,150,0,0
Выполняйте задания в Нордсколе,,17,136250,100,0,0
Пройдите 5 подземелий в режиме путешествия во времени Wrath of the Lich King,,18,136265,250,0,0
Победите Короля-лича,Убейте Короля-лича в цитадели Ледяной Короны.,19,136286,50,0,0
Завершайте сражения в Альтеракской долине,,20,136288,100,0,0
Неделя боевых питомцев: победите опытных укротителей питомцев Нордскола с маленьким помощником,С {EventStartDate} по {EventEndDate} возьмите в команду как минимум одного маленького помощника и победите всех опытных укротителей питомцев Нордскола.,21,136291,75,0,-110
Путешествия во времени: займитесь рыбалкой в Нордсколе,С {EventStartDate} по {EventEndDate} выудите предметы в Нордсколе.,22,136300,100,0,0
"Используйте эмоцию /дрожь, выбрав Рагнароса","Используйте эмоцию /холодно, выбрав Рагнароса в Огненных Недрах.",23,136323,25,0,0
"Зимний Покров: станцуйте вокруг дерева, одевшись подобающим образом","С {EventStartDate} по {EventEndDate} потанцуйте с другим игроком рядом с праздничным деревом, облачившись в зимний наряд.",24,136325,50,0,-100
Убейте 100 ледяных элементалей,,25,136327,100,0,0
"Ярмарка Новолуния: выполните задание ""Цель: черепаха""","С 04.05 по 10.05 выполните задание ""Цель: черепаха"" на острове Новолуния.",26,136357,75,0,0
Зимний Покров: убейте 3 праздничных боссов,С {EventStartDate} по {EventEndDate} убейте троих из перечисленных боссов.,27,136359,50,0,-100
Фестиваль странника: посетите фестиваль,С {EventStartDate} по {EventEndDate} посетите Фестиваль странника на Черепашьем пляже в Красарангских джунглях.,28,136364,100,0,-70
"Фестиваль странника: запустите фонарик и прочитайте ""В ожидании черепахи""","С {EventStartDate} по {EventEndDate} запустите фонарик и прочитайте ""В ожидании черепахи"" на Фестивале странника в Красарангских джунглях.",29,136366,75,0,-70
Ярмарка Новолуния: съешьте сосиску в кукурузных сухариках после катания,С 07.09 по 13.09 прокатитесь на карусели или на горках ярмарки Новолуния и съешьте сосиску в кукурузных сухариках.,30,136369,25,0,-60
Убейте лидера противоположной фракции,,31,136449,400,0,0
Исследуйте заснеженный регион,Полностью исследуйте одну из перечисленных зон.,32,136527,50,0,0
Завершите 5 сражений на полях боя в группе для обеих фракций,,33,136652,150,0,0
"Зимний Покров: получите эффект ""Прохлаждается""","С {EventStartDate} по {EventEndDate} получите эффект ""Прохлаждается"" от охладителя Холодной Ярости.",34,136855,100,0,-100
Путешествия во времени: выполняйте задания на Дреноре,С {EventStartDate} по {EventEndDate} выполняйте задания на Дреноре.,36,149949,100,0,0
Путешествия во времени: пройдите 5 подземелий в режиме путешествия во времени Warlords of Draenor,С {EventStartDate} по {EventEndDate} проходите подземелья Warlords of Draenor в режиме путешествия во времени.,37,137530,100,213,0
Пройдите цитадель Адского Пламени,,38,137539,150,0,0
Убейте 15 игроков в Танаанских джунглях,,39,137541,200,0,0
Победите опытных укротителей питомцев Драконьих островов с питомцами-драконами,Возьмите в команду как минимум двух питомцев-драконов и победите двух опытных укротителей питомцев Драконьих островов,40,137543,200,0,0
Путешествия во времени: займитесь рыбалкой на Дреноре,С {EventStartDate} по {EventEndDate} выудите предметы на Дреноре.,41,149979,100,0,0
"Покормите питомца закуской ""Счастливый питомец""","Купите закуски ""Счастливый питомец"" у Бреанни в ""Волшебном зверинце"" в Даларане.",42,137615,100,0,0
Любовная лихорадка: используйте камушек возвращения Мелкошустра на Драконьих островах,С {EventStartDate} по {EventEndDate} используйте камушек возвращения Мелкошустра на Драконьих островах.,43,137617,150,0,0
Любовная лихорадка: используйте корзинку для романтического пикника на равнинах Он'ары,С {EventStartDate} по {EventEndDate} используйте корзинку для романтического пикника на равнинах Он'ары.,44,137619,150,0,0
"Любовная лихорадка: выполните задание ""Вкус конфет""","С {EventStartDate} по {EventEndDate} выполните задание ""Вкус конфет"".",45,137621,150,0,0
Любовная лихорадка: победите аптекаря Хаммела.,С {EventStartDate} по {EventEndDate} победите аптекаря Хаммела в Крепости Темного Клыка.,46,137623,100,0,0
Любовная лихорадка: подарите чудесный браслет-оберег,С {EventStartDate} по {EventEndDate} подарите чудесный браслет-оберег одному из лидеров своей фракции.,47,137625,150,0,0
